Year Structure Built
--------------------
Universe: Housing Units

B25034001 Total:
B25034002  Built 2010 or later
B25034003  Built 2000 to 2009
B25034004  Built 1990 to 1999
B25034005  Built 1980 to 1989
B25034006  Built 1970 to 1979
B25034007  Built 1960 to 1969
B25034008  Built 1950 to 1959
B25034009  Built 1940 to 1949
B25034010  Built 1939 or earlier
