area_id,area_name,b11002i001,b11002i001_moe,b11002i002,b11002i002_moe,b11002i003,b11002i003_moe,b11002i004,b11002i004_moe,b11002i005,b11002i005_moe,b11002i006,b11002i006_moe,b11002i007,b11002i007_moe,b11002i008,b11002i008_moe,b11002i009,b11002i009_moe,b11002i010,b11002i010_moe,b11002i011,b11002i011_moe,b11002i012,b11002i012_moe
1,Rogers Park,13427,1661,10572,1611,6760,1470,6544,1401,216,203,1702,697,1421,580,281,192,2110,795,2024,770,86,73,2855,693
2,West Ridge,14052,2066,12762,2056,8248,1709,8248,1709,0,51,1768,994,1378,745,390,298,2746,886,2629,862,117,121,1290,385
3,Uptown,6073,1019,3999,941,2550,842,2518,832,32,65,487,313,487,313,0,48,962,482,943,475,19,54,2074,442
4,Lincoln Square,6729,1162,5659,1158,3627,887,3569,880,58,57,994,677,917,606,77,93,1038,455,1031,454,7,40,1070,338
5,North Center,4169,789,3047,679,2264,615,2226,608,38,57,298,270,276,261,22,48,485,269,485,269,0,43,1122,423
6,Lake View,6154,795,2798,576,2061,517,2014,496,47,86,309,201,274,179,35,74,428,213,428,213,0,66,3356,580
7,Lincoln Park,2985,607,1453,447,1056,382,1013,369,43,83,80,105,80,105,0,51,317,204,317,204,0,51,1532,410
8,Near North Side,4132,859,2290,766,1488,681,1488,681,0,54,318,368,186,238,132,164,484,295,484,295,0,54,1842,403
9,Edison Park,247,133,193,124,178,122,178,122,0,25,15,32,15,32,0,25,0,25,0,25,0,25,54,49
10,Norwood Park,4428,901,3924,856,2534,789,2500,785,34,49,587,366,564,377,23,47,803,464,772,454,31,48,504,311
11,Jefferson Park,4704,858,4367,863,3122,811,3075,791,47,71,649,400,510,301,139,135,596,345,541,310,55,74,337,143
12,Forest Glen,2063,496,1880,493,1426,447,1426,447,0,29,86,112,86,112,0,29,368,267,296,227,72,68,183,93
13,North Park,3288,750,2740,713,1712,590,1712,590,0,27,301,218,285,207,16,35,727,355,643,316,84,76,548,301
14,Albany Park,27456,2150,24698,2152,15487,1747,15242,1721,245,169,5043,1260,4378,1087,665,239,4168,1082,3953,1032,215,127,2758,747
15,Portage Park,25186,1900,23570,1913,14713,1606,14521,1586,192,157,1629,567,1424,501,205,111,7228,1328,6690,1255,538,203,1616,407
16,Irving Park,24375,1956,21604,1979,13806,1818,13726,1816,80,65,3496,1103,3225,1033,271,138,4302,969,4076,918,226,119,2771,541
17,Dunning,8835,920,8393,922,5855,890,5812,865,43,84,1077,473,961,433,116,79,1461,550,1441,547,20,41,442,144
18,Montclare,6215,847,5739,870,3839,729,3811,724,28,46,580,349,518,304,62,61,1320,456,1275,450,45,40,476,222
19,Belmont Cragin,59565,2600,57267,2684,33813,2485,33505,2465,308,141,8789,1651,7451,1391,1338,416,14665,1960,13614,1830,1051,292,2298,425
20,Hermosa,22253,1408,20944,1463,13084,1499,12970,1487,114,114,2389,645,2122,569,267,117,5471,1087,5150,1020,321,141,1309,353
21,Avondale,27222,2099,24841,2174,15686,1786,15416,1759,270,161,3492,1005,3198,953,294,189,5663,1248,5454,1220,209,112,2381,562
22,Logan Square,34607,2009,30121,2027,17736,1838,17527,1799,209,261,4386,994,3874,887,512,190,7999,1118,7557,1055,442,165,4486,604
23,Humboldt Park,27207,1819,24636,1873,12950,1582,12757,1558,193,128,3724,927,3333,823,391,181,7962,1507,7173,1321,789,331,2571,419
24,West Town,23358,1640,19543,1640,10452,1238,10380,1226,72,84,2235,668,2006,579,229,143,6856,999,6548,950,308,130,3815,537
25,Austin,8469,1165,7823,1175,4615,978,4531,957,84,129,972,531,875,491,97,98,2236,788,2043,715,193,124,646,264
26,West Garfield Park,84,102,84,102,84,102,84,102,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,307,153,255,149,84,96,84,96,0,38,8,40,8,40,0,38,163,117,163,117,0,38,52,58
28,Near West Side,3794,597,2504,540,1554,411,1554,411,0,52,391,312,377,309,14,55,559,221,495,194,64,63,1290,279
29,North Lawndale,1777,438,1493,401,1020,337,1015,336,5,42,154,138,129,120,25,49,319,215,315,214,4,42,284,215
