area_id,area_name,b17020g001,b17020g001_moe,b17020g002,b17020g002_moe,b17020g003,b17020g003_moe,b17020g004,b17020g004_moe,b17020g005,b17020g005_moe,b17020g006,b17020g006_moe,b17020g007,b17020g007_moe,b17020g008,b17020g008_moe,b17020g009,b17020g009_moe,b17020g010,b17020g010_moe,b17020g011,b17020g011_moe,b17020g012,b17020g012_moe,b17020g013,b17020g013_moe,b17020g014,b17020g014_moe,b17020g015,b17020g015_moe,b17020g016,b17020g016_moe,b17020g017,b17020g017_moe
1,Rogers Park,1985,408,426,170,68,78,0,48,20,56,30,66,286,125,22,58,0,48,1559,381,436,178,53,53,146,90,107,107,794,231,23,51,0,48
2,West Ridge,2042,578,570,353,204,165,0,51,134,127,87,112,117,99,28,66,0,51,1472,467,229,154,73,79,333,251,158,110,560,221,111,80,8,52
3,Uptown,1684,489,658,351,56,101,41,74,106,113,45,84,410,181,0,48,0,48,1026,338,223,159,0,48,13,50,43,63,654,245,93,74,0,48
4,Lincoln Square,1046,279,114,91,0,40,0,40,4,41,25,53,85,80,0,40,0,40,932,261,177,104,3,39,117,75,30,51,516,190,35,54,54,70
5,North Center,876,311,36,47,16,45,0,43,0,43,0,43,13,43,0,43,7,43,840,310,132,77,14,44,198,199,55,72,386,118,31,48,24,49
6,Lake View,1827,371,179,105,12,68,0,66,0,66,0,66,167,104,0,66,0,66,1648,355,418,191,77,83,155,107,19,68,962,229,17,71,0,66
7,Lincoln Park,983,262,66,60,0,51,0,51,0,51,0,51,64,60,2,49,0,51,917,256,208,108,10,52,89,70,66,76,507,172,37,71,0,51
8,Near North Side,1341,373,68,75,0,54,0,54,0,54,0,54,68,75,0,54,0,54,1273,369,122,106,0,54,232,160,10,55,830,280,55,66,24,60
9,Edison Park,196,137,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,196,137,0,25,0,25,28,45,50,56,94,87,12,28,12,30
10,Norwood Park,880,391,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,880,391,216,191,36,54,163,112,120,97,335,158,10,40,0,39
11,Jefferson Park,631,246,87,97,12,33,0,29,12,33,0,29,63,72,0,29,0,29,544,225,90,66,0,29,82,70,82,84,284,118,6,29,0,29
12,Forest Glen,447,208,22,45,0,29,0,29,0,29,0,29,22,45,0,29,0,29,425,205,167,114,0,29,132,97,4,29,122,63,0,29,0,29
13,North Park,463,211,89,77,0,27,0,27,18,35,0,27,71,73,0,27,0,27,374,202,18,37,0,27,23,38,21,43,300,181,12,26,0,27
14,Albany Park,1921,453,173,137,49,72,0,45,39,69,14,46,39,55,12,46,20,53,1748,434,293,155,67,71,297,164,157,86,886,260,33,53,15,48
15,Portage Park,2379,531,493,236,178,125,39,78,79,74,28,53,153,108,16,46,0,47,1886,480,387,196,36,62,290,137,244,124,923,293,0,47,6,47
16,Irving Park,1301,306,71,66,29,50,0,47,0,47,18,54,14,47,10,48,0,47,1230,302,240,135,36,56,200,137,71,60,654,190,13,50,16,51
17,Dunning,519,212,66,82,0,40,7,40,8,40,21,45,30,48,0,40,0,40,453,201,44,54,11,37,49,47,25,43,316,167,8,39,0,40
18,Montclare,134,76,24,40,24,40,0,23,0,23,0,23,0,23,0,23,0,23,110,69,15,30,0,23,16,24,8,20,71,57,0,23,0,23
19,Belmont Cragin,1766,567,471,249,138,124,11,53,41,70,48,63,185,135,48,63,0,52,1295,502,210,117,37,63,104,99,161,139,748,308,15,55,20,62
20,Hermosa,484,177,117,109,25,37,0,29,10,32,9,31,52,62,10,32,11,33,367,140,0,29,6,27,41,37,28,37,285,128,0,29,7,27
21,Avondale,1098,339,366,208,29,46,0,38,45,65,40,70,252,172,0,38,0,38,732,269,215,164,0,38,27,49,143,152,322,137,25,43,0,38
22,Logan Square,1651,352,265,199,75,95,31,74,83,127,0,57,66,65,10,58,0,57,1386,283,194,101,47,66,136,102,228,132,778,200,3,57,0,57
23,Humboldt Park,1046,348,375,225,47,72,0,51,92,98,69,84,120,90,36,67,11,53,671,261,39,66,3,50,76,73,77,81,450,177,14,54,12,53
24,West Town,1775,364,276,198,63,79,38,75,69,107,14,63,92,76,0,62,0,62,1499,325,175,100,20,66,150,102,78,77,960,218,89,86,27,64
