area_id,area_name,c27001h001,c27001h001_moe,c27001h002,c27001h002_moe,c27001h003,c27001h003_moe,c27001h004,c27001h004_moe,c27001h005,c27001h005_moe,c27001h006,c27001h006_moe,c27001h007,c27001h007_moe,c27001h008,c27001h008_moe,c27001h009,c27001h009_moe,c27001h010,c27001h010_moe
1,Rogers Park,21255,1213,1590,323,1486,306,104,111,17732,1033,14495,925,3237,484,1933,332,1933,332,0,48
2,West Ridge,31205,1836,7100,984,6861,969,239,185,18891,1274,15145,1068,3746,651,5214,487,5214,487,0,51
3,Uptown,27985,1215,2032,419,1951,412,81,98,23269,1028,20206,924,3063,481,2684,358,2634,355,50,76
4,Lincoln Square,24042,1179,2972,448,2880,438,92,93,18832,855,15789,789,3043,457,2238,366,2232,365,6,40
5,North Center,26332,1042,5097,486,5074,487,23,56,19671,763,18071,748,1600,291,1564,230,1549,230,15,43
6,Lake View,76966,1762,6969,650,6925,647,44,75,64862,1496,58945,1462,5917,637,5135,438,5111,438,24,72
7,Lincoln Park,52342,1652,6549,777,6482,775,67,71,42018,1224,39541,1224,2477,426,3775,368,3775,368,0,51
8,Near North Side,57678,1599,2549,448,2448,451,101,121,44669,1460,42236,1448,2433,438,10460,620,10412,607,48,78
9,Edison Park,10265,576,1978,308,1978,308,0,25,6717,450,5854,430,863,294,1570,161,1553,161,17,34
10,Norwood Park,29750,1044,5076,582,4760,460,316,353,18219,746,16021,769,2198,413,6455,351,6447,351,8,39
11,Jefferson Park,18067,1180,3005,592,2679,441,326,382,11753,823,9514,763,2239,457,3309,367,3264,362,45,61
12,Forest Glen,13354,701,2741,328,2741,328,0,29,7891,508,7388,501,503,192,2722,201,2722,201,0,29
13,North Park,9256,837,1634,410,1601,402,33,34,5621,598,4793,475,828,274,2001,302,1989,300,12,32
14,Albany Park,15705,1060,2492,433,2386,427,106,95,11592,756,8881,645,2711,519,1621,287,1613,285,8,47
15,Portage Park,32291,1375,4485,574,4276,558,209,112,22199,1027,16878,927,5321,658,5607,466,5569,468,38,54
16,Irving Park,24029,1170,3705,470,3605,460,100,90,17450,911,13797,827,3653,495,2874,348,2830,340,44,69
17,Dunning,29952,1170,4361,469,3904,463,457,185,20115,927,14369,834,5746,704,5476,343,5306,329,170,110
18,Montclare,4687,521,334,123,303,119,31,38,3232,470,2246,412,986,250,1121,224,1095,219,26,46
19,Belmont Cragin,11780,991,1053,288,950,271,103,103,7689,770,4337,535,3352,533,3038,373,2949,367,89,74
20,Hermosa,1974,418,95,81,95,81,0,29,1461,345,1157,312,304,132,418,138,418,138,0,29
21,Avondale,10994,824,1097,249,980,234,117,94,8211,667,5802,528,2409,415,1686,280,1645,274,41,67
22,Logan Square,30582,1127,3366,381,3302,376,64,72,25633,958,21524,861,4109,535,1583,277,1522,264,61,112
23,Humboldt Park,3003,503,353,168,311,158,42,78,2300,379,1519,283,781,247,350,136,346,136,4,48
24,West Town,47813,1479,4184,489,4098,474,86,105,41513,1255,35294,1157,6219,654,2116,285,2036,282,80,84
25,Austin,4172,446,662,218,650,218,12,63,2726,341,2254,285,472,221,784,182,761,183,23,65
26,West Garfield Park,268,143,24,47,24,47,0,35,224,117,115,65,109,104,20,41,20,41,0,35
27,East Garfield Park,607,209,80,84,80,84,0,38,418,157,295,130,123,88,109,59,109,59,0,38
28,Near West Side,22546,1064,1692,315,1638,310,54,66,19933,908,18535,883,1398,311,921,193,899,191,22,62
29,North Lawndale,699,233,100,92,55,58,45,82,551,172,435,148,116,98,48,65,44,65,4,42
30,South Lawndale,2104,515,336,252,312,249,24,61,1435,357,948,282,487,171,333,147,333,147,0,48
31,Lower West Side,4562,566,152,81,131,72,21,44,3855,531,2903,419,952,219,555,153,555,153,0,42
32,Loop,16638,1236,917,324,772,266,145,197,14220,1141,13478,1107,742,252,1501,258,1501,258,0,30
33,Near South Side,9098,881,834,258,834,258,0,24,7843,820,7304,787,539,229,421,144,421,144,0,24
34,Armour Square,1537,300,219,132,219,132,0,27,1138,218,947,204,191,97,180,69,180,69,0,27
35,Douglas,2050,344,113,82,108,81,5,34,1857,304,1727,296,130,71,80,53,80,53,0,35
36,Oakland,180,147,34,50,34,50,0,19,146,106,131,102,15,29,0,19,0,19,0,19
37,Fuller Park,66,50,23,25,23,25,0,16,34,34,29,33,5,14,9,17,9,17,0,16
