area_id,area_name,c24010a001,c24010a001_moe,c24010a002,c24010a002_moe,c24010a003,c24010a003_moe,c24010a004,c24010a004_moe,c24010a005,c24010a005_moe,c24010a006,c24010a006_moe,c24010a007,c24010a007_moe,c24010a008,c24010a008_moe,c24010a009,c24010a009_moe,c24010a010,c24010a010_moe,c24010a011,c24010a011_moe,c24010a012,c24010a012_moe,c24010a013,c24010a013_moe
1,Rogers Park,17935,1071,9761,753,4307,439,2042,454,1751,294,895,254,766,227,8174,694,4152,404,1744,363,1929,348,12,50,337,152
2,West Ridge,18052,1130,9538,777,3320,375,1732,339,1807,354,1424,376,1255,295,8514,688,3780,434,2021,347,2107,336,118,132,488,202
3,Uptown,21607,942,11467,674,6640,539,1247,265,2272,357,442,163,866,235,10140,600,6759,521,1180,240,1972,296,0,48,229,118
4,Lincoln Square,17677,783,9238,534,5263,423,1007,194,1464,248,687,208,817,236,8439,498,4931,377,1324,265,1934,307,70,74,180,95
5,North Center,18890,740,9846,572,5447,413,901,218,2474,320,526,144,498,157,9044,510,5317,413,736,169,2721,320,7,43,263,102
6,Lake View,60690,1436,30403,1092,18817,871,2449,377,7385,631,762,205,990,268,30287,1186,19093,944,3504,491,7275,574,89,100,326,121
7,Lincoln Park,36644,1146,18348,872,12622,737,1035,262,4000,441,332,132,359,142,18296,882,12138,718,1596,287,4395,469,7,50,160,91
8,Near North Side,41123,1410,20132,1038,13752,872,1566,442,3879,493,527,186,408,152,20991,1038,13073,817,1922,404,5716,620,36,77,244,117
9,Edison Park,5694,412,2948,289,880,158,893,211,465,139,392,188,318,135,2746,287,1309,221,440,146,900,191,17,33,80,55
10,Norwood Park,15795,785,8420,481,2366,306,1784,309,1127,236,1884,298,1259,286,7375,566,3266,367,1359,268,2436,370,0,39,314,148
11,Jefferson Park,10420,737,5791,494,1615,273,984,193,870,215,1242,289,1080,266,4629,420,1510,246,1194,282,1771,306,0,29,154,87
12,Forest Glen,7225,470,4112,307,2035,244,643,164,939,198,266,101,229,109,3113,307,1760,213,480,149,724,176,22,42,127,85
13,North Park,5047,489,2806,301,1211,195,204,99,738,170,352,139,301,113,2241,290,1242,222,240,96,687,172,0,27,72,54
14,Albany Park,12294,769,6753,571,2421,321,1140,271,1147,229,817,215,1228,292,5541,462,2717,312,1106,239,1355,251,28,48,335,152
15,Portage Park,21300,1012,10889,635,2637,331,1858,297,1932,326,2345,343,2117,322,10411,653,3751,403,2581,376,3193,409,84,73,802,212
16,Irving Park,19459,1088,10093,719,3372,344,1937,385,1610,266,1568,296,1606,303,9366,643,3792,364,2019,352,3043,371,42,63,470,151
17,Dunning,18415,919,9820,593,2199,339,1771,300,1696,276,2128,325,2026,346,8595,561,2517,335,2356,369,3182,367,91,82,449,143
18,Montclare,3597,445,1802,295,404,124,211,95,414,158,371,144,402,138,1795,275,375,142,446,133,797,182,7,21,170,95
19,Belmont Cragin,13329,1063,7806,743,964,213,1315,301,1279,262,1823,357,2425,387,5523,544,1249,244,1937,318,1768,296,42,70,527,162
20,Hermosa,4437,580,2374,397,260,106,493,183,268,110,463,191,890,232,2063,349,472,145,564,173,643,165,0,29,384,161
21,Avondale,15783,993,9089,775,1862,281,2126,456,1590,310,1432,345,2079,377,6694,579,1947,287,1883,351,1944,331,89,73,831,243
22,Logan Square,34440,1244,19647,896,7927,512,3156,450,3955,435,1584,315,3025,426,14793,776,7267,490,2526,356,3800,435,226,130,974,245
23,Humboldt Park,6280,649,3555,495,656,204,657,203,688,172,586,195,968,238,2725,339,757,164,791,187,810,195,28,56,339,128
24,West Town,43038,1287,23193,932,12815,682,2590,393,4723,459,1368,284,1697,287,19845,848,11381,656,3094,396,4918,450,60,78,392,141
25,Austin,3710,437,2162,320,602,148,250,139,371,146,380,170,559,160,1548,209,682,142,233,113,512,187,0,61,121,85
26,West Garfield Park,112,65,31,35,7,33,0,35,7,36,0,35,17,34,81,56,16,35,52,49,9,36,0,35,4,34
27,East Garfield Park,391,144,190,93,95,54,10,40,38,55,18,48,29,50,201,86,137,69,46,55,18,43,0,38,0,38
28,Near West Side,17790,793,9097,561,5523,424,891,282,2097,287,203,107,383,176,8693,522,5549,434,790,201,2207,308,0,52,147,104
29,North Lawndale,585,163,294,104,47,53,27,48,69,57,33,53,118,60,291,100,138,83,59,55,72,56,0,43,22,44
