area_id,area_name,b19013f001,b19013f001_moe
1,Rogers Park,288948,86924
2,West Ridge,428796,140460
3,Uptown,394968,216085
4,Lincoln Square,401436,198010
5,North Center,141330,130762
6,Lake View,647408,156045
7,Lincoln Park,137032,158177
8,Near North Side,429574,456657
9,Edison Park,115104,215089
10,Norwood Park,281889,197078
11,Jefferson Park,318638,119315
12,Forest Glen,86016,56463
13,North Park,75278,17578
14,Albany Park,504076,84026
15,Portage Park,768918,189463
16,Irving Park,718594,103096
17,Dunning,730975,173430
18,Montclare,88115,30555
19,Belmont Cragin,724960,69044
20,Hermosa,247833,36530
21,Avondale,481335,78330
22,Logan Square,1075051,440774
23,Humboldt Park,539505,118266
24,West Town,1211057,393101
25,Austin,584486,313018
27,East Garfield Park,63438,19956
28,Near West Side,417647,167206
29,North Lawndale,128781,48878
30,South Lawndale,600923,165620
31,Lower West Side,380610,49238
32,Loop,43482,386638
33,Near South Side,106635,37363
34,Armour Square,95741,123153
36,Oakland,150188,145643
37,Fuller Park,26500,65590
38,Grand Boulevard,160253,257498
41,Hyde Park,86718,38749
42,Woodlawn,9375,56350
46,South Chicago,261551,70125
48,Calumet Heights,9069,1869
50,Pullman,31574,36935
51,South Deering,88975,55034
52,East Side,257921,89490
53,West Pullman,66719,30592
55,Hegewisch,75253,29498
56,Garfield Ridge,482539,126030
57,Archer Heights,191699,53044
58,Brighton Park,386790,54493
59,McKinley Park,221759,49470
60,Bridgeport,493501,155722
61,New City,525142,112485
62,West Elsdon,191049,40796
63,Gage Park,342208,48271
64,Clearing,485758,104181
65,West Lawn,295219,57660
66,Chicago Lawn,380719,101407
70,Ashburn,306900,66101
76,O'Hare,111549,77553
77,Edgewater,299780,214790
