area_id,area_name,c23023001,c23023001_moe,c23023002,c23023002_moe,c23023003,c23023003_moe,c23023004,c23023004_moe,c23023005,c23023005_moe,c23023006,c23023006_moe,c23023007,c23023007_moe,c23023008,c23023008_moe,c23023009,c23023009_moe,c23023010,c23023010_moe,c23023011,c23023011_moe,c23023012,c23023012_moe,c23023013,c23023013_moe,c23023014,c23023014_moe,c23023015,c23023015_moe,c23023016,c23023016_moe,c23023017,c23023017_moe,c23023018,c23023018_moe,c23023019,c23023019_moe,c23023020,c23023020_moe,c23023021,c23023021_moe,c23023022,c23023022_moe,c23023023,c23023023_moe
1,Rogers Park,42813,1612,21771,1034,1597,350,655,206,210,95,445,184,942,246,20174,1003,17203,961,11550,812,5653,622,2971,535,21042,1142,1873,336,738,192,407,152,331,124,1135,264,19169,1118,14953,952,8398,689,6555,719,4216,605
2,West Ridge,46952,1828,23815,1160,1667,332,551,182,233,102,318,144,1116,258,22148,1150,18038,992,12830,855,5208,599,4110,746,23137,1060,2155,358,720,191,326,136,394,138,1435,311,20982,1033,14655,889,8276,721,6379,644,6327,670
3,Uptown,43274,1400,23497,1054,2428,414,592,204,358,158,234,130,1836,354,21069,1010,17827,905,12641,815,5186,565,3242,520,19777,876,1579,282,477,141,229,100,248,102,1102,243,18198,839,15116,753,9827,648,5289,530,3082,459
4,Lincoln Square,29279,962,14597,623,1002,288,379,189,108,77,271,173,623,217,13595,606,12461,573,9011,545,3450,383,1134,251,14682,662,981,233,294,127,146,99,148,85,687,204,13701,653,11474,588,7372,505,4102,414,2227,338
5,North Center,24989,838,12517,660,347,108,186,82,116,64,70,61,161,80,12170,650,11172,623,8903,542,2269,327,998,207,12472,551,513,181,231,100,86,67,145,83,282,157,11959,525,10342,505,7102,449,3240,340,1617,262
6,Lake View,80597,1494,39976,1260,1766,307,899,209,445,138,454,161,867,218,38210,1233,35823,1172,26861,1046,8962,731,2387,455,40621,1282,1370,261,849,213,387,159,462,147,521,162,39251,1265,35535,1237,23870,1070,11665,785,3716,458
7,Lincoln Park,51274,1305,24739,1006,943,226,400,143,262,131,138,75,543,177,23796,992,21624,930,15378,777,6246,619,2172,353,26535,989,862,181,289,104,163,86,126,76,573,157,25673,984,22006,943,14241,781,7765,638,3667,417
8,Near North Side,62636,1564,28784,1189,1077,235,486,168,332,142,154,105,591,171,27707,1173,24673,1134,18194,957,6479,734,3034,502,33852,1205,989,237,282,118,114,75,168,102,707,206,32863,1205,26996,1163,18466,995,8530,750,5867,618
9,Edison Park,7476,435,3588,295,261,114,108,76,83,65,25,35,153,91,3327,304,3072,277,2276,244,796,200,255,105,3888,299,217,102,58,39,16,31,42,34,159,96,3671,296,3030,303,1956,273,1074,196,641,156
10,Norwood Park,23179,916,11737,595,959,205,425,139,257,112,168,93,534,146,10778,590,9536,551,7032,519,2504,376,1242,283,11442,562,820,240,393,188,205,115,188,102,427,148,10622,518,8172,497,5162,462,3010,366,2450,344
11,Jefferson Park,17779,940,8972,586,820,195,559,172,322,141,237,111,261,114,8152,554,7110,488,4774,456,2336,368,1042,243,8807,548,422,146,237,110,147,86,90,71,185,99,8385,540,6228,473,3759,427,2469,350,2157,334
12,Forest Glen,11439,465,5840,333,391,129,234,102,85,61,149,84,157,81,5449,317,4745,302,3731,276,1014,224,704,151,5599,290,362,118,196,76,111,61,85,53,166,94,5237,312,4284,298,2589,282,1695,241,953,201
13,North Park,12071,763,6091,492,428,154,213,113,84,63,129,86,215,107,5663,504,4731,428,2968,347,1763,311,932,226,5980,477,543,179,172,101,43,41,129,94,371,151,5437,452,3943,383,2221,297,1722,276,1494,245
14,Albany Park,38068,1532,20410,1122,1645,346,731,238,376,132,355,196,914,253,18765,1114,16294,1016,9852,739,6442,754,2471,430,17658,885,1406,259,550,177,266,130,284,131,856,204,16252,876,11896,793,6647,610,5249,554,4356,473
15,Portage Park,43599,1383,21208,833,1812,307,1003,234,570,173,433,163,809,211,19396,840,16357,775,11546,683,4811,524,3039,413,22391,936,1617,289,578,172,282,130,296,118,1039,247,20774,917,15498,793,9425,642,6073,548,5276,579
16,Irving Park,39666,1467,20583,1040,1939,348,843,231,442,179,401,152,1096,250,18644,959,16210,919,11603,785,4607,486,2434,406,19083,811,1735,322,710,206,472,177,238,114,1025,250,17348,773,13273,691,8453,594,4820,503,4075,504
17,Dunning,29002,995,14651,657,889,189,347,120,176,76,171,97,542,149,13762,661,11539,591,8027,486,3512,423,2223,308,14351,636,949,213,390,125,223,87,167,87,559,174,13402,622,10394,582,6264,495,4130,436,3008,336
18,Montclare,7987,608,3944,399,445,219,171,104,98,74,73,74,274,189,3499,371,2871,340,1888,277,983,221,628,173,4043,354,297,105,54,39,26,29,28,31,243,105,3746,339,2673,328,1679,272,994,207,1073,223
19,Belmont Cragin,51531,1855,26278,1212,2531,452,1162,275,653,210,509,192,1369,316,23747,1144,19371,972,12558,834,6813,626,4376,537,25253,1027,2527,377,861,233,451,178,410,158,1666,308,22726,986,15121,788,8276,596,6845,600,7605,704
20,Hermosa,16776,909,8349,638,892,264,322,122,245,115,77,54,570,227,7457,622,6481,551,4211,438,2270,339,976,258,8427,557,1107,268,387,167,167,100,220,109,720,194,7320,538,4895,434,2993,388,1902,314,2425,363
21,Avondale,29627,1421,15782,963,1050,282,666,222,328,160,338,153,384,161,14732,930,12668,906,8783,724,3885,605,2064,354,13845,872,649,161,289,102,192,85,97,66,360,134,13196,863,9030,638,5564,513,3466,418,4166,636
22,Logan Square,55861,1542,28881,1069,1463,266,626,165,366,116,260,121,837,207,27418,1049,23934,960,17937,881,5997,552,3484,465,26980,974,1400,234,578,153,353,121,225,104,822,177,25580,966,18885,836,12278,691,6607,550,6695,597
