area_id,area_name,b06011001,b06011001_moe,b06011002,b06011002_moe,b06011003,b06011003_moe,b06011004,b06011004_moe,b06011005,b06011005_moe
1,Rogers Park,243301,15387,241873,25296,312511,48392,338511,409257,227562,19322
2,West Ridge,204641,14190,210783,26326,301479,61410,260306,116398,183410,15745
3,Uptown,343731,24941,359257,38486,437689,38588,313842,136906,238291,37757
4,Lincoln Square,324928,13292,345486,25713,422715,29309,230124,416083,252384,39080
5,North Center,613839,30282,580902,41262,738608,73580,516431,458807,417796,97523
6,Lake View,1253132,40092,1226427,67539,1384572,71317,1105126,525617,1184460,475334
7,Lincoln Park,656590,32414,594925,52320,786174,64978,355950,517610,602427,132415
8,Near North Side,643815,36562,622199,65343,713837,60227,727746,445694,580605,89774
9,Edison Park,45313,5704,51289,8664,45229,8501,14969,40974,41135,7075
10,Norwood Park,271081,18884,279932,15570,322622,296591,407394,181001,226516,61812
11,Jefferson Park,141203,6796,145777,12176,210370,62892,139633,75801,132148,19123
12,Forest Glen,120362,15338,109125,21303,151820,48014,172045,243350,118279,23938
13,North Park,68784,5631,78372,15702,110772,32357,54009,91807,62313,6332
14,Albany Park,215854,13419,241529,29472,327769,96758,207383,125591,191488,12354
15,Portage Park,285513,13118,306100,22546,324267,71929,266943,61721,269696,19653
16,Irving Park,430600,23250,459608,34765,601943,83445,421010,394642,317817,31004
17,Dunning,300728,15082,309449,21432,397312,77989,378161,109060,286863,28723
18,Montclare,46712,5417,44975,8892,42034,34624,28691,8772,50820,7619
19,Belmont Cragin,348316,13249,339337,24194,405755,115279,347575,76504,369214,19751
20,Hermosa,117813,10048,115836,23713,210575,125950,101654,20934,123249,8938
21,Avondale,210003,13983,230840,20087,324305,56947,209332,100963,197820,20516
22,Logan Square,733428,30533,761661,54804,1029447,95230,428514,143269,613119,85227
23,Humboldt Park,276226,23087,293114,41295,319935,82059,266802,90387,344007,85879
24,West Town,1048510,40463,1080147,62375,1304952,85309,510918,242985,777293,123147
25,Austin,140694,9042,146484,13027,145206,22953,173529,49091,193195,53841
28,Near West Side,448840,34377,434291,48926,492951,72461,571045,264016,522247,68060
29,North Lawndale,12945,4830,9500,2419,18843,11532,11250,30366,68000,29739
30,South Lawndale,88100,5528,108214,27154,76639,23536,61407,43753,96959,8010
31,Lower West Side,189892,14095,202934,22135,206252,82267,198015,62224,171677,14545
32,Loop,205490,19367,197414,21139,222691,40366,198492,118548,191968,50743
33,Near South Side,84395,12583,77494,10314,121624,50975,157100,118326,116068,38307
34,Armour Square,26493,2800,40077,26251,37602,27022,54197,80921,24427,2384
35,Douglas,83229,8208,84925,11504,84782,17860,110521,101181,93473,36112
36,Oakland,22225,4206,20417,6041,26071,11606,85069,16866,19063,17513
38,Grand Boulevard,33973,15202,20833,21925,52529,19040,30208,22574,62647,47573
39,Kenwood,68633,11483,76324,27527,76669,19758,184857,143030,53827,9892
40,Washington Park,12339,3702,12270,2993,11741,5675,57188,51491,97639,156389
41,Hyde Park,83032,13295,80494,7866,86163,27933,94147,78636,89971,52468
42,Woodlawn,10320,2773,12379,19089,7530,5044,3194,1107,21307,21090
43,South Shore,48063,5068,45280,6100,53181,17276,126320,95849,87026,54138
44,Chatham,26725,4435,28540,6115,22005,5508,54417,25695,20000,35629
46,South Chicago,71273,8767,75038,16184,63917,17254,120426,105790,72389,18913
49,Roseland,19047,3707,23603,7666,15590,2152,15625,19841,62650,93344
50,Pullman,20132,7598,19181,9907,41027,11251,16635,50084,15809,2068
51,South Deering,16618,2743,23966,8515,24286,28739,14200,86282,14896,1928
52,East Side,87830,9203,86973,11005,110844,57697,121093,68700,83581,16397
53,West Pullman,68124,8386,64778,10829,66222,16596,87244,50081,90402,1995
55,Hegewisch,59856,8519,62718,9913,64840,9190,49375,33527,51450,8440
56,Garfield Ridge,145317,11221,148398,19558,190135,56487,175546,61865,129506,16307
57,Archer Heights,47753,3571,49152,5237,47184,30705,24643,26669,47468,4762
58,Brighton Park,134833,9340,130957,18035,139343,43914,151664,75328,134288,13652
59,McKinley Park,89276,7936,90263,19104,109952,37220,104159,35933,88048,8325
60,Bridgeport,86854,8094,83830,13680,137886,43710,131184,60673,81891,12688
61,New City,115344,6484,110101,18611,118030,31954,210932,114932,124974,17667
62,West Elsdon,44632,3792,42662,4864,56704,17378,35952,30770,46035,7587
63,Gage Park,112303,5947,110431,12019,149863,68984,135918,61305,113090,8616
64,Clearing,101657,9583,115618,21099,132593,64414,112018,106912,92159,9526
65,West Lawn,122161,7839,121511,18090,122451,34330,83875,114072,126146,11084
66,Chicago Lawn,84436,7399,80350,12059,71488,13838,64129,88819,89937,10159
67,West Englewood,14188,2337,13044,3337,15114,2237,40208,61166,22417,23304
70,Ashburn,86632,6066,90288,7367,86933,36941,118894,46807,77803,7100
72,Beverly,136241,15060,141219,20405,134072,24395,171807,107725,129257,87931
73,Washington Heights,28287,4483,36190,5164,18456,3985,29674,75457,4688,8485
75,Morgan Park,71347,7301,71068,6762,71349,9571,44382,85550,64490,33843
76,O'Hare,89533,9715,104896,22004,150982,76069,130503,82706,82730,14402
77,Edgewater,385322,22806,415388,38654,477277,53148,402118,178112,306396,40099
