area_id,area_name,b16008001,b16008001_moe,b16008002,b16008002_moe,b16008003,b16008003_moe,b16008004,b16008004_moe,b16008005,b16008005_moe,b16008006,b16008006_moe,b16008007,b16008007_moe,b16008008,b16008008_moe,b16008009,b16008009_moe,b16008010,b16008010_moe,b16008011,b16008011_moe,b16008012,b16008012_moe,b16008013,b16008013_moe,b16008014,b16008014_moe,b16008015,b16008015_moe,b16008016,b16008016_moe,b16008017,b16008017_moe,b16008018,b16008018_moe,b16008019,b16008019_moe,b16008020,b16008020_moe,b16008021,b16008021_moe,b16008022,b16008022_moe,b16008023,b16008023_moe,b16008024,b16008024_moe,b16008025,b16008025_moe,b16008026,b16008026_moe,b16008027,b16008027_moe,b16008028,b16008028_moe,b16008029,b16008029_moe,b16008030,b16008030_moe,b16008031,b16008031_moe,b16008032,b16008032_moe,b16008033,b16008033_moe,b16008034,b16008034_moe,b16008035,b16008035_moe,b16008036,b16008036_moe,b16008037,b16008037_moe,b16008038,b16008038_moe,b16008039,b16008039_moe,b16008040,b16008040_moe,b16008041,b16008041_moe,b16008042,b16008042_moe,b16008043,b16008043_moe,b16008044,b16008044_moe,b16008045,b16008045_moe,b16008046,b16008046_moe,b16008047,b16008047_moe,b16008048,b16008048_moe,b16008049,b16008049_moe,b16008050,b16008050_moe,b16008051,b16008051_moe,b16008052,b16008052_moe,b16008053,b16008053_moe
11,Jefferson Park,25022,1127,17434,1113,3799,525,2367,391,714,263,683,263,31,42,718,335,556,279,162,101,13635,871,11525,833,1289,345,1241,339,48,51,821,224,679,212,142,77,7588,898,4169,544,32,42,13,36,0,29,0,29,0,29,19,37,19,37,0,29,4137,538,375,128,622,191,218,96,404,182,3140,504,1392,302,1748,346,3419,654,225,167,0,29,114,156,0,29,114,156,111,66,72,51,39,48,3194,636,168,86,485,202,116,86,369,183,2541,629,704,247,1837,510
12,Forest Glen,17349,610,13983,685,3182,312,2370,309,452,173,431,175,21,34,360,135,290,131,70,59,10801,560,8884,571,710,206,701,208,9,33,1207,300,1095,284,112,85,3366,400,2800,331,37,43,37,43,0,29,0,29,0,29,0,29,0,29,0,29,2763,332,436,140,388,135,276,126,112,65,1939,317,957,247,982,243,566,204,25,46,0,29,0,29,0,29,0,29,25,46,0,29,25,46,541,200,81,61,54,58,0,29,54,58,406,174,124,82,282,156
13,North Park,17610,939,10389,765,2673,461,1479,369,577,354,542,351,35,45,617,220,564,220,53,46,7716,657,6278,564,656,230,565,218,91,69,782,258,728,251,54,48,7221,820,4532,607,178,147,23,33,0,27,0,27,0,27,155,146,155,146,0,27,4354,566,261,106,605,199,394,147,211,109,3488,549,1609,414,1879,327,2689,459,271,137,0,27,18,39,18,39,0,27,253,134,149,99,104,88,2418,409,132,62,887,315,184,120,703,276,1399,303,468,158,931,253
14,Albany Park,49366,1858,24629,1265,7077,714,2087,412,4326,596,3348,524,978,291,664,213,576,206,88,69,17552,995,12299,832,4054,653,3172,491,882,351,1199,278,990,226,209,123,24737,1662,8894,945,337,186,22,53,152,120,105,111,47,88,163,138,76,68,87,126,8557,903,370,189,3591,677,1107,310,2484,483,4596,652,1859,353,2737,508,15843,1562,1413,394,40,76,1158,373,695,314,463,215,215,125,148,106,67,73,14430,1410,383,152,10514,1321,891,255,9623,1299,3533,693,1372,347,2161,533
15,Portage Park,59798,1711,39343,1598,10140,893,4257,564,4669,749,4099,706,570,238,1214,327,1105,318,109,80,29203,1309,19759,1095,7716,915,6601,807,1115,335,1728,316,1568,319,160,83,20455,1333,10936,931,147,98,0,47,49,61,44,62,5,47,98,89,98,89,0,47,10789,903,795,209,3856,548,1745,418,2111,372,6138,727,2332,399,3806,537,9519,931,526,194,70,80,200,107,138,92,62,69,256,137,124,78,132,106,8993,874,309,117,4178,658,910,255,3268,576,4506,600,900,244,3606,550
16,Irving Park,51927,1822,33985,1459,7761,761,3962,605,3446,598,2796,568,650,215,353,141,290,133,63,65,26224,1117,19200,990,5504,613,4796,569,708,228,1520,348,1419,339,101,74,17942,1355,7437,780,281,150,18,48,163,130,97,92,66,103,100,86,100,86,0,47,7156,721,679,191,3317,521,1137,293,2180,430,3160,492,1699,362,1461,283,10505,1126,442,170,53,74,352,149,238,110,114,95,37,70,6,48,31,69,10063,1091,571,228,7105,1002,971,351,6134,931,2387,455,766,216,1621,397
17,Dunning,39975,1178,24981,1197,5256,522,2712,423,1360,276,1230,263,130,106,1184,248,1004,229,180,104,19725,1012,14905,926,3052,479,2760,464,292,115,1768,338,1470,294,298,141,14994,1051,8394,739,193,90,19,41,37,57,37,57,0,40,137,77,122,72,15,44,8201,723,522,156,1645,286,793,199,852,220,6034,678,2698,479,3336,447,6600,788,206,98,0,40,34,55,34,55,0,40,172,89,77,61,95,73,6394,764,179,102,1136,234,201,101,935,192,5079,728,1235,374,3844,577
18,Montclare,11473,771,7096,687,1898,352,589,208,1236,298,1042,279,194,100,73,68,73,68,0,23,5198,564,3226,499,1528,327,1218,300,310,153,444,186,366,165,78,67,4377,579,1938,343,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,1938,343,106,89,929,237,573,189,356,131,903,232,366,172,537,169,2439,473,190,137,16,31,111,110,98,109,13,25,63,77,63,77,0,23,2249,408,25,34,1334,323,306,152,1028,267,890,291,186,125,704,250
19,Belmont Cragin,71416,2315,41355,1893,15344,1163,3511,599,11300,1012,9406,924,1894,365,533,252,452,233,81,87,26011,1445,9604,923,15477,1165,12333,1053,3144,550,930,234,632,195,298,137,30061,1687,10086,853,143,111,13,55,65,82,19,55,46,80,65,89,8,53,57,89,9943,829,384,146,6800,715,2264,418,4536,559,2759,424,816,224,1943,334,19975,1525,1264,361,0,52,1182,358,748,278,434,204,82,68,45,59,37,63,18711,1384,349,144,15395,1312,1793,388,13602,1200,2967,510,392,153,2575,485
20,Hermosa,23058,1119,14173,966,4730,487,858,234,3872,484,3143,458,729,214,0,29,0,29,0,29,9443,801,2397,467,7008,757,5193,623,1815,379,38,40,17,36,21,34,8885,957,3006,448,25,40,0,29,25,40,25,40,0,29,0,29,0,29,0,29,2981,449,77,59,2645,426,804,248,1841,335,259,125,73,67,186,109,5879,863,504,205,0,29,504,205,337,171,167,110,0,29,0,29,0,29,5375,778,39,42,5132,765,959,288,4173,613,204,155,21,32,183,154
21,Avondale,38171,1732,21652,1175,5843,711,1834,373,3833,603,2924,512,909,265,176,103,114,90,62,62,15809,928,9710,770,5600,710,4491,571,1109,368,499,165,394,154,105,75,16519,1436,5118,606,67,69,46,61,21,50,21,50,0,38,0,38,0,38,0,38,5051,596,467,195,3428,508,1063,256,2365,404,1156,284,398,158,758,199,11401,1346,363,187,5,38,340,185,245,143,95,123,18,46,0,38,18,46,11038,1289,767,328,8788,1222,1099,314,7689,1147,1483,372,232,111,1251,349
22,Logan Square,68556,1822,52777,1568,8818,783,4373,565,4247,592,2476,442,1771,405,198,115,161,104,37,74,43959,1296,33035,1155,10128,877,6757,686,3371,487,796,166,710,155,86,72,15779,1186,5295,562,41,73,19,65,22,66,0,57,22,66,0,57,0,57,0,57,5254,562,963,223,3317,488,1295,307,2022,369,974,223,632,167,342,150,10484,1070,469,184,26,62,434,180,189,132,245,135,9,58,0,57,9,58,10015,1017,977,268,8243,957,1144,298,7099,878,795,238,462,171,333,161
23,Humboldt Park,49489,1958,39966,1883,10735,1014,6670,881,3997,557,3144,472,853,289,68,84,51,65,17,58,29231,1379,20147,1237,8790,851,6692,733,2098,350,294,180,273,167,21,59,9523,1055,3172,494,44,71,0,51,38,71,38,71,0,51,6,51,6,51,0,51,3128,477,161,89,2840,459,1048,257,1792,333,127,79,75,59,52,61,6351,1012,750,389,0,51,723,388,549,370,174,101,27,57,27,57,0,51,5601,777,275,135,5092,763,906,248,4186,673,234,141,126,104,108,102
24,West Town,78857,1836,65450,1747,7398,765,3953,571,3114,492,2306,442,808,229,331,130,260,121,71,76,58052,1494,46593,1356,9102,849,6624,676,2478,463,2357,368,2044,344,313,120,13407,974,5643,555,95,83,6,62,14,62,14,62,0,62,75,83,75,83,0,62,5548,547,1132,245,2291,354,785,191,1506,297,2125,342,1140,233,985,237,7764,810,347,158,11,63,155,112,131,111,24,64,181,124,128,117,53,67,7417,773,900,244,3752,614,786,317,2966,530,2765,447,1003,243,1762,352
25,Austin,91600,2491,87651,2447,19756,1243,17783,1197,1835,402,1588,376,247,131,138,151,138,151,0,61,67895,1840,64907,1828,2710,485,2243,467,467,198,278,119,278,119,0,61,3949,717,1545,312,28,70,0,61,23,70,23,70,0,61,5,61,5,61,0,61,1517,303,108,93,771,211,466,199,305,108,638,207,290,137,348,166,2404,633,70,78,0,61,70,78,70,78,0,61,0,61,0,61,0,61,2334,622,220,134,1629,536,176,114,1453,522,485,272,221,137,264,219
26,West Garfield Park,17630,1172,17582,1171,5030,597,4967,595,63,72,57,73,6,34,0,35,0,35,0,35,12552,831,12408,825,134,147,127,147,7,35,10,38,0,35,10,38,48,46,30,37,5,35,5,35,0,35,0,35,0,35,0,35,0,35,0,35,25,37,0,35,10,34,10,34,0,35,15,38,15,38,0,35,18,41,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,18,41,0,35,1,33,1,33,0,35,17,43,17,43,0,35
27,East Garfield Park,19390,1221,18939,1224,5500,696,5355,693,105,83,105,83,0,38,40,49,40,49,0,38,13439,822,13082,817,255,125,215,117,40,48,102,62,72,52,30,50,451,187,218,103,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,218,103,37,47,28,56,28,56,0,38,153,86,130,81,23,48,233,137,17,45,0,38,17,45,17,45,0,38,0,38,0,38,0,38,216,123,149,105,28,44,0,38,28,44,39,50,0,38,39,50
