area_id,area_name,c18108001,c18108001_moe,c18108002,c18108002_moe,c18108003,c18108003_moe,c18108004,c18108004_moe,c18108005,c18108005_moe,c18108006,c18108006_moe,c18108007,c18108007_moe,c18108008,c18108008_moe,c18108009,c18108009_moe,c18108010,c18108010_moe,c18108011,c18108011_moe,c18108012,c18108012_moe,c18108013,c18108013_moe
1,Rogers Park,56493,2171,11436,1017,139,96,70,76,11227,1006,41370,1565,1901,375,1199,271,38270,1537,3687,419,540,165,899,240,2248,333
2,West Ridge,72744,2584,19036,1409,257,148,105,85,18674,1385,44917,1740,1861,352,1567,316,41489,1720,8791,702,1171,232,2322,355,5298,612
3,Uptown,53670,1701,6561,819,120,104,28,53,6413,803,42015,1382,1634,339,1744,349,38637,1321,5094,519,869,207,1413,306,2812,401
4,Lincoln Square,38116,1327,6318,689,94,76,86,84,6138,675,28459,919,964,274,745,212,26750,917,3339,388,595,168,598,188,2146,327
5,North Center,33402,1096,6243,549,155,98,25,57,6063,548,24658,815,443,133,392,170,23823,793,2501,296,453,132,490,142,1558,260
6,Lake View,96425,1729,9801,699,141,97,9,66,9651,700,80096,1477,2036,345,1062,234,76998,1464,6528,467,892,200,1479,284,4157,408
7,Lincoln Park,64028,1704,8871,835,280,205,44,61,8547,722,50638,1297,928,220,739,207,48971,1281,4519,386,638,154,648,188,3233,337
8,Near North Side,80315,1814,5892,725,26,60,60,68,5806,722,62190,1555,1141,262,833,208,60216,1564,12233,679,1601,298,1672,330,8960,645
9,Edison Park,11135,498,2266,248,63,71,41,62,2162,275,7202,415,239,95,239,119,6724,408,1667,153,193,74,365,111,1109,139
10,Norwood Park,36933,1214,7436,703,138,81,32,52,7266,699,22557,903,801,191,861,224,20895,871,6940,348,1135,209,1375,247,4430,334
11,Jefferson Park,26760,1243,5802,660,31,44,26,37,5745,658,17252,895,781,202,448,161,16023,873,3706,402,646,164,640,173,2420,348
12,Forest Glen,18542,646,4437,340,98,74,48,47,4291,349,11032,471,513,148,217,97,10302,466,3073,204,353,117,668,180,2052,210
13,North Park,18562,1003,4251,575,45,45,113,146,4093,575,11367,735,323,138,557,193,10487,730,2944,333,353,143,618,188,1973,302
14,Albany Park,53540,2062,13353,1089,132,86,107,85,13114,1083,36470,1456,1588,313,1232,293,33650,1481,3717,420,640,148,1069,280,2008,371
15,Portage Park,63461,1849,14634,1080,258,135,167,99,14209,1058,41856,1302,2236,346,1106,246,38514,1305,6971,510,1142,205,1641,283,4188,396
