area_id,area_name,b13012001,b13012001_moe,b13012002,b13012002_moe,b13012003,b13012003_moe,b13012004,b13012004_moe,b13012005,b13012005_moe,b13012006,b13012006_moe,b13012007,b13012007_moe,b13012008,b13012008_moe,b13012009,b13012009_moe,b13012010,b13012010_moe,b13012011,b13012011_moe,b13012012,b13012012_moe,b13012013,b13012013_moe,b13012014,b13012014_moe,b13012015,b13012015_moe
1,Rogers Park,16603,1091,871,229,530,187,316,150,214,119,341,134,218,115,123,80,15732,1083,5143,522,3755,426,1388,324,10589,953,7819,764,2770,440
2,West Ridge,16812,946,1284,309,1109,296,565,204,544,215,175,99,119,84,56,74,15528,915,7575,569,4748,478,2827,405,7953,752,5631,653,2322,377
3,Uptown,15847,823,655,197,537,179,385,155,152,94,118,90,80,81,38,58,15192,812,5068,495,4149,437,919,246,10124,757,8535,694,1589,301
4,Lincoln Square,11694,629,623,160,512,137,342,109,170,88,111,88,97,87,14,43,11071,638,4694,415,3786,381,908,215,6377,558,5587,496,790,199
5,North Center,10340,523,728,148,722,148,562,139,160,68,6,42,6,42,0,43,9612,523,4049,310,3330,295,719,152,5563,483,4956,469,607,187
6,Lake View,36238,1271,1451,238,1292,218,922,191,370,125,159,109,120,104,39,74,34787,1290,8866,531,7287,508,1579,257,25921,1272,23348,1208,2573,459
7,Lincoln Park,22829,986,843,173,705,150,436,118,269,101,138,94,96,88,42,59,21986,987,6134,486,4395,413,1739,298,15852,967,13701,885,2151,364
8,Near North Side,26098,1158,832,248,667,219,320,123,347,186,165,123,138,121,27,59,25266,1155,6146,615,4744,563,1402,266,19120,1099,16212,1001,2908,476
9,Edison Park,2834,292,55,43,44,40,15,27,29,37,11,26,11,26,0,25,2779,296,1196,157,919,151,277,104,1583,282,1292,255,291,147
10,Norwood Park,7712,513,508,170,359,134,331,131,28,43,149,111,146,112,3,36,7204,507,3927,356,3265,358,662,191,3277,430,2564,379,713,192
11,Jefferson Park,6301,525,350,140,274,124,239,121,35,47,76,70,43,63,33,39,5951,523,3222,345,2408,299,814,229,2729,394,2097,356,632,178
12,Forest Glen,3751,310,280,98,197,83,165,77,32,39,83,75,67,71,16,36,3471,310,2210,249,1763,253,447,144,1261,229,1034,212,227,87
13,North Park,4482,474,310,123,269,116,134,71,135,92,41,51,23,37,18,45,4172,469,1869,259,1408,223,461,152,2303,391,1482,329,821,187
14,Albany Park,14357,819,810,213,582,191,292,131,290,133,228,113,92,75,136,90,13547,823,6136,510,4536,486,1600,291,7411,657,5451,576,1960,325
