area_id,area_name,c27012001,c27012001_moe,c27012002,c27012002_moe,c27012003,c27012003_moe,c27012004,c27012004_moe,c27012005,c27012005_moe,c27012006,c27012006_moe,c27012007,c27012007_moe,c27012008,c27012008_moe,c27012009,c27012009_moe,c27012010,c27012010_moe,c27012011,c27012011_moe,c27012012,c27012012_moe,c27012013,c27012013_moe,c27012014,c27012014_moe,c27012015,c27012015_moe,c27012016,c27012016_moe,c27012017,c27012017_moe,c27012018,c27012018_moe,c27012019,c27012019_moe,c27012020,c27012020_moe,c27012021,c27012021_moe,c27012022,c27012022_moe,c27012023,c27012023_moe,c27012024,c27012024_moe,c27012025,c27012025_moe,c27012026,c27012026_moe,c27012027,c27012027_moe,c27012028,c27012028_moe,c27012029,c27012029_moe,c27012030,c27012030_moe,c27012031,c27012031_moe,c27012032,c27012032_moe,c27012033,c27012033_moe,c27012034,c27012034_moe,c27012035,c27012035_moe,c27012036,c27012036_moe,c27012037,c27012037_moe,c27012038,c27012038_moe,c27012039,c27012039_moe,c27012040,c27012040_moe,c27012041,c27012041_moe,c27012042,c27012042_moe,c27012043,c27012043_moe,c27012044,c27012044_moe,c27012045,c27012045_moe,c27012046,c27012046_moe
1,Rogers Park,45057,1602,20904,1087,20546,1077,15084,871,13498,839,1066,256,87,100,785,234,5462,700,358,127,321,120,229,107,32,52,192,98,0,48,37,61,13163,963,12742,961,7992,811,5401,679,1668,333,281,131,1008,269,4750,561,421,123,409,123,142,81,109,66,397,122,70,63,12,50,10990,987,8082,886,4832,699,1473,336,560,183,748,190,2712,588,3250,549,2908,392,2834,398,479,155,550,166,2823,398,1175,312,74,77
2,West Ridge,53708,1768,22335,1184,21663,1183,16061,1056,13748,922,1364,365,57,72,1503,377,5602,719,672,178,672,178,324,116,173,94,550,160,36,57,0,51,12946,916,11891,905,7018,642,4651,523,1041,265,190,122,1611,352,4873,669,1055,254,922,210,372,125,255,103,877,206,0,51,133,147,18427,1231,11363,1029,6556,750,2681,486,800,336,1088,291,2707,453,4807,780,7064,613,6505,561,1335,250,2042,295,6432,558,1889,365,559,283
3,Uptown,47109,1383,23427,1054,23010,1055,19201,930,17908,928,1316,341,92,69,499,192,3809,652,417,136,417,136,333,127,36,52,327,125,13,49,0,48,11294,820,10835,810,6876,599,4895,514,1488,283,75,65,814,224,3959,572,459,144,459,144,150,86,121,71,415,137,81,89,0,48,12388,919,8170,847,5591,725,1139,282,578,209,1227,274,3361,624,2579,445,4218,496,4022,483,605,160,692,189,3951,485,1567,320,196,145
4,Lincoln Square,31798,981,16843,745,16618,736,14460,712,13336,708,1228,274,33,44,239,118,2158,385,225,90,215,85,179,79,6,40,168,72,0,40,10,41,8314,637,7834,610,5102,491,3468,411,1097,217,74,72,470,167,2732,425,480,175,455,171,145,64,107,72,444,170,126,134,25,48,6641,668,4007,470,2691,372,1341,253,411,161,314,139,825,223,1316,307,2634,393,2619,392,522,165,850,205,2593,389,451,172,15,41
5,North Center,27159,813,16421,684,16191,682,15056,669,14302,669,1175,213,0,43,77,57,1135,270,230,91,230,91,168,83,23,45,183,80,11,44,0,43,5868,460,5632,450,4434,399,3446,348,931,192,38,49,193,99,1198,245,236,88,221,89,110,68,76,56,221,89,29,54,15,43,4870,476,2835,371,2253,304,1457,236,496,142,209,126,393,166,582,201,2035,280,2035,280,460,135,550,137,2022,281,477,183,0,43
6,Lake View,86624,1481,52246,1389,51534,1384,48588,1374,45643,1361,4016,463,74,74,212,105,2946,408,712,194,702,194,442,169,198,116,605,185,9,67,10,68,22212,1073,21408,1070,17250,940,12613,822,4759,551,98,87,371,134,4158,527,804,208,804,208,473,171,264,111,748,204,87,92,0,66,12166,794,7154,687,5480,559,3129,422,1349,267,634,180,780,224,1674,400,5012,418,4972,418,1391,263,1453,249,4917,416,1063,226,40,73
7,Lincoln Park,55157,1305,30726,1031,30044,1025,29087,1029,27167,1038,3016,421,46,67,77,71,957,237,682,153,682,153,455,126,87,68,606,144,20,58,0,51,14829,884,14122,873,12268,811,8922,705,3437,429,56,53,234,96,1854,330,707,153,707,153,294,106,228,82,653,148,39,54,0,51,9602,666,6472,587,5862,555,3614,450,1471,264,599,199,818,222,610,219,3130,347,3130,347,838,187,1206,239,3056,343,864,229,0,51
8,Near North Side,74423,1573,39341,1333,37106,1318,36074,1284,33175,1281,4034,539,67,81,155,95,1032,322,2235,359,2190,351,1505,304,519,168,1936,331,20,55,45,91,17571,1080,15228,1026,12699,938,9097,814,3585,461,25,60,486,199,2529,454,2343,343,2318,342,973,215,1068,230,2290,341,94,73,25,59,17511,1023,9856,840,8062,748,4220,567,2596,424,691,190,1118,279,1794,390,7655,561,7561,542,2499,345,3333,406,7478,536,1310,244,94,91
9,Edison Park,8869,402,4445,341,4331,338,3973,339,3851,340,385,166,4,24,62,59,358,188,114,59,114,59,103,56,22,32,94,55,11,27,0,25,1963,270,1869,274,1507,231,1351,243,235,109,13,28,96,68,362,143,94,53,94,53,56,41,42,36,94,53,20,26,0,25,2461,259,1002,221,848,189,533,141,129,77,170,99,148,97,154,97,1459,150,1442,150,844,163,693,142,1432,151,28,31,17,34
10,Norwood Park,29497,847,13061,763,12636,763,11592,740,10933,741,1126,286,0,39,140,95,1044,267,425,143,425,143,246,95,131,98,378,137,30,47,0,39,6277,566,5738,542,4541,450,3767,420,709,222,134,95,432,208,1197,287,539,148,539,148,227,101,198,103,539,148,32,64,0,39,10159,559,4183,488,3262,403,2227,342,452,148,389,137,472,166,921,239,5976,365,5968,364,2722,290,2446,296,5893,367,588,171,8,39
