area_id,area_name,b19301i001,b19301i001_moe
1,Rogers Park,194579,19791
2,West Ridge,211885,22906
3,Uptown,237108,28663
4,Lincoln Square,238253,31052
5,North Center,400397,53065
6,Lake View,1221312,144418
7,Lincoln Park,540764,76526
8,Near North Side,1261166,358593
9,Edison Park,67991,16748
10,Norwood Park,181487,38557
11,Jefferson Park,121909,13040
12,Forest Glen,119500,35880
13,North Park,71542,17719
14,Albany Park,160494,12125
15,Portage Park,243324,20087
16,Irving Park,278745,22224
17,Dunning,228799,17990
18,Montclare,30884,3412
19,Belmont Cragin,237897,10118
20,Hermosa,81093,5424
21,Avondale,146556,10567
22,Logan Square,497507,42753
23,Humboldt Park,207314,16217
24,West Town,652711,57585
25,Austin,266532,32263
26,West Garfield Park,36785,7100
27,East Garfield Park,78864,31653
28,Near West Side,668286,113070
29,North Lawndale,128376,16951
30,South Lawndale,192519,9001
31,Lower West Side,164157,10857
32,Loop,161138,45105
33,Near South Side,96888,20156
34,Armour Square,61060,14292
35,Douglas,151605,47503
36,Oakland,44508,20700
37,Fuller Park,11784,2340
38,Grand Boulevard,82672,29671
39,Kenwood,253126,277151
40,Washington Park,56360,12023
41,Hyde Park,172357,41388
42,Woodlawn,123686,38028
43,South Shore,190957,133210
44,Chatham,13913,14079
46,South Chicago,106923,15198
48,Calumet Heights,61494,40204
49,Roseland,18951,8789
50,Pullman,32324,5091
51,South Deering,43943,11891
52,East Side,91324,8032
53,West Pullman,38623,16725
54,Riverdale,20195,7556
55,Hegewisch,27485,4233
56,Garfield Ridge,187254,14679
57,Archer Heights,77906,7023
58,Brighton Park,120529,7015
59,McKinley Park,78843,6219
60,Bridgeport,194656,27556
61,New City,186784,18622
62,West Elsdon,53426,4476
63,Gage Park,93933,6304
64,Clearing,133772,11353
65,West Lawn,85640,5509
66,Chicago Lawn,113096,14676
67,West Englewood,120036,9795
68,Englewood,32701,18455
69,Greater Grand Crossing,63559,24716
70,Ashburn,118855,19153
71,Auburn Gresham,52954,8390
72,Beverly,181688,31398
73,Washington Heights,11159,6886
74,Mount Greenwood,77800,23924
75,Morgan Park,134472,45065
76,O'Hare,63032,14712
77,Edgewater,429087,49366
