Detailed Occupation for the Full-time, Year-round Civilian Employed Female Population
-------------------------------------------------------------------------------------
Universe: Full-time, Year-round Civilian Employed Female Population 16 Years and Over

B24126001 Total:
B24126204  First-line supervisors of correctional officers
B24126205  First-line supervisors of police and detectives
B24126206  First-line supervisors of fire fighting and prevention workers
B24126207  First-line supervisors of protective service workers, all other
B24126208  Firefighters
B24126209  Fire inspectors
B24126210  Bailiffs, correctional officers, and jailers
B24126211  Detectives and criminal investigators
B24126212  Fish and game wardens
B24126213  Parking enforcement workers
B24126214  Police and sheriff's patrol officers
B24126215  Transit and railroad police
B24126216  Animal control workers
B24126217  Private detectives and investigators
B24126218  Security guards and gaming surveillance officers
B24126219  Crossing guards
B24126220  Transportation security screeners
B24126221  Lifeguards and other recreational, and all other protective service workers
B24126222  Chefs and head cooks
B24126223  First-line supervisors of food preparation and serving workers
B24126224  Cooks
B24126225  Food preparation workers
B24126226  Bartenders
B24126227  Combined food preparation and serving workers, including fast food
B24126228  Counter attendants, cafeteria, food concession, and coffee shop
B24126229  Waiters and waitresses
B24126230  Food servers, nonrestaurant
B24126231  Dining room and cafeteria attendants and bartender helpers
B24126232  Dishwashers
B24126233  Hosts and hostesses, restaurant, lounge, and coffee shop
B24126234  Food preparation and serving related workers, all other
B24126235  First-line supervisors of housekeeping and janitorial workers
B24126236  First-line supervisors of landscaping, lawn service, and groundskeeping workers
B24126237  Janitors and building cleaners
B24126238  Maids and housekeeping cleaners
B24126239  Pest control workers
B24126240  Grounds maintenance workers
B24126241  First-line supervisors of gaming workers
B24126242  First-line supervisors of personal service workers
B24126243  Animal trainers
B24126244  Nonfarm animal caretakers
B24126245  Gaming services workers
B24126246  Motion picture projectionists
B24126247  Ushers, lobby attendants, and ticket takers
B24126248  Miscellaneous entertainment attendants and related workers
B24126249  Embalmers and funeral attendants
B24126250  Morticians, undertakers, and funeral directors
B24126251  Barbers
B24126252  Hairdressers, hairstylists, and cosmetologists
B24126253  Miscellaneous personal appearance workers
B24126254  Baggage porters, bellhops, and concierges
B24126255  Tour and travel guides
B24126256  Childcare workers
B24126257  Personal care aides
B24126258  Recreation and fitness workers
B24126259  Residential advisors
B24126260  Personal care and service workers, all other
B24126261  First-line supervisors of retail sales workers
B24126262  First-line supervisors of non-retail sales workers
B24126263  Cashiers
B24126264  Counter and rental clerks
B24126265  Parts salespersons
B24126266  Retail salespersons
B24126267  Advertising sales agents
B24126268  Insurance sales agents
B24126269  Securities, commodities, and financial services sales agents
B24126270  Travel agents
B24126271  Sales representatives, services, all other
B24126272  Sales representatives, wholesale and manufacturing
B24126273  Models, demonstrators, and product promoters
B24126274  Real estate brokers and sales agents
B24126275  Sales engineers
B24126276  Telemarketers
B24126277  Door-to-door sales workers, news and street vendors, and related workers
B24126278  Sales and related workers, all other
B24126279  First-line supervisors of office and administrative support workers
B24126280  Switchboard operators, including answering service
B24126281  Telephone operators
B24126282  Communications equipment operators, all other
B24126283  Bill and account collectors
B24126284  Billing and posting clerks
B24126285  Bookkeeping, accounting, and auditing clerks
B24126286  Gaming cage workers
B24126287  Payroll and timekeeping clerks
B24126288  Procurement clerks
B24126289  Tellers
B24126290  Financial clerks, all other
B24126291  Brokerage clerks
B24126292  Correspondence clerks
B24126293  Court, municipal, and license clerks
B24126294  Credit authorizers, checkers, and clerks
B24126295  Customer service representatives
B24126296  Eligibility interviewers, government programs
B24126297  File clerks
B24126298  Hotel, motel, and resort desk clerks
B24126299  Interviewers, except eligibility and loan
B24126300  Library assistants, clerical
B24126301  Loan interviewers and clerks
B24126302  New accounts clerks
B24126303  Order clerks
B24126453  Tailors, dressmakers, and sewers
B24126304  Human resources assistants, except payroll and timekeeping
B24126305  Receptionists and information clerks
B24126306  Reservation and transportation ticket agents and travel clerks
B24126307  Information and record clerks, all other
B24126308  Cargo and freight agents
B24126309  Couriers and messengers
B24126310  Dispatchers
B24126311  Meter readers, utilities
B24126312  Postal service clerks
B24126313  Postal service mail carriers
B24126314  Postal service mail sorters, processors, and processing machine operators
B24126315  Production, planning, and expediting clerks
B24126316  Shipping, receiving, and traffic clerks
B24126317  Stock clerks and order fillers
B24126318  Weighers, measurers, checkers, and samplers, recordkeeping
B24126319  Secretaries and administrative assistants
B24126320  Computer operators
B24126321  Data entry keyers
B24126322  Word processors and typists
B24126323  Desktop publishers
B24126324  Insurance claims and policy processing clerks
B24126325  Mail clerks and mail machine operators, except postal service
B24126326  Office clerks, general
B24126327  Office machine operators, except computer
B24126328  Proofreaders and copy markers
B24126329  Statistical assistants
B24126330  Office and administrative support workers, all other
B24126331  First-line supervisors of farming, fishing, and forestry workers
B24126332  Agricultural inspectors
B24126333  Animal breeders
B24126334  Graders and sorters, agricultural products
B24126335  Miscellaneous agricultural workers
B24126336  Fishing and hunting workers
B24126337  Forest and conservation workers
B24126338  Logging workers
B24126339  First-line supervisors of construction trades and extraction workers
B24126340  Boilermakers
B24126341  Brickmasons, blockmasons, and stonemasons
B24126342  Carpenters
B24126343  Carpet, floor, and tile installers and finishers
B24126344  Cement masons, concrete finishers, and terrazzo workers
B24126345  Construction laborers
B24126346  Paving, surfacing, and tamping equipment operators
B24126347  Operating engineers and other construction equipment operators, including pile-driver operators
B24126348  Drywall installers, ceiling tile installers, and tapers
B24126349  Electricians
B24126350  Glaziers
B24126351  Insulation workers
B24126352  Painters, construction and maintenance
B24126353  Paperhangers
B24126354  Pipelayers, plumbers, pipefitters, and steamfitters
B24126355  Plasterers and stucco masons
B24126356  Reinforcing iron and rebar workers
B24126357  Roofers
B24126358  Sheet metal workers
B24126359  Structural iron and steel workers
B24126360  Helpers, construction trades
B24126361  Construction and building inspectors
B24126362  Elevator installers and repairers
B24126363  Fence erectors
B24126364  Hazardous materials removal workers
B24126365  Highway maintenance workers
B24126366  Rail-track laying and maintenance equipment operators
B24126367  Septic tank servicers and sewer pipe cleaners
B24126368  Miscellaneous construction and related workers, including solar photovoltaic installers
B24126369  Derrick, rotary drill, and service unit operators, oil, gas, and mining
B24126370  Earth drillers, except oil and gas
B24126371  Explosives workers, ordnance handling experts, and blasters
B24126372  Mining machine operators
B24126373  Roof bolters, mining
B24126374  Roustabouts, oil and gas
B24126375  Helpers--extraction workers
B24126376  Other extraction workers
B24126377  First-line supervisors of mechanics, installers, and repairers
B24126378  Computer, automated teller, and office machine repairers
B24126379  Radio and telecommunications equipment installers and repairers
B24126380  Avionics technicians
B24126381  Electric motor, power tool, and related repairers
B24126382  Electrical and electronics installers and repairers, transportation equipment
B24126383  Electrical and electronics repairers, industrial and utility
B24126384  Electronic equipment installers and repairers, motor vehicles
B24126385  Electronic home entertainment equipment installers and repairers
B24126386  Security and fire alarm systems installers
B24126387  Aircraft mechanics and service technicians
B24126388  Automotive body and related repairers
B24126389  Automotive glass installers and repairers
B24126390  Automotive service technicians and mechanics
B24126391  Bus and truck mechanics and diesel engine specialists
B24126392  Heavy vehicle and mobile equipment service technicians and mechanics
B24126393  Small engine mechanics
B24126394  Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers
B24126395  Control and valve installers and repairers
B24126396  Heating, air conditioning, and refrigeration mechanics and installers
B24126397  Home appliance repairers
B24126398  Industrial and refractory machinery mechanics
B24126399  Maintenance and repair workers, general
B24126400  Maintenance workers, machinery
B24126401  Millwrights
B24126402  Electrical power-line installers and repairers
B24126403  Telecommunications line installers and repairers
B24126404  Precision instrument and equipment repairers
B24126405  Coin, vending, and amusement machine servicers and repairers
B24126406  Commercial divers
B24126407  Locksmiths and safe repairers
