Divorces in the Last Year by Sex by Marital Status
--------------------------------------------------
Universe: Population 15 Years and Over

B12503001 Total:
B12503002  Male:
B12503003   Never married
B12503004   Ever married:
B12503005    Divorced last year
B12503006    Not divorced last year
B12503007  Female:
B12503008   Never married
B12503009   Ever married:
B12503010    Divorced last year
B12503011    Not divorced last year
