area_id,area_name,b07003001,b07003001_moe,b07003002,b07003002_moe,b07003003,b07003003_moe,b07003004,b07003004_moe,b07003005,b07003005_moe,b07003006,b07003006_moe,b07003007,b07003007_moe,b07003008,b07003008_moe,b07003009,b07003009_moe,b07003010,b07003010_moe,b07003011,b07003011_moe,b07003012,b07003012_moe,b07003013,b07003013_moe,b07003014,b07003014_moe,b07003015,b07003015_moe,b07003016,b07003016_moe,b07003017,b07003017_moe,b07003018,b07003018_moe
1,Rogers Park,56603,2181,28469,1315,28134,1405,43326,2038,21697,1182,21629,1232,9180,1307,4609,753,4571,802,482,173,227,122,255,118,2145,388,1105,255,1040,240,1470,580,831,399,639,275
2,West Ridge,72552,2514,35500,1549,37052,1492,62321,2478,30215,1476,32106,1459,7490,1315,3912,811,3578,668,439,324,267,201,172,140,776,360,463,234,313,190,1526,551,643,277,883,368
3,Uptown,54415,1671,28553,1195,25862,1089,42880,1621,21941,1098,20939,1003,8251,851,4729,591,3522,459,569,168,277,114,292,130,2096,493,1127,377,969,280,619,244,479,213,140,82
4,Lincoln Square,38023,1318,18890,848,19133,867,30894,1370,15201,834,15693,829,5499,919,2762,517,2737,549,303,161,208,122,95,73,1127,286,596,171,531,163,200,122,123,98,77,71
5,North Center,32766,1079,16335,748,16431,756,26664,1106,13300,666,13364,726,4969,630,2579,429,2390,374,257,135,127,92,130,89,780,231,295,105,485,169,96,86,34,54,62,59
6,Lake View,95272,1709,46603,1369,48669,1428,66716,1795,32854,1199,33862,1285,17930,1214,8457,847,9473,787,2477,521,1185,341,1292,319,6653,675,3419,449,3234,420,1496,444,688,294,808,308
7,Lincoln Park,63827,1706,31108,1161,32719,1204,45373,1706,22226,1015,23147,1068,11805,1037,5502,669,6303,675,1478,322,888,255,590,162,4380,608,2098,387,2282,409,791,262,394,159,397,176
8,Near North Side,79778,1764,36516,1336,43262,1373,60156,1813,27135,1225,33021,1237,10830,986,5092,627,5738,639,1719,430,804,285,915,318,5522,846,2676,508,2846,511,1551,424,809,259,742,244
9,Edison Park,11091,497,5132,356,5959,352,10379,470,4749,336,5630,346,506,206,241,114,265,146,9,27,0,25,9,27,185,161,136,155,49,55,12,27,6,26,6,24
10,Norwood Park,36936,1175,17866,752,19070,832,34613,1168,16798,716,17815,814,1920,633,857,361,1063,364,111,82,52,54,59,62,189,91,105,66,84,65,103,59,54,47,49,50
