area_id,area_name,b03001001,b03001001_moe,b03001002,b03001002_moe,b03001003,b03001003_moe,b03001004,b03001004_moe,b03001005,b03001005_moe,b03001006,b03001006_moe,b03001007,b03001007_moe,b03001008,b03001008_moe,b03001009,b03001009_moe,b03001010,b03001010_moe,b03001011,b03001011_moe,b03001012,b03001012_moe,b03001013,b03001013_moe,b03001014,b03001014_moe,b03001015,b03001015_moe,b03001016,b03001016_moe,b03001017,b03001017_moe,b03001018,b03001018_moe,b03001019,b03001019_moe,b03001020,b03001020_moe,b03001021,b03001021_moe,b03001022,b03001022_moe,b03001023,b03001023_moe,b03001024,b03001024_moe,b03001025,b03001025_moe,b03001026,b03001026_moe,b03001027,b03001027_moe,b03001028,b03001028_moe,b03001029,b03001029_moe,b03001030,b03001030_moe,b03001031,b03001031_moe
47,Burnside,3508,686,3508,686,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14382,814,13781,768,601,307,217,112,384,314,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,45285,1660,44928,1655,357,179,125,108,156,132,28,60,27,54,21,53,0,41,0,41,0,41,0,41,21,53,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,7262,584,6713,557,549,261,523,265,20,27,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,6,30,0,19,6,30,0,19,0,19
51,South Deering,16445,1030,11247,885,5198,765,4841,756,175,147,0,25,0,25,171,147,0,25,56,85,10,27,21,41,0,25,84,113,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,11,26,0,25,0,25,0,25,11,26
52,East Side,23517,1386,4915,653,18602,1499,17193,1450,769,343,21,41,41,71,307,332,0,29,231,317,76,103,0,29,0,29,0,29,0,29,153,128,0,29,0,29,29,51,42,72,23,43,0,29,59,95,0,29,0,29,0,29,118,75,20,41,21,43,0,29,77,59
53,West Pullman,30810,1644,29422,1619,1388,418,1223,388,139,156,0,39,0,39,16,43,0,39,0,39,0,39,0,39,16,43,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,10,41,0,39,0,39,0,39,10,41
54,Riverdale,6820,725,6684,731,136,85,86,63,3,13,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,47,79,0,16,0,16,0,16,47,79
55,Hegewisch,10168,928,4999,700,5169,871,4353,945,584,377,0,19,0,19,114,81,0,19,55,62,16,29,0,19,0,19,43,49,0,19,27,40,0,19,0,19,0,19,0,19,0,19,0,19,18,37,0,19,9,19,0,19,91,108,0,19,0,19,0,19,91,108
56,Garfield Ridge,33940,1080,20756,983,13184,1081,11757,1038,946,459,89,78,0,42,135,107,10,42,56,55,0,42,0,42,0,42,69,100,0,42,75,85,0,42,0,42,18,49,10,44,47,77,0,42,0,42,0,42,0,42,0,42,182,118,117,107,0,42,0,42,65,65
