area_id,area_name,b24091001,b24091001_moe,b24091002,b24091002_moe,b24091003,b24091003_moe,b24091004,b24091004_moe,b24091005,b24091005_moe,b24091006,b24091006_moe,b24091007,b24091007_moe,b24091008,b24091008_moe,b24091009,b24091009_moe
1,Rogers Park,32083,5120,31298,3016,31048,2708,61389,55132,43077,15829,48542,41188,35341,46129,41750,31108,19491,96426
2,West Ridge,171225,13745,154402,25272,149912,29515,196211,86158,157196,66467,276159,41950,235872,78086,264093,82635,102675,67607
3,Uptown,50625,3672,49500,8280,46574,9400,113500,14975,55511,13447,64896,42996,54219,6015,88000,53492,9306,75610
4,Lincoln Square,210421,22832,210247,31788,218125,32489,175954,143425,232833,63160,198969,49467,240162,122057,223007,210550,215000,136391
5,North Center,253310,15775,268355,23981,269110,24401,291152,233871,212323,37903,255754,105987,192567,204931,278112,145120,188346,281345
6,Lake View,303094,15018,322424,20035,318939,20003,473670,219031,259848,29570,258243,57222,208804,70427,488415,116275,413162,363851
7,Lincoln Park,286887,22673,309194,24410,304396,26535,443340,255174,228600,26718,266654,106068,441183,179379,476648,160728,306262,451707
8,Near North Side,216651,14206,219271,16805,219854,17035,421442,191863,242088,49342,139486,51555,159110,102834,185964,266323,159707,314358
9,Edison Park,128745,13422,111501,15961,111264,15153,126451,262942,120380,48589,166500,18138,84756,43202,173988,146870,109671,110186
10,Norwood Park,106363,8818,95712,15937,95102,16184,132771,62376,105781,40030,150529,4903,111613,60371,178266,26185,80869,45893
13,North Park,83928,8740,76206,9737,77305,10330,48628,74440,83904,14961,107906,28171,115711,19981,69292,71383,53465,39102
14,Albany Park,70736,10131,65563,9604,65050,9929,174926,65981,96431,24184,82273,118444,127844,157771,87029,56746,36133,17579
15,Portage Park,123520,11381,113035,9656,113114,9068,105595,75005,150755,26790,165730,51539,157755,89444,164624,40927,89808,169603
16,Irving Park,38954,6435,34440,8304,33836,7866,150139,252149,45357,11219,65660,22087,38789,5036,49432,9004,28750,5757
17,Dunning,160859,14251,135321,12295,133980,10820,176128,25731,200417,60565,246248,43534,209193,72278,221394,28901,124434,74459
19,Belmont Cragin,38167,8845,34297,12299,32734,12547,41923,5548,46750,30414,38750,69644,44167,9064,24032,7330,26985,34199
21,Avondale,79792,8709,74340,14693,69106,16872,206838,63845,98875,70611,96928,17420,143571,110759,182069,99864,74865,61721
22,Logan Square,155967,13229,153632,15873,149547,15516,233136,112559,151793,134010,146911,64645,221976,56454,301313,142186,91908,58115
23,Humboldt Park,31711,2094,30986,3251,31046,3106,24453,23674,43571,20466,34844,18084,46250,368,42431,6795,18750,3937
24,West Town,442509,25770,460646,34434,445431,33539,743029,375306,488150,130622,490760,81454,552115,134148,509199,223566,363089,257074
25,Austin,52954,5506,42174,6471,41880,5160,104219,82390,84508,24806,61717,11663,64821,104504,44821,54739,53583,25573
28,Near West Side,330127,16808,339910,19656,345017,20352,292542,135984,318331,66745,326359,79759,219132,36790,525599,190989,308255,202194
32,Loop,68192,9416,66525,10436,66850,11092,44458,75548,44545,25804,53594,73562,45750,27967,106489,23476,105904,87838
33,Near South Side,141919,17989,144164,21183,149340,22085,164411,33268,164833,23566,145056,51006,73113,126550,139465,53628,85937,82183
35,Douglas,53892,4482,55625,7906,55781,7628,7396,146284,32391,8052,50357,18091,53750,8291,59716,29108,195511,223080
41,Hyde Park,38854,13231,36326,25540,35530,23609,109519,346139,44722,14430,29779,35284,57237,7584,27344,23659,11440,563
42,Woodlawn,46671,13928,44805,15949,44766,14742,58125,80101,42024,19422,62059,16681,93125,138975,56194,584,20833,5842
45,Avalon Park,50677,10415,44333,15170,44438,15356,22340,209822,62800,40522,70625,59771,80685,3662,52556,71937,48182,25128
48,Calumet Heights,51548,19406,39583,17747,38333,12319,142500,164954,40729,8915,66731,18678,73125,49760,73359,15722,21771,24455
52,East Side,31712,7453,35891,5812,35439,8068,39135,16637,25000,10435,73438,23988,63906,10698,53333,35975,16364,3571
56,Garfield Ridge,55423,6172,43021,6972,41741,7491,62283,30723,52813,18183,71176,9542,62724,10073,58250,36642,28889,9578
60,Bridgeport,98721,13862,85359,9936,85537,10000,73376,205741,106944,40319,137215,21057,149921,27929,137445,79487,24204,182665
66,Chicago Lawn,36890,3554,32573,4434,33096,3672,20769,8238,42685,9234,50938,5465,37344,176138,55156,26278,21898,21545
70,Ashburn,44615,3979,40433,5374,40357,6117,40658,21651,42500,50563,62994,19393,48269,21920,59167,34562,32188,38007
72,Beverly,218718,15272,214576,26003,209385,28313,359254,236708,198420,66903,233849,18882,243344,93534,245513,60170,103014,214331
74,Mount Greenwood,63728,6095,45278,9571,44865,10830,46250,23333,51250,24960,82432,2535,43548,1405,90329,52871,56167,41628
75,Morgan Park,119850,7426,113557,11557,113623,11252,117308,71550,116212,30554,137898,13457,202649,115173,127625,18407,56339,50588
77,Edgewater,118323,14397,117887,18551,117088,12838,118891,23393,110377,10999,149054,37775,93376,36621,167338,144063,116842,29306
