area_id,area_name,c21001i001,c21001i001_moe,c21001i002,c21001i002_moe,c21001i003,c21001i003_moe,c21001i004,c21001i004_moe,c21001i005,c21001i005_moe,c21001i006,c21001i006_moe,c21001i007,c21001i007_moe,c21001i008,c21001i008_moe,c21001i009,c21001i009_moe,c21001i010,c21001i010_moe,c21001i011,c21001i011_moe,c21001i012,c21001i012_moe,c21001i013,c21001i013_moe,c21001i014,c21001i014_moe,c21001i015,c21001i015_moe
1,Rogers Park,9717,1105,5687,750,5502,741,73,86,5429,741,185,97,3,47,182,98,4030,565,3761,548,11,50,3750,547,269,133,0,48,269,133
2,West Ridge,10384,1379,5337,785,4701,734,83,91,4618,723,636,237,44,69,592,232,5047,740,4323,684,23,55,4300,683,724,250,0,51,724,250
3,Uptown,5919,826,3442,571,3329,566,51,64,3278,565,113,70,27,53,86,66,2477,409,2155,386,0,48,2155,386,322,149,0,48,322,149
4,Lincoln Square,5487,784,2791,484,2536,473,166,143,2370,457,255,115,12,43,243,113,2696,431,2407,405,0,40,2407,405,289,168,0,40,289,168
5,North Center,3765,588,1880,366,1645,349,121,86,1524,332,235,105,19,45,216,103,1885,328,1550,306,0,43,1550,306,335,149,0,43,335,149
6,Lake View,6201,666,3120,422,2950,414,69,87,2881,410,170,88,65,80,105,75,3081,453,2763,442,7,66,2756,441,318,120,0,66,318,120
7,Lincoln Park,3235,506,1655,365,1534,361,29,52,1505,360,121,71,16,56,105,67,1580,292,1302,267,0,51,1302,267,278,113,0,51,278,113
8,Near North Side,4123,709,1935,456,1766,439,22,60,1744,438,169,132,3,54,166,132,2188,470,2020,462,0,54,2020,462,168,90,0,54,168,90
9,Edison Park,339,130,122,72,110,70,10,27,100,68,12,26,0,25,12,26,217,89,166,81,0,25,166,81,51,51,0,25,51,51
10,Norwood Park,3104,577,1410,323,1330,317,84,74,1246,310,80,57,13,38,67,54,1694,389,1510,390,0,39,1510,390,184,76,0,39,184,76
11,Jefferson Park,3380,574,1697,316,1644,310,53,51,1591,309,53,46,9,31,44,46,1683,379,1613,381,0,29,1613,381,70,56,0,29,70,56
12,Forest Glen,1452,313,713,179,628,169,10,31,618,168,85,68,0,29,85,68,739,179,680,173,0,29,680,173,59,59,27,49,32,44
13,North Park,2381,487,1226,289,1111,270,53,46,1058,272,115,71,0,27,115,71,1155,273,1023,256,46,75,977,238,132,84,0,27,132,84
14,Albany Park,19107,1499,10815,990,10531,998,191,94,10340,995,284,105,29,52,255,102,8292,792,7729,779,14,47,7715,778,563,193,0,45,563,193
15,Portage Park,17511,1239,8429,689,7926,677,246,133,7680,669,503,172,48,62,455,168,9082,798,8530,757,16,53,8514,755,552,170,0,47,552,170
16,Irving Park,17456,1297,9153,860,8563,838,188,102,8375,838,590,182,55,67,535,175,8303,680,7712,670,13,50,7699,671,591,169,0,47,591,169
17,Dunning,6748,638,3465,402,3196,390,137,79,3059,395,269,105,0,40,269,105,3283,418,2865,382,0,40,2865,382,418,120,0,40,418,120
18,Montclare,4170,516,1985,267,1843,252,100,70,1743,257,142,95,69,78,73,50,2185,320,1897,287,4,18,1893,287,288,131,0,23,288,131
19,Belmont Cragin,39607,1715,20367,1104,19295,1081,360,128,18935,1076,1072,224,114,85,958,214,19240,895,17961,881,68,82,17893,883,1279,233,0,52,1279,233
20,Hermosa,15503,989,7581,617,6989,591,207,116,6782,581,592,174,49,52,543,170,7922,611,7171,573,0,29,7171,573,751,191,0,29,751,191
21,Avondale,19551,1507,10546,940,9996,927,258,114,9738,927,550,170,7,37,543,167,9005,800,8146,753,10,40,8136,753,859,216,0,38,859,216
22,Logan Square,25896,1459,13122,911,11888,894,201,103,11687,890,1234,238,108,82,1126,229,12774,817,11152,781,75,100,11077,786,1622,251,0,57,1622,251
23,Humboldt Park,18970,1188,9209,731,8580,717,389,152,8191,700,629,162,71,70,558,155,9761,689,8937,672,12,53,8925,672,824,182,0,51,824,182
24,West Town,18012,1193,8828,718,7727,688,143,82,7584,687,1101,220,54,68,1047,222,9184,696,7873,656,20,64,7853,656,1311,204,0,62,1311,204
25,Austin,5577,800,2756,439,2541,421,82,73,2459,421,215,112,49,73,166,104,2821,468,2635,442,17,65,2618,441,186,96,0,61,186,96
26,West Garfield Park,160,126,106,88,99,88,14,45,85,82,7,35,0,35,7,35,54,51,54,51,0,35,54,51,0,35,0,35,0,35
27,East Garfield Park,245,98,116,65,115,65,14,39,101,65,1,37,0,38,1,37,129,70,124,70,0,38,124,70,5,37,0,38,5,37
