area_id,area_name,b11016001,b11016001_moe,b11016002,b11016002_moe,b11016003,b11016003_moe,b11016004,b11016004_moe,b11016005,b11016005_moe,b11016006,b11016006_moe,b11016007,b11016007_moe,b11016008,b11016008_moe,b11016009,b11016009_moe,b11016010,b11016010_moe,b11016011,b11016011_moe,b11016012,b11016012_moe,b11016013,b11016013_moe,b11016014,b11016014_moe,b11016015,b11016015_moe,b11016016,b11016016_moe
1,Rogers Park,23981,550,10091,605,3730,408,2518,361,1868,335,1075,244,546,202,354,132,13890,663,10695,611,2647,341,229,113,188,113,103,92,28,64,0,48
2,West Ridge,24402,485,16321,613,5603,477,3170,423,3540,443,2302,368,900,249,806,202,8081,558,6604,521,1205,272,185,116,14,54,28,67,32,71,13,56
3,Uptown,29441,501,9232,572,5216,480,2027,360,1248,238,435,157,170,109,136,105,20209,662,16694,662,3069,358,364,160,82,68,0,48,0,48,0,48
4,Lincoln Square,17622,376,8394,466,3797,364,2455,343,1285,233,550,162,204,122,103,81,9228,493,7023,480,1953,286,231,117,11,40,0,40,10,42,0,40
5,North Center,14724,323,7252,362,3306,296,1747,233,1365,196,649,151,162,88,23,49,7472,391,5222,363,1832,258,237,103,181,103,0,43,0,43,0,43
6,Lake View,52568,659,14864,634,8369,538,3415,342,2137,278,675,149,187,105,81,85,37704,825,27176,837,8031,552,2095,290,340,129,62,90,0,66,0,66
7,Lincoln Park,32194,546,10261,528,5219,423,2173,266,1951,249,768,235,150,80,0,51,21933,645,16514,669,3957,401,1107,214,333,143,22,60,0,51,0,51
8,Near North Side,50758,883,15079,781,11627,761,1570,287,1255,254,446,194,141,81,40,61,35679,1047,31270,1071,4054,502,293,127,62,84,0,54,0,54,0,54
9,Edison Park,4608,141,2829,194,1430,195,415,114,588,124,278,95,72,50,46,41,1779,205,1491,202,250,104,38,58,0,25,0,25,0,25,0,25
10,Norwood Park,14646,262,9614,389,4087,358,2328,311,2077,295,717,162,274,117,131,94,5032,384,4550,385,420,162,62,84,0,39,0,39,0,39,0,39
11,Jefferson Park,9943,274,6374,356,2192,292,1617,260,1375,246,728,179,333,126,129,87,3569,346,3297,345,235,99,29,54,8,30,0,29,0,29,0,29
12,Forest Glen,6793,159,4867,213,1879,201,908,182,1250,199,653,151,166,76,11,34,1926,235,1701,225,211,106,14,35,0,29,0,29,0,29,0,29
13,North Park,6436,188,4250,254,1643,249,933,184,721,176,564,144,161,73,228,96,2186,238,1794,234,333,135,29,39,30,53,0,27,0,27,0,27
14,Albany Park,16804,326,10842,482,3033,371,2218,299,2661,338,1297,249,910,224,723,195,5962,462,4105,417,1509,291,279,144,15,46,20,53,34,69,0,45
15,Portage Park,22505,401,14935,511,4853,428,3971,407,3261,363,1733,308,607,178,510,142,7570,499,6241,463,1194,231,135,99,0,47,0,47,0,47,0,47
16,Irving Park,20177,401,12442,497,4144,396,3251,357,2928,350,1016,210,437,167,666,189,7735,463,5809,432,1726,272,150,102,50,66,0,47,0,47,0,47
17,Dunning,15141,266,10702,388,4185,344,2801,330,2226,279,878,166,291,100,321,112,4439,364,3930,348,409,110,9,40,91,84,0,40,0,40,0,40
18,Montclare,4425,173,2909,245,971,202,696,165,703,170,366,120,89,51,84,64,1516,203,1373,197,106,57,0,23,37,48,0,23,0,23,0,23
19,Belmont Cragin,21570,412,16806,526,3890,406,3236,387,4143,448,2891,370,1328,245,1318,257,4764,411,4035,382,647,177,29,57,53,72,0,52,0,52,0,52
20,Hermosa,7070,219,5456,268,1020,207,1447,237,1288,229,1023,207,429,150,249,101,1614,222,1307,204,237,106,40,51,30,55,0,29,0,29,0,29
21,Avondale,13801,329,8793,441,2554,314,2258,307,1832,283,1065,235,615,186,469,157,5008,409,3687,376,1073,229,181,94,29,60,38,57,0,38,0,38
22,Logan Square,29492,477,14728,559,5721,427,3629,381,2905,336,1478,251,660,176,335,118,14764,571,9557,533,4368,376,682,165,122,76,35,64,0,57,0,57
23,Humboldt Park,16778,419,11493,468,3356,378,2701,340,2306,338,1422,263,791,189,917,207,5285,437,4160,405,972,210,103,80,43,74,7,50,0,51,0,51
24,West Town,37287,534,15867,600,7313,473,4105,380,2509,303,1185,227,507,152,248,117,21420,633,13896,616,5985,442,1273,229,225,99,31,69,10,63,0,62
