area_id,area_name,b25087001,b25087001_moe,b25087002,b25087002_moe,b25087003,b25087003_moe,b25087004,b25087004_moe,b25087005,b25087005_moe,b25087006,b25087006_moe,b25087007,b25087007_moe,b25087008,b25087008_moe,b25087009,b25087009_moe,b25087010,b25087010_moe,b25087011,b25087011_moe,b25087012,b25087012_moe,b25087013,b25087013_moe,b25087014,b25087014_moe,b25087015,b25087015_moe,b25087016,b25087016_moe,b25087017,b25087017_moe,b25087018,b25087018_moe,b25087019,b25087019_moe,b25087020,b25087020_moe,b25087021,b25087021_moe,b25087022,b25087022_moe,b25087023,b25087023_moe,b25087024,b25087024_moe,b25087025,b25087025_moe,b25087026,b25087026_moe,b25087027,b25087027_moe,b25087028,b25087028_moe,b25087029,b25087029_moe
1,Rogers Park,6995,461,5901,436,0,48,0,48,15,51,13,49,102,77,19,48,121,84,73,67,150,107,382,135,706,173,1812,266,1153,239,576,152,779,181,1094,214,9,49,12,48,9,47,22,48,9,47,11,49,30,48,64,57,314,127,180,87,434,144
2,West Ridge,12314,533,8193,513,0,51,0,51,12,53,0,51,39,58,17,52,117,74,178,82,231,126,602,160,985,212,1818,304,1821,319,1037,227,1336,271,4121,373,32,57,18,57,0,51,59,82,72,68,239,103,219,101,586,164,673,180,547,147,1676,279
3,Uptown,9490,491,7956,480,0,48,0,48,0,48,3,47,8,48,90,65,57,68,46,52,176,96,594,168,788,192,1741,259,1865,284,1537,238,1051,206,1534,237,13,49,0,48,25,61,13,49,38,53,9,48,46,59,137,90,193,89,103,72,957,197
4,Lincoln Square,7020,447,5577,432,0,40,0,40,12,42,0,40,33,52,37,49,50,50,29,53,57,53,358,133,393,132,1118,233,1120,205,873,187,1497,221,1443,221,0,40,0,40,16,46,26,45,18,42,28,45,18,42,302,119,153,73,184,92,698,150
5,North Center,7758,369,6338,354,0,43,0,43,0,43,7,43,0,43,15,42,20,45,16,44,41,52,306,128,197,84,763,155,957,178,897,173,3119,283,1420,209,0,43,10,43,24,46,10,44,5,42,0,43,25,43,85,47,73,56,112,61,1076,197
6,Lake View,19687,707,15973,688,0,66,7,66,0,66,9,67,32,69,61,75,44,73,70,74,108,84,490,165,925,218,2667,348,2867,346,2816,362,5877,427,3714,340,22,73,10,67,0,66,36,71,41,70,41,69,106,77,168,99,255,107,337,135,2698,299
7,Lincoln Park,14662,578,11336,548,0,51,0,51,0,51,0,51,30,67,5,50,8,51,63,77,51,69,210,93,446,144,1383,245,1646,248,1672,248,5822,425,3326,314,23,55,12,53,0,51,0,51,0,51,27,58,49,80,94,68,114,73,212,99,2795,303
8,Near North Side,22765,857,15960,799,0,54,0,54,10,53,0,54,26,59,13,58,43,87,107,103,68,78,323,146,528,184,2824,411,2707,391,2493,365,6818,554,6805,542,0,54,0,54,13,58,19,58,26,66,36,65,23,58,135,83,192,114,308,133,6053,523
9,Edison Park,3676,182,2416,196,0,25,0,25,0,25,0,25,0,25,19,28,0,25,0,25,11,26,127,64,193,81,757,176,427,111,402,127,480,127,1260,166,0,25,0,25,11,27,10,27,16,27,21,30,72,46,126,60,314,114,169,76,521,121
10,Norwood Park,11624,364,7131,382,0,39,0,39,0,39,20,42,32,43,44,51,102,67,98,68,174,93,410,125,661,182,1640,260,1419,224,1111,213,1420,251,4493,352,0,39,0,39,28,45,66,56,129,68,207,84,198,86,672,139,912,174,1027,224,1254,208
11,Jefferson Park,6535,336,4227,320,0,29,0,29,0,29,7,29,21,34,47,46,26,34,5,29,96,79,428,146,308,120,839,185,925,193,821,194,704,195,2308,243,0,29,0,29,17,33,49,49,60,60,46,58,102,53,404,128,504,140,451,129,675,159
12,Forest Glen,5964,202,3907,232,0,29,0,29,7,29,0,29,26,36,15,32,11,31,29,40,26,32,137,82,165,74,415,133,914,195,682,153,1480,198,2057,204,0,29,0,29,5,28,0,29,8,30,39,41,38,38,84,51,259,83,337,103,1287,180
