area_id,area_name,b11001h001,b11001h001_moe,b11001h002,b11001h002_moe,b11001h003,b11001h003_moe,b11001h004,b11001h004_moe,b11001h005,b11001h005_moe,b11001h006,b11001h006_moe,b11001h007,b11001h007_moe,b11001h008,b11001h008_moe,b11001h009,b11001h009_moe
1,Rogers Park,11511,548,3741,379,2863,333,878,201,371,146,507,151,7770,519,5808,458,1962,275
2,West Ridge,12814,569,7527,500,5906,466,1621,295,406,147,1215,259,5287,455,4541,432,746,206
3,Uptown,17054,630,4748,410,3829,376,919,235,259,122,660,202,12306,624,9584,589,2722,327
4,Lincoln Square,12566,495,5377,403,4566,370,811,190,119,67,692,175,7189,463,5303,437,1886,275
5,North Center,12029,379,5874,340,5045,316,829,163,219,86,610,143,6155,381,4214,345,1941,252
6,Lake View,42481,819,11814,596,10268,565,1546,271,574,173,972,214,30667,840,21555,807,9112,555
7,Lincoln Park,26940,654,8885,515,7980,511,905,182,273,115,632,147,18055,677,13405,668,4650,421
8,Near North Side,37992,984,10806,633,9847,611,959,260,369,161,590,202,27186,1030,23446,1018,3740,471
9,Edison Park,4322,172,2672,201,2117,184,555,149,206,100,349,124,1650,211,1362,205,288,113
10,Norwood Park,12754,343,8122,357,6554,354,1568,275,444,135,1124,241,4632,383,4316,380,316,122
11,Jefferson Park,7639,343,4576,339,3524,334,1052,212,381,138,671,169,3063,327,2856,324,207,92
12,Forest Glen,5308,223,3698,208,3290,216,408,120,153,93,255,84,1610,219,1432,213,178,87
13,North Park,3713,227,2079,200,1686,186,393,141,197,89,196,108,1634,201,1412,202,222,113
14,Albany Park,7190,418,3686,346,2812,294,874,213,358,137,516,166,3504,374,2649,335,855,208
15,Portage Park,14549,504,8499,453,6377,432,2122,319,457,135,1665,293,6050,462,5166,423,884,196
16,Irving Park,10938,454,5931,377,4458,338,1473,246,435,143,1038,202,5007,393,3764,346,1243,225
17,Dunning,12081,359,8123,395,6051,376,2072,285,562,171,1510,238,3958,355,3536,338,422,127
18,Montclare,2310,202,1262,200,919,186,343,118,134,70,209,107,1048,176,964,174,84,51
19,Belmont Cragin,5465,376,2971,309,2016,263,955,193,319,116,636,155,2494,282,2194,273,300,111
20,Hermosa,972,178,491,142,255,109,236,101,29,42,207,100,481,130,420,125,61,50
21,Avondale,5464,368,2431,278,1643,235,788,184,221,99,567,157,3033,326,2333,307,700,154
