area_id,area_name,b25073001,b25073001_moe,b25073002,b25073002_moe,b25073003,b25073003_moe,b25073004,b25073004_moe,b25073005,b25073005_moe,b25073006,b25073006_moe,b25073007,b25073007_moe,b25073008,b25073008_moe,b25073009,b25073009_moe,b25073010,b25073010_moe,b25073011,b25073011_moe,b25073012,b25073012_moe,b25073013,b25073013_moe,b25073014,b25073014_moe,b25073015,b25073015_moe,b25073016,b25073016_moe,b25073017,b25073017_moe,b25073018,b25073018_moe,b25073019,b25073019_moe,b25073020,b25073020_moe,b25073021,b25073021_moe,b25073022,b25073022_moe,b25073023,b25073023_moe,b25073024,b25073024_moe,b25073025,b25073025_moe,b25073026,b25073026_moe,b25073027,b25073027_moe,b25073028,b25073028_moe,b25073029,b25073029_moe,b25073030,b25073030_moe,b25073031,b25073031_moe,b25073032,b25073032_moe,b25073033,b25073033_moe,b25073034,b25073034_moe,b25073035,b25073035_moe,b25073036,b25073036_moe,b25073037,b25073037_moe,b25073038,b25073038_moe,b25073039,b25073039_moe,b25073040,b25073040_moe,b25073041,b25073041_moe,b25073042,b25073042_moe,b25073043,b25073043_moe,b25073044,b25073044_moe,b25073045,b25073045_moe,b25073046,b25073046_moe,b25073047,b25073047_moe,b25073048,b25073048_moe,b25073049,b25073049_moe,b25073050,b25073050_moe
1,Rogers Park,16986,651,390,138,43,62,21,51,24,59,59,62,203,112,40,56,2780,366,453,165,353,139,270,127,249,135,1236,247,219,133,5992,520,1514,308,669,196,605,176,329,122,2757,383,118,79,4159,435,709,185,580,180,369,142,447,180,1852,301,202,143,3647,411,643,212,506,191,461,173,297,128,1562,280,178,96,18,54,0,48,0,48,0,48,0,48,0,48,18,54,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,West Ridge,12088,626,726,231,194,123,44,60,81,78,7,51,298,163,102,97,5458,538,972,253,664,225,469,174,359,168,2570,431,424,164,3875,436,680,199,388,151,421,180,291,142,1977,331,118,99,979,240,125,101,39,65,66,69,94,84,622,204,33,65,968,207,217,120,0,51,79,69,52,83,590,165,30,55,82,103,0,51,0,51,0,51,0,51,82,103,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
3,Uptown,19951,640,286,123,127,88,5,47,39,55,0,48,96,86,19,53,1899,345,498,185,237,132,226,124,160,88,624,223,154,101,4987,469,1430,267,804,229,553,170,397,157,1673,312,130,89,3297,411,785,197,408,136,349,122,288,119,1340,287,127,107,9472,583,1719,350,899,233,1519,301,1125,267,3678,445,532,185,10,48,0,48,0,48,0,48,0,48,10,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
4,Lincoln Square,10602,509,256,99,86,81,60,68,3,41,41,55,29,48,37,52,3531,382,1005,206,439,137,597,195,173,98,1204,259,113,79,4122,433,1535,314,653,176,246,85,225,91,1405,276,58,59,2079,292,494,151,365,140,201,93,244,103,739,211,36,45,592,152,128,87,92,72,54,69,13,43,305,123,0,40,22,51,22,51,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
5,North Center,6966,392,305,99,128,61,38,49,20,46,69,61,50,64,0,43,4355,366,1928,262,627,166,416,129,234,86,1034,212,116,83,1504,239,512,162,214,82,155,77,82,71,507,148,34,58,440,131,108,77,81,67,14,43,9,44,215,115,13,46,322,93,64,55,42,53,56,55,98,71,58,55,4,42,0,43,0,43,0,43,0,43,0,43,0,43,0,43,40,62,0,43,28,60,12,46,0,43,0,43,0,43
6,Lake View,32881,782,800,214,358,171,94,84,41,71,36,77,195,116,76,74,7817,497,2855,358,1408,231,745,174,635,179,2027,291,147,107,6658,451,2120,294,1287,238,792,167,558,137,1800,261,101,87,5342,511,1317,274,770,163,813,230,316,123,1853,330,273,165,12074,633,2711,366,1605,289,1971,366,1213,285,4053,462,521,194,78,92,28,80,0,66,26,77,0,66,14,69,10,67,112,129,0,66,0,66,87,125,0,66,25,74,0,66
7,Lincoln Park,17532,621,719,172,311,120,62,67,50,61,18,53,213,93,65,73,4477,422,1185,270,867,197,495,153,263,124,1526,251,141,80,3301,382,1100,241,369,132,327,110,221,93,1147,254,137,79,2522,346,727,226,472,176,285,149,240,118,667,159,131,100,6413,456,1768,308,968,243,957,220,350,124,2108,332,262,128,37,59,7,51,18,57,0,51,12,53,0,51,0,51,63,90,41,83,0,51,0,51,0,51,0,51,22,61
8,Near North Side,27993,973,460,145,123,92,46,66,9,55,28,57,139,99,115,85,1017,283,390,164,111,106,57,70,44,66,355,200,60,77,1799,347,609,229,208,114,226,128,69,66,554,222,133,111,1762,342,471,204,184,111,206,121,194,114,581,196,126,113,22930,941,5615,613,3195,472,2908,465,2027,361,7305,699,1880,397,25,59,13,57,0,54,0,54,0,54,12,57,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
9,Edison Park,932,170,176,92,50,70,0,25,67,51,16,31,33,36,10,27,208,115,58,58,16,26,27,37,11,26,96,75,0,25,480,133,214,107,146,93,27,31,19,29,74,62,0,25,68,54,33,43,4,20,0,25,0,25,20,31,11,26,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,3022,325,642,188,131,95,7,38,30,49,0,39,297,124,177,96,1185,253,385,125,175,130,79,93,148,113,210,119,188,122,593,156,230,110,64,55,78,67,41,48,180,101,0,39,60,57,0,39,0,39,26,43,0,39,34,53,0,39,542,135,24,54,0,39,18,45,31,49,420,126,49,55,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,3408,328,359,120,135,78,46,48,79,60,35,41,48,47,16,32,2257,292,668,176,194,103,213,103,183,101,903,213,96,77,612,160,177,98,134,95,36,42,25,41,170,72,70,56,39,56,7,28,0,29,0,29,0,29,32,57,0,29,141,72,9,31,44,64,0,29,0,29,88,46,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,829,185,129,68,43,41,0,29,13,34,15,35,24,48,34,37,388,127,91,61,15,34,8,30,0,29,213,114,61,53,250,113,16,33,9,31,82,67,27,51,116,90,0,29,46,48,12,30,0,29,0,29,12,33,22,44,0,29,16,37,16,37,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,3031,263,125,68,16,35,38,43,17,36,24,44,13,31,17,27,1225,221,380,158,144,88,108,72,44,41,474,155,75,53,676,172,231,114,25,34,64,57,67,48,272,119,17,38,269,110,64,61,7,27,22,38,10,27,111,74,55,69,713,119,115,88,37,34,206,97,120,66,235,109,0,27,23,44,0,27,23,44,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
14,Albany Park,10666,433,287,100,87,64,11,45,5,44,20,46,156,79,8,44,4679,428,1573,279,492,169,423,138,399,161,1718,300,74,55,3622,386,848,224,444,147,290,123,172,121,1832,312,36,56,1536,268,275,126,247,112,142,87,94,76,767,216,11,46,542,139,54,64,55,62,122,85,51,62,260,106,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
15,Portage Park,9830,524,814,198,250,120,109,86,90,78,77,81,195,99,93,60,6246,514,1706,306,672,200,518,172,490,170,2541,375,319,144,2015,287,586,174,190,99,215,104,226,116,751,198,47,70,352,140,68,56,31,52,0,47,137,100,116,100,0,47,372,140,118,108,71,74,63,75,0,47,105,78,15,50,31,66,0,47,0,47,31,66,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
16,Irving Park,10417,507,687,186,200,121,29,57,0,47,40,55,301,124,117,79,5229,460,1114,219,622,189,609,187,468,174,2177,328,239,107,3368,384,715,193,294,115,425,139,583,180,1253,261,98,79,858,181,269,117,183,96,74,65,33,50,276,109,23,54,275,124,73,60,28,54,40,79,64,82,25,52,45,63,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
17,Dunning,3666,344,1156,229,388,150,98,76,67,58,21,49,398,146,184,96,1415,260,297,139,197,114,131,92,147,89,569,170,74,65,854,197,166,97,98,80,87,60,59,56,376,144,68,75,65,63,12,42,0,40,29,59,0,40,16,41,8,41,120,62,27,49,0,40,9,41,0,40,84,56,0,40,56,87,8,41,0,40,0,40,0,40,48,86,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
18,Montclare,1795,219,317,109,72,57,44,36,40,43,0,23,124,71,37,36,763,192,181,118,98,82,123,85,98,68,218,113,45,54,357,128,78,67,71,66,41,49,12,25,140,79,15,28,43,31,0,23,0,23,11,23,0,23,32,30,0,23,315,73,0,23,0,23,20,28,19,29,276,77,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,11095,541,1457,281,218,111,177,116,184,115,40,63,695,190,143,86,7260,512,980,214,647,198,901,235,756,207,3617,424,359,154,1988,303,513,174,238,124,210,121,143,101,884,205,0,52,102,75,46,62,0,52,27,60,0,52,29,62,0,52,210,77,16,53,7,53,4,52,4,52,179,75,0,52,78,87,22,62,0,52,0,52,0,52,29,70,27,65,0,52,0,52,0,52,0,52,0,52,0,52,0,52
