area_id,area_name,b12002f001,b12002f001_moe,b12002f002,b12002f002_moe,b12002f003,b12002f003_moe,b12002f004,b12002f004_moe,b12002f005,b12002f005_moe,b12002f006,b12002f006_moe,b12002f007,b12002f007_moe,b12002f008,b12002f008_moe,b12002f009,b12002f009_moe,b12002f010,b12002f010_moe,b12002f011,b12002f011_moe,b12002f012,b12002f012_moe,b12002f013,b12002f013_moe
1,Rogers Park,3434,757,2202,535,1346,441,623,203,56,81,0,48,177,103,1232,339,451,181,526,182,47,78,16,49,192,116
2,West Ridge,4028,986,1995,506,793,321,1113,342,38,78,0,51,51,77,2033,556,855,355,968,282,121,123,0,51,89,72
3,Uptown,2370,621,1511,429,934,341,452,179,38,76,3,45,84,87,859,293,306,150,389,199,17,52,49,65,98,93
4,Lincoln Square,2476,679,1111,359,501,242,610,225,0,40,0,40,0,40,1365,391,691,247,514,198,69,84,47,56,44,66
5,North Center,705,293,342,154,200,112,142,86,0,43,0,43,0,43,363,184,171,110,162,90,12,46,7,43,11,44
6,Lake View,1217,291,634,190,379,147,207,107,22,71,11,68,15,69,583,196,345,145,200,102,0,66,0,66,38,85
7,Lincoln Park,846,246,446,175,324,163,92,71,22,59,8,51,0,51,400,151,230,120,78,68,26,62,52,64,14,53
8,Near North Side,1404,492,661,299,377,246,184,148,2,54,0,54,98,110,743,349,315,211,342,263,8,55,0,54,78,97
9,Edison Park,60,46,20,27,0,25,12,26,8,25,0,25,0,25,40,39,15,31,14,29,0,25,11,26,0,25
10,Norwood Park,1307,515,551,259,333,178,216,108,0,39,2,36,0,39,756,300,221,121,256,128,0,39,20,38,259,180
11,Jefferson Park,1168,445,570,214,173,103,287,133,81,78,0,29,29,54,598,286,159,174,374,179,0,29,10,33,55,58
12,Forest Glen,740,297,340,148,176,97,164,89,0,29,0,29,0,29,400,166,199,109,184,99,0,29,0,29,17,37
13,North Park,1422,448,770,285,379,186,298,147,32,57,22,43,39,49,652,222,185,130,347,154,0,27,29,50,91,74
14,Albany Park,14226,1574,8125,1033,4582,790,3131,476,59,68,0,45,353,203,6101,795,2319,429,2628,424,369,177,340,200,445,184
15,Portage Park,11571,1234,5390,645,2487,449,2406,377,73,84,58,82,366,167,6181,796,2497,512,2310,362,440,176,162,111,772,267
16,Irving Park,9147,1265,5030,826,2186,516,2197,452,183,131,100,90,364,162,4117,610,1611,370,1919,401,133,99,87,80,367,175
17,Dunning,2770,658,1381,357,682,221,534,163,89,72,45,68,31,42,1389,375,558,246,612,170,58,55,78,65,83,72
18,Montclare,2174,441,1135,249,500,156,589,157,0,23,14,27,32,53,1039,235,237,107,544,152,68,68,162,104,28,25
19,Belmont Cragin,28363,1882,14318,1127,6898,748,5948,563,543,202,164,96,765,220,14045,989,6026,707,5515,526,592,180,613,181,1299,277
20,Hermosa,10905,1030,5526,638,2551,449,2313,332,209,128,80,71,373,147,5379,544,1999,360,2160,310,276,117,411,160,533,178
21,Avondale,5366,1044,3210,704,1565,458,1373,335,55,68,23,53,194,127,2156,441,726,226,1108,283,108,80,108,97,106,74
22,Logan Square,4416,747,2151,428,936,246,992,250,61,79,0,57,162,91,2265,408,1003,237,741,201,156,108,148,98,217,99
23,Humboldt Park,11065,1197,5203,670,2714,493,1992,332,118,86,89,80,290,127,5862,672,2977,526,1880,310,192,117,254,114,559,202
24,West Town,6142,835,3127,485,1855,384,939,206,34,65,75,81,224,118,3015,433,1319,281,1020,208,137,98,180,91,359,143
25,Austin,2837,702,1445,370,622,231,739,203,15,65,0,61,69,88,1392,372,508,183,681,213,18,66,63,76,122,94
26,West Garfield Park,120,122,78,82,60,81,17,37,1,33,0,35,0,35,42,52,26,50,16,37,0,35,0,35,0,35
