area_id,area_name,b05003a001,b05003a001_moe,b05003a002,b05003a002_moe,b05003a003,b05003a003_moe,b05003a004,b05003a004_moe,b05003a005,b05003a005_moe,b05003a006,b05003a006_moe,b05003a007,b05003a007_moe,b05003a008,b05003a008_moe,b05003a009,b05003a009_moe,b05003a010,b05003a010_moe,b05003a011,b05003a011_moe,b05003a012,b05003a012_moe,b05003a013,b05003a013_moe,b05003a014,b05003a014_moe,b05003a015,b05003a015_moe,b05003a016,b05003a016_moe,b05003a017,b05003a017_moe,b05003a018,b05003a018_moe,b05003a019,b05003a019_moe,b05003a020,b05003a020_moe,b05003a021,b05003a021_moe,b05003a022,b05003a022_moe,b05003a023,b05003a023_moe
17,Dunning,35665,1358,17721,842,3312,427,3098,416,214,94,133,72,81,71,14409,675,8218,575,6191,586,3136,383,3055,498,17944,805,2545,351,2441,350,104,55,60,48,44,44,15399,644,9293,588,6106,540,3483,430,2623,363
18,Montclare,7794,738,3759,432,637,186,637,186,0,23,0,23,0,23,3122,365,1792,307,1330,270,632,196,698,201,4035,429,617,201,587,198,30,37,0,23,30,37,3418,354,2029,328,1389,261,768,189,621,193
19,Belmont Cragin,31161,2186,15672,1252,3627,527,3345,498,282,154,64,89,218,135,12045,938,5897,676,6148,665,2500,383,3648,560,15489,1176,4065,570,3759,530,306,166,62,64,244,162,11424,791,6021,575,5403,528,2267,313,3136,422
20,Hermosa,9239,1065,4324,564,1007,254,964,249,43,49,0,29,43,49,3317,457,1650,315,1667,335,665,196,1002,275,4915,672,1171,305,1121,282,50,57,0,29,50,57,3744,486,2317,394,1427,288,580,184,847,210
21,Avondale,30571,1887,15484,1125,3559,524,3450,514,109,88,42,58,67,77,11925,873,5872,529,6053,762,1681,313,4372,713,15087,1134,3275,558,3047,546,228,146,0,38,228,146,11812,806,6854,621,4958,608,1566,262,3392,558
22,Logan Square,59201,2000,30695,1264,5594,643,5304,630,290,131,41,73,249,123,25101,1008,18870,889,6231,621,1971,335,4260,545,28506,1210,5330,565,5173,561,157,103,0,57,157,103,23176,919,17445,794,5731,589,1833,294,3898,521
23,Humboldt Park,14180,1295,7160,775,1806,400,1653,361,153,114,0,51,153,114,5354,616,3327,455,2027,371,618,184,1409,297,7020,711,1805,353,1692,347,113,78,0,51,113,78,5215,513,3510,408,1705,303,527,159,1178,249
24,West Town,63008,1850,32283,1216,4087,488,3927,480,160,106,51,72,109,100,28196,1047,23664,947,4532,506,1632,279,2900,425,30725,1183,3637,460,3515,442,122,95,38,75,84,84,27088,1014,22547,926,4541,456,1984,294,2557,346
25,Austin,8169,809,4200,506,1119,253,1103,249,16,65,0,61,16,65,3081,375,2331,327,750,202,361,146,389,170,3969,486,923,252,886,249,37,70,23,70,14,61,3046,309,2201,272,845,234,449,145,396,196
26,West Garfield Park,324,153,133,80,10,40,5,35,5,35,5,35,0,35,123,79,123,79,0,35,0,35,0,35,191,103,35,48,35,48,0,35,0,35,0,35,156,83,151,84,5,34,5,34,0,35
27,East Garfield Park,856,246,434,132,54,58,54,58,0,38,0,38,0,38,380,121,345,113,35,47,0,38,35,47,422,151,113,85,96,71,17,45,0,38,17,45,309,100,276,92,33,51,16,45,17,45
28,Near West Side,25222,1148,12798,725,1244,231,1231,228,13,54,0,52,13,54,11554,654,10476,634,1078,208,421,117,657,174,12424,724,949,199,949,199,0,52,0,52,0,52,11475,652,10320,620,1155,218,592,166,563,151
29,North Lawndale,1447,342,737,209,196,99,173,92,23,55,0,43,23,55,541,153,395,132,146,73,79,58,67,58,710,180,132,67,132,67,0,43,0,43,0,43,578,148,453,134,125,71,38,45,87,67
30,South Lawndale,47570,2299,25114,1381,7020,705,6439,666,581,185,17,54,564,183,18094,1036,5580,564,12514,884,2438,308,10076,858,22456,1323,7696,791,6943,753,753,248,29,60,724,245,14760,830,5062,531,9698,649,2275,297,7423,621
31,Lower West Side,17779,1488,9588,944,1966,377,1705,338,261,126,14,44,247,125,7622,753,4087,468,3535,537,1029,220,2506,478,8191,769,1964,367,1879,355,85,81,0,42,85,81,6227,534,3504,394,2723,352,1111,229,1612,276
32,Loop,17355,1245,8932,900,571,247,558,246,13,36,0,30,13,36,8361,855,7508,846,853,233,249,125,604,204,8423,681,413,236,399,235,14,35,0,30,14,35,8010,634,7065,636,945,266,490,202,455,174
33,Near South Side,9748,901,4703,715,437,212,437,212,0,24,0,24,0,24,4266,669,3738,657,528,189,227,98,301,174,5045,496,494,179,491,180,3,17,0,24,3,17,4551,423,3804,432,747,301,452,256,295,137
34,Armour Square,1818,318,934,207,183,115,183,115,0,27,0,27,0,27,751,160,674,146,77,50,33,38,44,38,884,179,66,50,66,50,0,27,0,27,0,27,818,161,756,154,62,63,23,43,39,54
35,Douglas,2561,397,1412,260,71,66,71,66,0,35,0,35,0,35,1341,245,1093,191,248,155,30,39,218,153,1149,230,73,50,57,47,16,39,0,35,16,39,1076,215,897,177,179,95,50,54,129,79
36,Oakland,251,160,124,104,46,52,46,52,0,19,0,19,0,19,78,59,67,57,11,24,0,19,11,24,127,72,30,29,30,29,0,19,0,19,0,19,97,60,80,52,17,31,0,19,17,31
37,Fuller Park,85,62,40,33,17,16,17,16,0,16,0,16,0,16,23,21,20,19,3,13,3,13,0,16,45,33,13,18,13,18,0,16,0,16,0,16,32,25,27,23,5,14,0,16,5,14
38,Grand Boulevard,1047,372,493,192,160,114,150,108,10,44,10,44,0,43,333,115,250,91,83,73,14,45,69,66,554,207,142,96,122,83,20,47,10,44,10,45,412,134,351,122,61,61,20,44,41,60
39,Kenwood,3629,444,1982,316,203,103,203,103,0,31,0,31,0,31,1779,277,1442,260,337,142,111,83,226,124,1647,237,266,101,252,99,14,35,0,31,14,35,1381,194,1007,172,374,129,188,98,186,87
40,Washington Park,59,59,35,39,0,27,0,27,0,27,0,27,0,27,35,39,28,37,7,24,0,27,7,24,24,42,1,29,1,29,0,27,0,27,0,27,23,41,4,26,19,42,0,27,19,42
41,Hyde Park,13261,935,6619,668,832,234,815,234,17,42,0,38,17,42,5787,586,4927,552,860,167,290,101,570,134,6642,489,637,187,598,172,39,56,26,56,13,38,6005,453,5087,416,918,186,325,116,593,151
