area_id,area_name,b10001001,b10001001_moe,b10001002,b10001002_moe,b10001003,b10001003_moe,b10001004,b10001004_moe
1,Rogers Park,715,298,424,200,134,113,157,101
2,West Ridge,680,238,250,116,319,171,111,98
3,Uptown,516,299,283,170,205,159,28,62
4,Lincoln Square,429,206,240,149,104,77,85,112
5,North Center,81,82,18,45,26,49,37,60
6,Lake View,238,174,90,109,73,94,75,96
7,Lincoln Park,87,77,78,75,0,51,9,51
8,Near North Side,224,112,121,78,52,59,51,64
9,Edison Park,125,108,65,67,16,26,44,45
10,Norwood Park,238,143,61,57,137,78,40,55
11,Jefferson Park,283,140,146,88,75,56,62,75
12,Forest Glen,139,90,44,72,62,49,33,42
13,North Park,381,170,208,116,78,55,95,72
14,Albany Park,829,269,487,187,206,113,136,100
15,Portage Park,1891,515,904,366,649,269,338,191
16,Irving Park,739,219,432,167,160,86,147,85
17,Dunning,1032,292,493,174,265,108,274,154
18,Montclare,366,200,199,102,108,96,59,77
19,Belmont Cragin,2578,478,1523,329,730,216,325,158
20,Hermosa,995,345,521,213,308,143,166,102
21,Avondale,724,263,493,214,117,75,114,90
22,Logan Square,1298,340,653,193,344,155,301,143
23,Humboldt Park,3272,578,1560,391,936,267,776,258
24,West Town,999,262,465,134,300,140,234,121
25,Austin,5423,705,1944,354,1902,379,1577,327
26,West Garfield Park,1138,269,390,166,424,166,324,110
27,East Garfield Park,1090,311,492,226,316,126,282,115
28,Near West Side,566,178,197,97,167,116,202,99
29,North Lawndale,2265,485,890,246,758,244,617,187
30,South Lawndale,1398,353,806,244,418,166,174,138
31,Lower West Side,968,289,593,225,265,120,110,77
32,Loop,0,30,0,30,0,30,0,30
33,Near South Side,77,70,0,24,32,36,45,62
34,Armour Square,253,227,133,85,120,164,0,27
35,Douglas,300,147,55,47,123,78,122,86
36,Oakland,169,98,115,83,39,50,15,23
37,Fuller Park,149,125,84,84,17,21,48,42
38,Grand Boulevard,561,164,273,116,190,91,98,68
39,Kenwood,158,84,60,58,49,48,49,45
40,Washington Park,597,199,303,145,189,93,105,65
41,Hyde Park,69,65,0,38,41,57,28,49
42,Woodlawn,940,329,351,159,230,125,359,178
43,South Shore,1903,469,783,249,688,266,432,157
44,Chatham,1267,343,436,158,238,130,593,233
45,Avalon Park,312,154,114,70,101,69,97,72
46,South Chicago,1165,338,527,243,432,151,206,108
47,Burnside,405,297,89,73,185,166,131,113
48,Calumet Heights,830,316,254,154,323,203,253,135
49,Roseland,2104,387,916,212,669,195,519,143
50,Pullman,368,151,255,121,50,42,63,57
51,South Deering,948,431,179,102,416,269,353,198
52,East Side,661,225,362,144,218,114,81,52
53,West Pullman,1927,429,847,258,530,172,550,200
54,Riverdale,325,191,152,88,119,111,54,59
55,Hegewisch,135,99,75,66,0,19,60,71
56,Garfield Ridge,435,161,240,114,157,87,38,54
57,Archer Heights,256,158,126,70,44,47,86,104
58,Brighton Park,1155,388,738,235,285,174,132,93
59,McKinley Park,361,137,250,106,81,59,30,37
60,Bridgeport,389,159,213,88,85,57,91,60
61,New City,1557,352,818,234,422,158,317,121
62,West Elsdon,473,229,358,187,94,75,21,39
63,Gage Park,1335,342,761,210,420,159,154,91
64,Clearing,250,132,158,121,56,42,36,39
65,West Lawn,780,255,376,152,282,122,122,108
66,Chicago Lawn,3607,695,1927,489,952,271,728,200
67,West Englewood,2987,497,1311,284,745,218,931,262
68,Englewood,1851,390,899,238,530,196,422,152
69,Greater Grand Crossing,2121,447,1020,268,586,198,515,184
70,Ashburn,1339,332,739,225,341,153,259,130
71,Auburn Gresham,2220,404,976,247,635,174,609,174
72,Beverly,525,198,171,96,195,110,159,95
73,Washington Heights,1575,388,649,236,504,213,422,147
74,Mount Greenwood,115,76,60,55,45,45,10,27
75,Morgan Park,603,206,294,147,183,98,126,92
76,O'Hare,49,75,0,38,37,59,12,42
77,Edgewater,154,96,72,67,58,73,24,53
