area_id,area_name,b25081001,b25081001_moe,b25081002,b25081002_moe,b25081003,b25081003_moe,b25081004,b25081004_moe,b25081005,b25081005_moe,b25081006,b25081006_moe,b25081007,b25081007_moe,b25081008,b25081008_moe
1,Rogers Park,6995,461,5901,436,1405,253,380,144,1025,205,99,91,4397,401,1094,214
2,West Ridge,12314,533,8193,513,1898,286,391,135,1507,262,228,145,6067,491,4121,373
3,Uptown,9490,491,7956,480,2216,288,578,151,1638,259,58,68,5682,451,1534,237
4,Lincoln Square,7020,447,5577,432,1402,227,281,110,1121,196,13,42,4162,385,1443,221
5,North Center,7758,369,6338,354,1462,197,300,92,1162,175,48,61,4828,345,1420,209
6,Lake View,19687,707,15973,688,4093,380,1032,232,3061,306,90,97,11790,622,3714,340
7,Lincoln Park,14662,578,11336,548,2996,345,468,141,2528,327,53,65,8287,496,3326,314
8,Near North Side,22765,857,15960,799,3261,400,669,193,2592,353,170,111,12529,754,6805,542
9,Edison Park,3676,182,2416,196,563,134,85,54,478,124,0,25,1853,204,1260,166
10,Norwood Park,11624,364,7131,382,1803,262,200,80,1603,256,140,87,5188,380,4493,352
11,Jefferson Park,6535,336,4227,320,925,185,111,61,814,179,13,31,3289,329,2308,243
12,Forest Glen,5964,202,3907,232,1405,197,139,74,1266,189,11,33,2491,227,2057,204
13,North Park,3405,243,2461,243,686,140,67,54,619,134,91,77,1684,237,944,163
14,Albany Park,6138,382,4889,383,992,193,301,101,691,172,15,48,3882,368,1249,203
15,Portage Park,12675,479,8574,471,2098,288,557,159,1541,245,74,70,6402,452,4101,350
16,Irving Park,9760,457,7597,452,2089,268,476,137,1613,245,73,76,5435,410,2163,262
17,Dunning,11475,366,7462,386,1517,214,201,75,1316,207,9,41,5936,380,4013,307
18,Montclare,2630,230,1878,228,402,147,180,105,222,105,32,34,1444,227,752,159
19,Belmont Cragin,10475,514,8289,484,1288,241,390,143,898,194,14,54,6987,463,2186,275
20,Hermosa,3110,282,2520,263,561,160,142,91,419,135,45,52,1914,242,590,156
21,Avondale,5774,391,4413,369,989,206,229,102,760,185,53,58,3371,343,1361,204
22,Logan Square,11139,516,9101,475,1896,227,466,118,1430,202,92,83,7113,458,2038,268
23,Humboldt Park,5910,422,4607,397,684,163,157,79,527,145,82,87,3841,367,1303,213
24,West Town,14909,572,12417,549,2831,297,780,161,2051,256,152,106,9434,531,2492,296
25,Austin,12818,537,9672,510,1855,263,537,160,1318,211,119,87,7698,483,3146,355
26,West Garfield Park,1486,192,963,171,165,73,46,44,119,66,0,35,798,157,523,115
27,East Garfield Park,1857,223,1334,190,230,92,35,52,195,85,18,40,1086,176,523,116
28,Near West Side,10251,474,8976,461,2259,275,758,167,1501,232,48,59,6669,443,1275,204
29,North Lawndale,2612,263,1920,239,252,89,123,65,129,69,54,66,1614,223,692,137
30,South Lawndale,5915,415,3885,372,481,134,129,75,352,119,46,69,3358,353,2030,262
31,Lower West Side,3286,312,2156,272,349,115,91,62,258,102,0,42,1807,259,1130,189
32,Loop,6257,474,4805,456,1048,261,289,130,759,216,68,73,3689,411,1452,272
33,Near South Side,5711,452,5057,483,894,205,276,120,618,178,11,29,4152,470,654,213
34,Armour Square,1884,236,978,218,87,57,49,45,38,38,0,27,891,216,906,184
35,Douglas,1875,186,1622,178,287,92,76,52,211,82,43,58,1292,169,253,87
36,Oakland,612,125,517,120,122,66,76,57,46,31,3,16,392,107,95,61
37,Fuller Park,378,83,224,62,34,26,14,16,20,18,0,16,190,58,154,57
38,Grand Boulevard,2767,261,2260,249,611,149,253,107,358,107,49,49,1600,227,507,123
39,Kenwood,2855,256,2150,241,615,150,146,85,469,119,49,55,1486,225,705,149
40,Washington Park,833,147,634,135,80,42,24,29,56,41,40,49,514,125,199,82
41,Hyde Park,4669,300,3093,265,786,165,291,97,495,140,4,38,2303,235,1576,233
42,Woodlawn,2527,270,1976,250,346,113,144,82,202,81,0,36,1630,228,551,126
43,South Shore,5185,387,3758,350,528,137,127,75,401,121,72,68,3158,331,1427,226
44,Chatham,5195,340,3272,323,577,144,148,77,429,126,133,106,2562,311,1923,237
45,Avalon Park,2612,216,1918,213,328,94,24,29,304,92,47,53,1543,201,694,144
46,South Chicago,4472,354,3068,336,516,157,144,106,372,139,29,41,2523,310,1404,232
47,Burnside,580,80,407,100,54,41,18,19,36,34,0,11,353,90,173,76
48,Calumet Heights,4377,212,2910,271,450,122,243,97,207,86,22,35,2438,281,1467,232
49,Roseland,8896,368,5806,375,1008,180,374,119,634,143,33,44,4765,373,3090,281
50,Pullman,1377,124,946,129,212,67,79,44,133,58,23,29,711,129,431,97
