area_id,area_name,b07009001,b07009001_moe,b07009002,b07009002_moe,b07009003,b07009003_moe,b07009004,b07009004_moe,b07009005,b07009005_moe,b07009006,b07009006_moe,b07009007,b07009007_moe,b07009008,b07009008_moe,b07009009,b07009009_moe,b07009010,b07009010_moe,b07009011,b07009011_moe,b07009012,b07009012_moe,b07009013,b07009013_moe,b07009014,b07009014_moe,b07009015,b07009015_moe,b07009016,b07009016_moe,b07009017,b07009017_moe,b07009018,b07009018_moe,b07009019,b07009019_moe,b07009020,b07009020_moe,b07009021,b07009021_moe,b07009022,b07009022_moe,b07009023,b07009023_moe,b07009024,b07009024_moe,b07009025,b07009025_moe,b07009026,b07009026_moe,b07009027,b07009027_moe,b07009028,b07009028_moe,b07009029,b07009029_moe,b07009030,b07009030_moe,b07009031,b07009031_moe,b07009032,b07009032_moe,b07009033,b07009033_moe,b07009034,b07009034_moe,b07009035,b07009035_moe,b07009036,b07009036_moe
1,Rogers Park,37621,1332,6832,851,6738,671,8856,710,8846,669,6349,542,30371,1287,5265,781,5588,602,7115,652,7044,604,5359,494,4967,656,1017,303,825,259,1435,349,1119,237,571,160,216,116,46,58,25,53,60,80,40,64,45,70,1083,252,19,49,120,121,186,114,528,173,230,98,984,389,485,260,180,152,60,64,115,103,144,153
2,West Ridge,48008,1521,9963,1032,9825,844,11042,804,11191,906,5987,557,41607,1461,8733,933,8508,796,9317,744,9595,832,5454,529,4582,767,980,435,1053,293,1084,286,1131,320,334,126,264,160,7,52,66,81,85,81,60,65,46,74,552,255,34,66,60,90,198,153,183,136,77,90,1003,392,209,144,138,114,358,222,222,149,76,91
3,Uptown,43905,1298,5194,648,6927,739,8953,811,13535,801,9296,635,35178,1253,4493,625,5433,649,7129,713,10515,705,7608,593,6607,731,611,196,1220,341,1206,262,2289,419,1281,294,412,145,52,67,78,69,99,84,66,65,117,85,1327,397,14,50,123,88,461,333,480,161,249,111,381,181,24,56,73,79,58,80,185,129,41,52
4,Lincoln Square,30006,909,4017,544,3776,498,5898,584,10084,661,6231,556,24428,966,3426,493,3201,457,5120,559,7978,617,4703,400,4395,630,537,254,545,232,609,184,1540,301,1164,350,251,147,22,45,9,41,56,64,151,113,13,43,807,221,32,65,21,47,113,72,339,126,302,144,125,99,0,40,0,40,0,40,76,86,49,62
5,North Center,24963,744,1134,263,3087,399,3734,377,10623,590,6385,504,20189,735,1054,258,2790,380,3172,344,8008,521,5165,465,4071,525,51,55,253,110,453,158,2276,367,1038,237,165,97,0,43,1,40,36,65,76,77,52,54,451,146,29,49,43,54,73,63,191,92,115,68,87,83,0,43,0,43,0,43,72,80,15,48
6,Lake View,72670,1436,1881,324,4394,487,9934,717,33713,1298,22748,991,54416,1418,1684,313,3373,429,7389,615,24099,1096,17871,925,12413,956,163,103,738,207,1777,353,6664,692,3071,430,1118,318,1,65,51,90,226,151,608,225,232,110,3736,526,22,66,150,118,526,197,1793,354,1245,280,987,325,11,67,82,88,16,67,549,261,329,172
7,Lincoln Park,44220,1165,1607,277,1818,314,4447,486,18733,947,17615,874,34221,1172,1305,250,1491,261,3309,402,14083,833,14033,792,7065,739,273,117,210,106,875,252,3302,471,2405,437,476,174,21,55,65,85,49,62,202,99,139,92,2034,401,8,53,50,81,183,140,1020,306,773,217,424,191,0,51,2,49,31,53,126,82,265,166
8,Near North Side,66874,1503,1662,337,4160,566,9871,827,28166,1347,23015,1108,51747,1511,1405,307,3616,527,7991,727,20759,1165,17976,980,9084,894,222,133,380,184,1173,296,4447,603,2862,524,910,290,0,54,14,58,141,112,480,216,275,153,3960,766,8,55,136,118,517,290,1911,553,1388,337,1173,357,27,69,14,58,49,63,569,272,514,212
9,Edison Park,8242,341,611,165,1566,269,2601,293,2270,303,1194,206,7651,352,611,165,1451,265,2408,287,2106,291,1075,186,411,150,0,25,82,70,65,47,164,99,100,92,0,25,0,25,0,25,0,25,0,25,0,25,174,159,0,25,33,52,128,155,0,25,13,32,6,24,0,25,0,25,0,25,0,25,6,24
10,Norwood Park,27459,769,3151,400,7519,590,8230,631,5755,524,2804,363,26092,802,2994,407,7178,586,7826,615,5429,509,2665,356,1076,287,138,73,253,155,302,164,276,127,107,76,73,64,1,37,12,37,36,53,24,44,0,39,135,82,1,38,49,65,53,52,0,39,32,47,83,54,17,36,27,45,13,41,26,48,0,39
