area_id,area_name,b18101001,b18101001_moe,b18101002,b18101002_moe,b18101003,b18101003_moe,b18101004,b18101004_moe,b18101005,b18101005_moe,b18101006,b18101006_moe,b18101007,b18101007_moe,b18101008,b18101008_moe,b18101009,b18101009_moe,b18101010,b18101010_moe,b18101011,b18101011_moe,b18101012,b18101012_moe,b18101013,b18101013_moe,b18101014,b18101014_moe,b18101015,b18101015_moe,b18101016,b18101016_moe,b18101017,b18101017_moe,b18101018,b18101018_moe,b18101019,b18101019_moe,b18101020,b18101020_moe,b18101021,b18101021_moe,b18101022,b18101022_moe,b18101023,b18101023_moe,b18101024,b18101024_moe,b18101025,b18101025_moe,b18101026,b18101026_moe,b18101027,b18101027_moe,b18101028,b18101028_moe,b18101029,b18101029_moe,b18101030,b18101030_moe,b18101031,b18101031_moe,b18101032,b18101032_moe,b18101033,b18101033_moe,b18101034,b18101034_moe,b18101035,b18101035_moe,b18101036,b18101036_moe,b18101037,b18101037_moe,b18101038,b18101038_moe,b18101039,b18101039_moe
1,Rogers Park,56493,2171,28398,1311,2295,362,9,48,2286,362,3424,520,99,93,3325,508,10200,884,385,164,9815,862,10940,692,984,248,9956,667,988,207,274,113,714,179,551,166,232,108,319,131,28095,1411,1967,355,0,48,1967,355,3750,532,101,78,3649,527,10050,888,339,156,9711,868,10180,715,1392,274,8788,700,1191,217,313,115,878,193,957,240,620,192,337,146
2,West Ridge,72744,2584,35480,1555,2818,435,0,51,2818,435,6364,695,243,139,6121,670,9022,935,363,145,8659,937,13651,708,1094,259,12557,695,2184,363,521,154,1663,330,1441,234,779,173,662,170,37264,1544,3079,551,0,51,3079,551,6775,736,119,102,6656,730,7964,691,255,139,7709,678,14280,710,1716,317,12564,683,2804,432,793,224,2011,373,2362,342,1400,271,962,237
3,Uptown,53670,1701,28324,1220,1296,308,15,51,1281,308,2405,447,45,55,2360,444,9880,802,251,114,9629,797,12915,805,1799,390,11116,734,1112,241,343,127,769,206,716,191,527,161,189,109,25346,1095,1391,326,0,48,1391,326,1469,340,88,101,1381,329,9036,672,209,113,8827,656,10184,633,1119,226,9065,596,1643,313,424,150,1219,283,1623,313,988,251,635,197
4,Lincoln Square,38116,1327,18919,850,1532,314,33,64,1499,309,1642,331,79,64,1563,328,6335,514,77,77,6258,512,7838,507,762,258,7076,466,1145,210,373,118,772,184,427,132,158,70,269,116,19197,880,1313,261,0,40,1313,261,1831,382,68,77,1763,373,6659,502,36,45,6623,500,7627,477,834,205,6793,457,1072,241,281,117,791,224,695,167,381,140,314,109
5,North Center,33402,1096,16644,751,1594,234,12,45,1582,235,1645,249,73,69,1572,247,5863,595,42,53,5821,591,6483,406,305,101,6178,395,772,164,194,92,578,144,287,86,145,67,142,65,16758,773,1502,281,0,43,1502,281,1502,313,95,72,1407,302,6026,456,65,70,5961,449,6286,385,423,169,5863,358,814,165,293,110,521,140,628,170,311,116,317,137
6,Lake View,96425,1729,47189,1391,2286,341,15,67,2271,340,2343,383,69,78,2274,383,23263,1204,550,177,22713,1192,16446,749,1192,239,15254,735,1717,244,399,150,1318,209,1134,201,556,148,578,155,49236,1438,2618,336,9,67,2609,335,2554,352,57,75,2497,351,27734,1247,433,148,27301,1234,12653,631,923,221,11730,611,1760,255,333,138,1427,236,1917,260,1083,208,834,182
7,Lincoln Park,64028,1704,31324,1161,1799,267,25,57,1774,267,2803,403,229,202,2574,354,14293,977,276,127,14017,965,10048,520,569,192,9479,504,1522,221,197,93,1325,209,859,197,389,147,470,132,32704,1205,1446,228,0,51,1446,228,2823,491,70,62,2753,487,15922,940,142,84,15780,938,10375,512,680,164,9695,498,1353,227,345,119,1008,199,785,161,355,113,430,120
8,Near North Side,80315,1814,36801,1353,1350,311,0,54,1350,311,1582,331,65,70,1517,325,14839,1083,126,98,14713,1076,13674,756,900,214,12774,740,3504,412,715,222,2789,362,1852,276,614,171,1238,239,43514,1395,1067,268,0,54,1067,268,1893,454,21,57,1872,454,18323,1049,98,70,18225,1048,15354,801,850,223,14504,794,3986,407,631,179,3355,383,2891,375,1313,280,1578,280
9,Edison Park,11135,498,5169,358,162,74,0,25,162,74,891,172,23,40,868,177,933,192,38,45,895,190,2550,255,223,102,2327,271,273,88,30,26,243,85,360,97,168,67,192,76,5966,353,197,78,0,25,197,78,1016,194,81,121,935,178,1134,222,12,29,1122,221,2585,191,205,100,2380,205,455,106,80,56,375,98,579,129,280,88,299,100
10,Norwood Park,36933,1214,17999,779,1309,361,0,39,1309,361,2669,356,55,55,2614,354,3447,481,89,67,3358,477,7894,434,796,191,7098,434,1423,207,278,98,1145,196,1257,203,543,149,714,147,18934,822,1003,244,0,39,1003,244,2455,381,115,77,2340,377,3190,391,179,123,3011,350,8026,398,598,161,7428,404,1638,208,377,110,1261,193,2622,272,1312,205,1310,207
