area_id,area_name,b05003i001,b05003i001_moe,b05003i002,b05003i002_moe,b05003i003,b05003i003_moe,b05003i004,b05003i004_moe,b05003i005,b05003i005_moe,b05003i006,b05003i006_moe,b05003i007,b05003i007_moe,b05003i008,b05003i008_moe,b05003i009,b05003i009_moe,b05003i010,b05003i010_moe,b05003i011,b05003i011_moe,b05003i012,b05003i012_moe,b05003i013,b05003i013_moe,b05003i014,b05003i014_moe,b05003i015,b05003i015_moe,b05003i016,b05003i016_moe,b05003i017,b05003i017_moe,b05003i018,b05003i018_moe,b05003i019,b05003i019_moe,b05003i020,b05003i020_moe,b05003i021,b05003i021_moe,b05003i022,b05003i022_moe,b05003i023,b05003i023_moe
1,Rogers Park,14280,1604,8069,1011,2382,487,2054,425,328,198,0,48,328,198,5687,750,1720,347,3967,679,718,227,3249,638,6211,842,2181,440,1864,416,317,150,33,69,284,139,4030,565,1217,252,2813,488,704,219,2109,411
2,West Ridge,15260,2093,7829,1133,2492,580,2193,527,299,198,8,52,291,197,5337,785,1464,363,3873,679,1270,325,2603,601,7431,1140,2384,565,2162,519,222,162,35,68,187,156,5047,740,1705,389,3342,612,1348,321,1994,550
3,Uptown,7010,1028,3919,635,477,168,451,166,26,51,0,48,26,51,3442,571,1815,392,1627,414,303,126,1324,390,3091,559,614,275,491,231,123,116,37,73,86,102,2477,409,1143,283,1334,316,567,174,767,258
4,Lincoln Square,7483,1192,3784,741,993,399,834,329,159,177,0,40,159,177,2791,484,952,233,1839,425,882,272,957,295,3699,640,1003,378,873,337,130,120,0,40,130,120,2696,431,1075,277,1621,344,741,245,880,275
5,North Center,4376,706,2177,407,297,129,270,124,27,60,0,43,27,60,1880,366,1026,245,854,229,554,166,300,151,2199,411,314,176,305,176,9,43,9,43,0,43,1885,328,1154,240,731,228,448,150,283,162
6,Lake View,7268,773,3610,467,490,171,490,171,0,66,0,66,0,66,3120,422,2069,353,1051,221,337,122,714,189,3658,528,577,189,533,185,44,70,8,66,36,70,3081,453,2014,359,1067,238,574,163,493,181
7,Lincoln Park,4238,663,2299,459,644,212,633,211,11,53,0,51,11,53,1655,365,1160,341,495,163,214,106,281,126,1939,359,359,158,331,155,28,57,6,51,22,56,1580,292,1160,244,420,163,211,101,209,136
8,Near North Side,4491,765,2125,486,190,114,190,114,0,54,0,54,0,54,1935,456,935,301,1000,356,270,141,730,325,2366,487,178,106,178,106,0,54,0,54,0,54,2188,470,1314,395,874,262,465,165,409,207
9,Edison Park,500,208,177,88,55,51,55,51,0,25,0,25,0,25,122,72,105,70,17,29,17,29,0,25,323,147,106,88,101,88,5,24,5,24,0,25,217,89,174,78,43,47,43,47,0,25
10,Norwood Park,4935,857,2502,527,1086,359,1059,357,27,55,0,39,27,55,1416,323,892,277,524,152,376,128,148,64,2433,492,739,246,739,246,0,39,0,39,0,39,1694,389,898,309,796,247,446,135,350,201
11,Jefferson Park,5343,842,2797,471,1100,303,1071,311,29,48,0,29,29,48,1697,316,1088,255,609,202,306,102,303,174,2546,495,863,261,751,252,112,124,27,48,85,118,1683,379,1155,331,528,168,342,120,186,96
12,Forest Glen,2408,518,1223,301,510,204,510,204,0,29,0,29,0,29,713,179,534,157,179,81,179,81,0,29,1185,278,446,146,446,146,0,29,0,29,0,29,739,179,446,149,293,113,239,106,54,58
13,North Park,3428,784,1694,418,468,236,468,236,0,27,0,27,0,27,1226,289,436,145,790,253,307,138,483,201,1734,433,579,235,561,232,18,39,0,27,18,39,1155,273,398,155,757,208,331,123,426,168
14,Albany Park,28257,2131,15700,1302,4885,685,4254,628,631,224,118,123,513,208,10815,990,2637,484,8178,926,2065,404,6113,881,12557,1243,4265,656,3503,547,762,305,44,72,718,298,8292,792,2044,366,6248,722,1681,375,4567,674
15,Portage Park,26388,1818,12946,1025,4517,650,4264,633,253,141,76,72,177,114,8429,689,4284,528,4145,509,1893,295,2252,420,13442,1111,4360,585,4283,581,77,65,5,47,72,65,9082,798,5083,640,3999,529,2037,392,1962,365
16,Irving Park,25449,1956,12644,1118,3491,495,3105,466,386,162,139,123,247,116,9153,860,3466,460,5687,756,1580,327,4107,703,12805,1153,4502,704,4333,689,169,104,58,72,111,89,8303,680,3546,517,4757,522,1751,317,3006,467
17,Dunning,9706,941,5180,649,1715,393,1667,390,48,59,37,57,11,43,3465,402,2030,358,1435,237,786,169,649,171,4526,519,1243,258,1220,250,23,53,0,40,23,53,3283,418,1871,352,1412,232,904,198,508,134
18,Montclare,6408,829,3182,453,1197,280,1120,261,77,80,0,23,77,80,1985,267,821,224,1164,232,493,165,671,191,3226,484,1041,264,1007,264,34,38,0,23,34,38,2185,320,1056,241,1129,221,466,140,663,184
19,Belmont Cragin,59975,2572,29959,1488,9592,820,8987,808,605,203,40,63,565,200,20367,1104,8595,773,11772,927,3611,473,8161,822,30016,1477,10776,863,10089,827,687,236,44,60,643,234,19240,895,8549,704,10691,700,3240,385,7451,655
20,Hermosa,22612,1359,11167,831,3586,455,3455,444,131,91,0,29,131,91,7581,617,3549,498,4032,520,1314,249,2718,491,11445,867,3523,493,3125,414,398,185,25,40,373,183,7922,611,4240,522,3682,463,1308,265,2374,394
21,Avondale,27177,2097,14568,1221,4022,565,3821,546,201,124,88,75,113,106,10546,940,3318,475,7228,877,1888,336,5340,824,12609,1197,3604,588,3369,579,235,146,0,38,235,146,9005,800,3497,534,5508,655,1666,294,3842,610
22,Logan Square,35140,1982,17860,1206,4738,639,4452,625,286,128,22,66,264,123,13122,911,6959,685,6163,644,1754,320,4409,585,17280,1126,4506,534,4305,525,201,111,0,57,201,111,12774,817,7069,629,5705,584,1752,287,3953,522
23,Humboldt Park,27823,1805,13879,1066,4670,682,3955,557,715,367,119,171,596,362,9209,731,4919,578,4290,508,1434,265,2856,462,13944,1058,4183,603,4032,602,151,91,0,51,151,91,9761,689,5909,554,3852,484,1439,327,2413,402
24,West Town,24074,1615,11954,957,3126,493,2980,486,146,106,32,64,114,104,8828,718,5505,583,3323,426,1267,237,2056,379,12120,930,2936,490,2884,480,52,77,0,62,52,77,9184,696,6219,591,2965,354,1164,210,1801,295
25,Austin,8756,1152,4515,684,1759,419,1703,416,56,78,0,61,56,78,2756,439,1475,276,1281,320,326,122,955,302,4241,625,1420,299,1383,297,37,70,23,70,14,61,2821,468,1664,354,1157,318,473,146,684,282
26,West Garfield Park,240,158,176,119,70,70,65,70,5,35,5,35,0,35,106,88,100,89,6,33,5,34,1,33,64,57,10,38,10,38,0,35,0,35,0,35,54,51,49,52,5,34,5,34,0,35
27,East Garfield Park,368,155,151,74,35,48,35,48,0,38,0,38,0,38,116,65,105,62,11,37,0,38,11,37,217,110,88,70,88,70,0,38,0,38,0,38,129,70,101,56,28,56,28,56,0,38
28,Near West Side,4795,606,2380,392,540,155,523,151,17,54,0,52,17,54,1840,309,1401,286,439,133,236,102,203,91,2415,342,479,139,479,139,0,52,0,52,0,52,1936,284,1447,248,489,133,336,116,153,80
29,North Lawndale,1800,429,1141,325,393,173,393,173,0,43,0,43,0,43,748,263,275,126,473,237,165,80,308,198,659,169,151,75,151,75,0,43,0,43,0,43,508,137,276,101,232,92,92,60,140,73
30,South Lawndale,59370,2280,31431,1425,9251,787,8445,748,806,212,17,54,789,210,22180,1069,6204,625,15976,924,3202,351,12774,916,27939,1325,9833,842,8917,808,916,275,29,60,887,273,18106,818,5405,530,12701,672,3226,348,9475,655
31,Lower West Side,30053,1717,16168,1082,4403,527,3901,485,502,159,24,48,478,157,11765,843,3778,473,7987,730,1870,282,6117,715,13885,965,4385,546,4043,522,342,145,60,80,282,127,9500,627,3388,427,6112,492,2061,303,4051,434
32,Loop,1452,381,760,239,57,66,57,66,0,30,0,30,0,30,703,215,372,149,331,164,171,139,160,119,692,244,69,86,69,86,0,30,0,30,0,30,623,228,450,201,173,122,77,65,96,104
33,Near South Side,1260,414,525,193,107,120,107,120,0,24,0,24,0,24,418,136,304,102,114,90,31,33,83,88,735,311,136,140,136,140,0,24,0,24,0,24,599,247,450,231,149,107,65,66,84,67
34,Armour Square,644,281,276,124,52,51,52,51,0,27,0,27,0,27,224,98,124,77,100,64,1,25,99,65,368,176,5,26,5,26,0,27,0,27,0,27,363,175,214,111,149,108,11,31,138,106
35,Douglas,570,207,370,171,44,48,44,48,0,35,0,35,0,35,326,164,153,81,173,148,21,38,152,146,200,104,34,40,34,40,0,35,0,35,0,35,166,94,105,74,61,59,7,36,54,58
36,Oakland,229,121,119,76,12,24,12,24,0,19,0,19,0,19,107,69,84,59,23,40,0,19,23,40,110,82,40,36,40,36,0,19,0,19,0,19,70,60,47,40,23,34,0,19,23,34
37,Fuller Park,158,149,77,77,35,38,35,38,0,16,0,16,0,16,42,41,9,16,33,39,3,13,30,41,81,88,38,40,38,40,0,16,0,16,0,16,43,51,0,16,43,51,0,16,43,51
38,Grand Boulevard,698,302,364,150,119,74,119,74,0,43,0,43,0,43,245,124,185,92,60,66,21,49,39,61,334,215,155,116,155,116,0,43,0,43,0,43,179,117,107,67,72,79,49,70,23,55
39,Kenwood,749,319,487,216,100,89,92,88,8,33,0,31,8,33,387,161,218,115,169,110,84,86,85,75,262,142,82,77,68,74,14,35,0,31,14,35,180,97,87,52,93,88,40,70,53,61
40,Washington Park,132,120,74,69,6,27,6,27,0,27,0,27,0,27,68,60,61,59,7,24,0,27,7,24,58,67,12,33,12,33,0,27,0,27,0,27,46,54,20,34,26,43,0,27,26,43
41,Hyde Park,1578,449,895,312,201,121,167,112,34,53,10,39,24,53,694,257,425,183,269,147,53,55,216,138,683,202,139,86,139,86,0,38,0,38,0,38,544,156,344,129,200,87,78,53,122,76
42,Woodlawn,543,201,230,113,18,40,18,40,0,36,0,36,0,36,212,109,145,83,67,73,22,40,45,71,313,126,49,45,49,45,0,36,0,36,0,36,264,118,155,93,109,70,70,63,39,47
43,South Shore,685,287,392,159,95,84,95,84,0,44,0,44,0,44,297,134,210,109,87,87,13,50,74,84,293,169,89,87,89,87,0,44,0,44,0,44,204,116,70,66,134,103,66,77,68,81
44,Chatham,158,114,25,42,16,43,16,43,0,37,0,37,0,37,9,37,8,38,1,35,0,37,1,35,133,99,26,46,26,46,0,37,0,37,0,37,107,80,107,80,0,37,0,37,0,37
