area_id,area_name,c23002b001,c23002b001_moe,c23002b002,c23002b002_moe,c23002b003,c23002b003_moe,c23002b004,c23002b004_moe,c23002b005,c23002b005_moe,c23002b006,c23002b006_moe,c23002b007,c23002b007_moe,c23002b008,c23002b008_moe,c23002b009,c23002b009_moe,c23002b010,c23002b010_moe,c23002b011,c23002b011_moe,c23002b012,c23002b012_moe,c23002b013,c23002b013_moe,c23002b014,c23002b014_moe,c23002b015,c23002b015_moe,c23002b016,c23002b016_moe,c23002b017,c23002b017_moe,c23002b018,c23002b018_moe,c23002b019,c23002b019_moe,c23002b020,c23002b020_moe,c23002b021,c23002b021_moe,c23002b022,c23002b022_moe,c23002b023,c23002b023_moe,c23002b024,c23002b024_moe,c23002b025,c23002b025_moe,c23002b026,c23002b026_moe,c23002b027,c23002b027_moe
26,West Garfield Park,12946,864,5876,531,5216,516,2796,369,0,35,2796,369,1958,339,838,195,2420,357,660,136,77,62,77,62,0,35,583,126,7070,522,6097,506,3333,372,0,35,3333,372,2503,302,830,208,2764,367,973,158,115,69,115,69,0,35,858,142
27,East Garfield Park,13857,905,5567,608,4910,571,2365,329,25,54,2340,326,1793,268,547,187,2545,468,657,163,60,54,48,50,12,44,597,149,8290,543,7320,529,4142,366,0,38,4142,366,3361,335,781,213,3178,389,970,144,60,46,60,46,0,38,910,141
28,Near West Side,13842,933,6579,650,5569,625,3500,478,39,64,3461,476,2356,369,1105,285,2069,334,1010,193,52,62,52,62,0,52,958,188,7263,560,6139,544,4181,408,0,52,4181,408,3206,358,975,239,1958,333,1124,156,107,77,107,77,0,52,1017,154
29,North Lawndale,23267,1218,9499,768,8458,736,4012,457,0,43,4012,457,2834,381,1178,228,4446,531,1041,194,81,63,81,63,0,43,960,188,13768,790,11904,777,6297,488,0,43,6297,488,5127,442,1170,220,5607,561,1864,242,126,58,114,55,12,45,1738,236
30,South Lawndale,7813,562,6306,487,6010,479,279,111,0,48,279,111,269,110,10,51,5731,459,296,101,56,63,56,63,0,48,240,97,1507,351,1266,330,494,181,0,48,494,181,340,134,154,101,772,271,241,98,11,48,11,48,0,48,230,98
31,Lower West Side,1037,259,543,188,423,169,346,137,0,42,346,137,306,131,40,57,77,77,120,97,0,42,0,42,0,42,120,97,494,160,435,168,329,137,0,42,329,137,314,136,15,43,106,86,59,68,0,42,0,42,0,42,59,68
32,Loop,2971,646,1734,578,1660,587,1136,553,6,26,1130,553,1059,547,71,89,524,195,74,64,58,60,58,60,0,30,16,37,1237,273,1054,263,829,246,0,30,829,246,743,238,86,63,225,104,183,88,25,40,25,40,0,30,158,85
33,Near South Side,4916,606,2164,414,1900,415,1564,386,3,22,1561,386,1372,382,189,142,336,162,264,100,47,37,47,37,0,24,217,95,2752,378,2109,367,1642,304,0,24,1642,304,1492,303,150,75,467,211,643,153,64,40,64,40,0,24,579,149
34,Armour Square,1434,283,552,134,360,122,236,97,0,27,236,97,126,81,110,84,124,65,192,85,52,49,48,50,4,26,140,73,882,231,649,213,420,128,0,27,420,128,243,79,177,112,229,113,233,85,32,45,25,45,7,27,201,76
35,Douglas,11311,620,4321,450,3433,410,2357,351,0,35,2357,351,1765,305,592,171,1076,230,888,163,91,66,91,66,0,35,797,149,6990,424,5426,402,4258,361,0,35,4258,361,3484,330,774,178,1168,244,1564,199,179,75,155,68,24,44,1385,197
36,Oakland,4223,370,1418,228,1189,238,896,211,0,19,896,211,610,162,286,132,293,113,229,81,36,37,36,37,0,19,193,75,2805,276,2399,262,1721,208,0,19,1721,208,1178,185,543,152,678,175,406,102,51,36,41,33,10,22,355,101
37,Fuller Park,2118,350,1010,228,778,230,405,129,0,16,405,129,242,94,163,80,373,137,232,69,35,29,26,25,9,17,197,69,1108,227,889,225,546,184,0,16,546,184,355,120,191,115,343,105,219,69,18,22,18,22,0,16,201,65
38,Grand Boulevard,16015,790,6656,495,5554,477,3922,411,31,64,3891,411,2728,337,1163,233,1632,279,1102,183,141,80,108,70,33,56,961,168,9359,513,7711,487,6182,425,0,43,6182,425,4747,366,1435,248,1529,257,1648,194,195,72,167,68,28,47,1453,183
39,Kenwood,10252,686,4042,426,3389,396,2340,326,0,31,2340,326,1899,292,441,144,1049,230,653,147,124,72,93,51,31,58,529,139,6210,498,5022,442,3886,387,0,31,3886,387,3064,326,822,258,1136,233,1188,196,163,74,135,71,28,37,1025,189
40,Washington Park,7661,566,3105,383,2585,362,1630,271,0,27,1630,271,1080,209,550,150,955,193,520,138,78,57,78,57,0,27,442,131,4556,370,4083,373,2838,262,0,27,2838,262,2072,238,766,169,1245,270,473,119,24,23,24,23,0,27,449,118
41,Hyde Park,7825,579,3301,385,2824,367,2126,315,0,38,2126,315,1836,300,290,127,698,185,477,141,97,69,82,67,15,40,380,127,4524,422,3556,387,2753,339,0,38,2753,339,2460,319,293,119,803,187,968,171,237,100,224,99,13,38,731,148
42,Woodlawn,16566,874,7061,601,5987,583,4087,501,0,36,4087,501,2899,417,1188,270,1900,293,1074,195,223,98,198,95,25,37,851,175,9505,574,7890,549,5451,455,28,46,5423,454,4085,387,1338,253,2439,337,1615,220,145,73,137,73,8,37,1470,215
43,South Shore,35918,1478,15138,892,13195,873,9299,772,0,44,9299,772,7332,691,1967,369,3896,459,1943,275,254,115,250,116,4,43,1689,255,20780,1087,17390,1060,12338,782,0,44,12338,782,9931,686,2407,392,5052,618,3390,337,416,128,355,117,61,64,2974,323
44,Chatham,25378,1172,10181,759,8547,723,5657,573,0,37,5657,573,4242,469,1415,334,2890,437,1634,258,240,112,230,111,10,38,1394,241,15197,868,11780,818,8596,657,0,37,8596,657,6467,535,2129,398,3184,432,3417,305,290,110,290,110,0,37,3127,293
45,Avalon Park,7655,566,3424,421,2771,401,1908,312,0,19,1908,312,1480,290,428,157,863,187,653,131,173,84,156,79,17,30,480,116,4231,341,3059,297,2386,289,0,19,2386,289,1823,270,563,189,673,167,1172,171,167,77,167,77,0,19,1005,158
46,South Chicago,16195,1055,6726,650,5691,622,3437,421,0,37,3437,421,2718,383,719,186,2254,414,1035,184,154,78,118,72,36,54,881,173,9469,689,7666,662,5014,494,18,45,4996,496,3906,434,1090,242,2652,412,1803,224,319,122,273,109,46,59,1484,227
47,Burnside,2593,359,1152,221,1012,230,670,235,0,11,670,235,555,182,115,92,342,171,140,49,32,25,21,18,11,19,108,41,1441,232,1131,225,705,167,0,11,705,167,562,132,143,88,426,158,310,71,23,28,23,28,0,11,287,61
48,Calumet Heights,11169,571,4836,405,3693,365,2768,315,0,27,2768,315,2077,302,691,218,925,197,1143,176,148,87,138,85,10,29,995,178,6333,419,4344,343,3037,303,0,27,3037,303,2463,271,574,164,1307,266,1989,216,238,95,223,93,15,33,1751,203
49,Roseland,34828,1172,15470,771,12601,753,7518,560,0,41,7518,560,5554,514,1964,321,5083,510,2869,253,349,102,306,96,43,49,2520,253,19358,796,14792,743,9100,604,31,64,9069,602,7568,533,1501,251,5692,535,4566,320,367,109,340,104,27,45,4199,309
50,Pullman,4793,371,1658,235,1413,228,1039,216,0,19,1039,216,686,177,353,125,374,121,245,79,39,36,39,36,0,19,206,66,3135,288,2427,256,1790,205,0,19,1790,205,1418,195,372,114,637,162,708,117,161,87,161,87,0,19,547,114
51,South Deering,7912,606,3134,390,2618,373,1514,316,0,25,1514,316,1109,279,405,156,1104,260,516,112,105,54,81,47,24,34,411,105,4778,436,3900,412,2574,335,0,25,2574,335,2133,322,441,161,1326,266,878,152,81,46,81,46,0,25,797,154
52,East Side,405,178,196,117,196,117,159,91,0,29,159,91,108,73,51,61,37,47,0,29,0,29,0,29,0,29,0,29,209,99,192,96,118,77,0,29,118,77,111,75,7,33,74,60,17,31,0,29,0,29,0,29,17,31
53,West Pullman,21623,1111,9238,712,7669,667,4500,458,0,39,4500,458,3287,395,1213,244,3169,493,1569,212,261,98,240,97,21,38,1308,192,12385,729,10093,712,6532,583,0,39,6532,583,5484,527,1048,253,3561,479,2292,257,280,112,267,112,13,37,2012,249
54,Riverdale,3931,435,1176,239,1034,210,517,159,0,16,517,159,290,113,227,122,517,161,142,82,28,43,28,43,0,16,114,74,2755,359,2412,349,1577,275,0,16,1577,275,1050,194,527,175,835,235,343,95,14,27,14,27,0,16,329,98
55,Hegewisch,756,474,350,313,333,311,156,132,0,19,156,132,155,132,1,16,177,208,17,28,0,19,0,19,0,19,17,28,406,249,406,249,286,193,0,19,286,193,217,148,69,72,120,129,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,1720,334,833,203,666,198,519,159,0,42,519,159,453,162,66,59,147,80,167,56,21,45,21,45,0,42,146,58,887,212,661,179,502,151,0,42,502,151,451,150,51,63,159,84,226,70,43,50,39,50,4,41,183,72
57,Archer Heights,139,143,64,62,64,62,63,63,0,27,63,63,36,49,27,51,1,25,0,27,0,27,0,27,0,27,0,27,75,90,75,90,75,90,0,27,75,90,46,55,29,51,0,27,0,27,0,27,0,27,0,27,0,27
58,Brighton Park,343,157,157,105,157,105,90,75,0,43,90,75,88,75,2,41,67,68,0,43,0,43,0,43,0,43,0,43,186,115,173,111,126,93,0,43,126,93,101,88,25,49,47,56,13,44,0,43,0,43,0,43,13,44
59,McKinley Park,356,191,116,78,116,78,95,73,0,25,95,73,93,73,2,22,21,36,0,25,0,25,0,25,0,25,0,25,240,138,240,138,156,87,0,25,156,87,130,79,26,43,84,86,0,25,0,25,0,25,0,25,0,25
60,Bridgeport,477,143,268,114,232,113,169,99,0,37,169,99,74,63,95,82,63,69,36,49,0,37,0,37,0,37,36,49,209,75,180,74,151,73,0,37,151,73,123,73,28,46,29,38,29,43,0,37,0,37,0,37,29,43
61,New City,9143,984,4153,729,3784,724,2351,461,0,47,2351,461,1271,275,1080,271,1433,358,369,127,66,69,28,50,38,66,303,116,4990,527,4476,508,2774,388,0,47,2774,388,1794,288,980,214,1702,321,514,120,20,48,20,48,0,47,494,119
62,West Elsdon,414,284,155,149,155,149,155,149,0,27,155,149,98,124,57,88,0,27,0,27,0,27,0,27,0,27,0,27,259,168,259,168,246,167,0,27,246,167,202,157,44,58,13,23,0,27,0,27,0,27,0,27,0,27
63,Gage Park,1420,312,589,157,526,148,373,122,0,41,373,122,191,91,182,102,153,93,63,52,23,44,23,44,0,41,40,46,831,218,724,198,548,159,0,41,548,159,434,129,114,90,176,111,107,88,0,41,0,41,0,41,107,88
64,Clearing,135,112,64,56,48,49,38,41,0,31,38,41,36,44,2,25,10,34,16,37,0,31,0,31,0,31,16,37,71,74,71,74,71,74,0,31,71,74,71,74,0,31,0,31,0,31,0,31,0,31,0,31,0,31
65,West Lawn,820,203,246,77,220,76,156,71,0,34,156,71,148,71,8,29,64,47,26,36,0,34,0,34,0,34,26,36,574,178,410,141,356,134,0,34,356,134,313,129,43,47,54,46,164,103,0,34,0,34,0,34,164,103
66,Chicago Lawn,21173,1224,8806,781,8061,738,4775,553,0,49,4775,553,3416,433,1359,317,3286,501,745,161,98,69,88,67,10,50,647,154,12367,778,11065,768,7075,564,8,48,7067,563,5966,510,1101,234,3990,515,1302,218,119,76,105,73,14,52,1183,208
67,West Englewood,25507,1118,11205,723,9667,719,5707,494,0,48,5707,494,3188,366,2519,354,3960,467,1538,208,187,78,112,58,75,67,1351,196,14302,692,11666,669,7117,499,0,48,7117,499,4794,382,2323,316,4549,460,2636,231,295,102,279,100,16,50,2341,221
68,Englewood,20692,1092,8452,640,7281,610,3720,408,38,55,3682,404,2394,331,1288,251,3561,426,1171,217,149,69,149,69,0,36,1022,211,12240,741,10029,700,5834,489,5,36,5829,489,4368,400,1461,261,4195,489,2211,257,227,87,227,87,0,36,1984,254
69,Greater Grand Crossing,24201,1076,10188,707,8724,674,5795,530,0,38,5795,530,4313,481,1482,278,2929,427,1464,219,203,95,192,94,11,40,1261,202,14013,739,11346,697,7891,536,0,38,7891,536,6117,465,1774,284,3455,463,2667,253,289,97,271,95,18,40,2378,247
70,Ashburn,17133,1061,8089,602,7368,578,5328,471,0,41,5328,471,4277,425,1051,248,2040,403,721,179,37,56,37,56,0,41,684,181,9044,666,8151,632,6267,552,0,41,6267,552,5738,522,529,164,1884,331,893,167,134,73,134,73,0,41,759,173
71,Auburn Gresham,37624,1376,15305,901,12849,883,7864,676,34,68,7830,675,5183,539,2647,418,4985,587,2456,269,281,113,270,111,11,48,2175,258,22319,916,17484,878,12438,754,0,46,12438,754,9176,637,3262,409,5046,527,4835,341,566,164,478,149,88,80,4269,337
72,Beverly,5717,559,2612,339,2182,325,1665,231,0,29,1665,231,1496,230,169,110,517,259,430,123,90,64,90,64,0,29,340,112,3105,359,2541,345,1828,276,0,29,1828,276,1664,258,164,85,713,170,564,125,153,69,141,70,12,33,411,120
73,Washington Heights,20540,889,8677,678,6904,632,4855,527,0,33,4855,527,3444,424,1411,285,2049,340,1773,220,244,94,207,86,37,46,1529,215,11863,608,8423,568,6019,483,0,33,6019,483,5123,434,896,215,2404,352,3440,260,434,143,425,142,9,34,3006,271
74,Mount Greenwood,722,213,294,124,278,120,265,118,0,25,265,118,253,116,12,31,13,29,16,33,0,25,0,25,0,25,16,33,428,154,400,159,324,150,0,25,324,150,298,143,26,38,76,59,28,36,0,25,0,25,0,25,28,36
75,Morgan Park,11621,807,5091,623,4257,590,3278,534,0,31,3278,534,2654,520,624,184,979,267,834,139,85,65,85,65,0,31,749,126,6530,529,5012,474,3532,341,0,31,3532,341,2929,323,603,184,1480,298,1518,193,124,55,120,55,4,30,1394,191
76,O'Hare,200,125,115,92,115,92,115,92,0,38,115,92,115,92,0,38,0,38,0,38,0,38,0,38,0,38,0,38,85,67,85,67,73,63,0,38,73,63,55,56,18,46,12,42,0,38,0,38,0,38,0,38,0,38
77,Edgewater,7337,760,3824,538,3391,522,2473,459,0,48,2473,459,2134,397,339,179,918,250,433,159,123,93,123,93,0,48,310,142,3513,448,3057,418,2000,342,0,48,2000,342,1663,311,337,157,1057,245,456,152,155,111,155,111,0,48,301,116
