area_id,area_name,c24010i001,c24010i001_moe,c24010i002,c24010i002_moe,c24010i003,c24010i003_moe,c24010i004,c24010i004_moe,c24010i005,c24010i005_moe,c24010i006,c24010i006_moe,c24010i007,c24010i007_moe,c24010i008,c24010i008_moe,c24010i009,c24010i009_moe,c24010i010,c24010i010_moe,c24010i011,c24010i011_moe,c24010i012,c24010i012_moe,c24010i013,c24010i013_moe
1,Rogers Park,6936,907,4536,688,597,198,1763,511,533,179,778,239,865,293,2400,453,550,171,890,258,526,184,0,48,434,180
2,West Ridge,6529,950,4043,692,463,192,990,309,692,254,1020,357,878,307,2486,452,499,205,826,249,786,228,0,51,375,183
3,Uptown,3862,641,2434,472,612,204,846,281,305,124,157,117,514,219,1428,316,491,178,423,167,353,154,5,48,156,107
4,Lincoln Square,3787,617,2101,415,469,198,427,167,241,129,415,192,549,249,1686,345,407,136,668,250,458,214,0,40,153,106
5,North Center,2310,404,1171,283,365,143,301,136,231,121,79,56,195,116,1139,230,471,144,217,109,336,110,28,57,87,72
6,Lake View,4700,565,2462,386,1108,249,423,143,570,190,226,123,135,91,2238,391,1027,260,563,203,502,169,38,85,108,97
7,Lincoln Park,2039,439,1217,346,660,272,145,103,328,162,14,54,70,61,822,220,400,136,211,114,186,136,0,51,25,56
8,Near North Side,2749,573,1336,382,611,223,409,268,219,134,51,69,46,94,1413,405,718,219,126,101,533,324,36,77,0,54
9,Edison Park,214,92,96,57,39,41,57,47,0,25,0,25,0,25,118,73,24,32,9,26,85,67,0,25,0,25
10,Norwood Park,2394,537,1320,335,225,90,367,200,279,140,251,149,198,111,1074,339,335,145,262,100,470,226,0,39,7,39
11,Jefferson Park,2502,486,1348,260,237,108,370,140,191,110,270,132,280,148,1154,334,174,85,214,125,695,253,0,29,71,77
12,Forest Glen,1179,264,573,162,133,86,105,66,192,109,59,58,84,67,606,163,254,101,91,90,261,118,0,29,0,29
13,North Park,1666,400,912,257,138,85,342,184,172,96,142,95,118,69,754,220,352,134,129,77,208,113,0,27,65,66
14,Albany Park,13504,1248,8930,896,636,191,3331,596,902,227,1966,466,2095,481,4574,663,521,152,2152,447,772,251,13,45,1116,355
15,Portage Park,12298,970,6547,616,710,185,1624,335,1339,297,1190,279,1684,300,5751,604,1520,287,1478,312,1958,364,12,49,783,263
16,Irving Park,12110,1068,7181,801,655,191,2729,546,1041,275,1318,302,1438,370,4929,588,1254,275,1494,334,1681,310,30,64,470,159
17,Dunning,4835,511,2657,345,444,151,624,195,465,160,413,148,711,186,2178,347,601,185,621,161,754,186,0,40,202,95
18,Montclare,2633,367,1473,231,230,103,193,101,363,128,316,148,371,132,1160,211,261,119,197,87,489,141,7,21,206,101
19,Belmont Cragin,25264,1352,14641,928,1210,261,2949,441,2564,398,2353,396,5565,592,10623,742,1742,303,2872,404,3267,434,49,69,2693,389
