area_id,area_name,b25056001,b25056001_moe,b25056002,b25056002_moe,b25056003,b25056003_moe,b25056004,b25056004_moe,b25056005,b25056005_moe,b25056006,b25056006_moe,b25056007,b25056007_moe,b25056008,b25056008_moe,b25056009,b25056009_moe,b25056010,b25056010_moe,b25056011,b25056011_moe,b25056012,b25056012_moe,b25056013,b25056013_moe,b25056014,b25056014_moe,b25056015,b25056015_moe,b25056016,b25056016_moe,b25056017,b25056017_moe,b25056018,b25056018_moe,b25056019,b25056019_moe,b25056020,b25056020_moe,b25056021,b25056021_moe,b25056022,b25056022_moe,b25056023,b25056023_moe,b25056024,b25056024_moe
1,Rogers Park,16986,651,16781,650,198,130,188,125,346,127,187,119,170,100,202,110,99,78,111,82,138,88,277,132,1268,286,1037,231,1516,287,1425,268,1702,345,2899,395,1488,273,1784,298,1145,245,498,169,103,89,205,90
2,West Ridge,12088,626,11635,633,109,103,54,68,199,113,23,55,74,95,64,70,107,78,180,118,139,97,147,95,212,135,328,145,704,236,940,250,793,221,2148,368,1808,347,2195,343,1075,260,284,136,52,63,453,171
3,Uptown,19951,640,19665,651,352,163,303,133,1448,297,662,201,246,112,422,174,521,176,692,210,535,192,1036,257,726,190,1090,232,1184,291,1089,252,775,240,2011,325,1438,268,2399,367,1357,256,1141,249,238,135,286,128
4,Lincoln Square,10602,509,10462,512,0,40,8,41,0,40,26,50,0,40,3,41,40,54,53,63,120,140,274,127,95,81,367,155,579,162,764,207,855,220,2134,334,1509,258,1760,255,1180,239,532,182,163,114,140,78
5,North Center,6966,392,6853,386,19,51,94,69,64,60,18,44,0,43,0,43,20,46,111,79,64,67,58,57,81,67,106,67,171,86,234,125,282,112,783,193,909,192,1160,203,1307,214,1027,215,345,113,113,81
6,Lake View,32881,782,32572,781,54,72,91,83,438,145,188,106,129,96,211,162,246,107,209,142,95,103,250,112,299,170,523,187,855,200,1585,305,1566,316,3767,447,3306,405,6554,540,4052,432,5143,464,3011,358,309,115
7,Lincoln Park,17532,621,17192,618,71,70,115,73,444,141,180,98,157,98,104,81,131,90,41,55,81,75,274,131,108,97,240,121,471,186,662,210,601,181,1271,281,1342,262,2842,342,2530,364,3119,392,2408,337,340,137
8,Near North Side,27993,973,27128,977,336,149,448,163,635,193,390,165,175,120,155,93,300,170,235,133,232,122,253,156,113,109,163,126,41,61,471,176,346,187,1147,288,1204,268,4130,537,5657,621,6320,647,4377,499,865,221
9,Edison Park,932,170,911,168,8,27,0,25,0,25,0,25,0,25,0,25,0,25,9,27,0,25,8,24,0,25,11,26,39,45,22,31,85,74,193,106,190,90,149,102,128,85,34,33,35,42,21,29
10,Norwood Park,3022,325,2629,309,15,43,10,38,0,39,0,39,0,39,26,53,0,39,30,47,13,41,14,43,69,85,105,89,39,49,176,88,37,46,422,150,502,182,749,188,184,119,238,141,0,39,393,156
11,Jefferson Park,3408,328,3335,330,8,30,0,29,54,58,0,29,10,32,36,38,7,30,75,48,56,50,113,75,70,76,117,75,199,96,345,127,259,117,806,209,563,179,452,146,99,64,47,54,19,34,73,49
12,Forest Glen,829,185,751,183,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,37,6,29,0,29,16,36,38,49,146,101,88,63,119,90,33,49,80,64,145,87,0,29,64,56,0,29,78,57
13,North Park,3031,263,2957,266,15,33,30,53,71,51,23,34,29,36,151,108,186,76,107,63,30,53,154,108,129,83,91,76,76,48,325,128,159,75,411,126,302,116,551,148,27,39,38,64,52,53,74,52
14,Albany Park,10666,433,10585,435,23,53,195,111,61,65,154,113,16,47,15,44,17,48,199,102,153,90,273,120,534,170,896,252,1061,248,1196,268,472,161,2131,343,1290,267,1262,265,426,152,194,79,17,43,81,58
15,Portage Park,9830,524,9525,521,38,75,0,47,0,47,116,110,25,60,71,81,35,59,114,66,71,78,285,128,553,165,581,182,783,221,1118,243,733,193,1895,326,1025,244,1512,314,405,145,144,100,21,51,305,125
16,Irving Park,10417,507,10042,502,11,47,28,54,8,46,10,47,4,49,21,48,40,79,87,59,94,84,430,158,246,117,718,195,867,209,1276,257,562,178,1857,295,1224,274,1593,266,470,143,323,113,173,110,375,126
17,Dunning,3666,344,3426,335,0,40,0,40,0,40,0,40,71,90,0,40,73,87,10,41,69,75,121,81,31,47,209,100,224,96,364,129,172,94,655,189,417,157,559,172,269,129,87,62,95,57,240,107
18,Montclare,1795,219,1746,219,0,23,21,29,10,23,16,32,35,44,22,31,0,23,0,23,20,37,50,57,68,48,56,59,176,104,339,100,141,83,329,122,161,87,182,93,104,70,16,31,0,23,49,41
19,Belmont Cragin,11095,541,10687,538,33,73,11,54,16,56,35,66,68,94,54,69,64,65,208,120,233,115,492,163,400,141,1048,243,1076,240,1275,243,646,173,2420,352,1235,270,866,223,222,123,229,123,56,69,408,159
20,Hermosa,3960,302,3922,302,0,29,24,47,39,54,46,52,0,29,0,29,62,71,27,38,93,61,198,101,114,77,423,120,412,138,565,171,154,92,728,185,345,133,468,160,117,73,107,88,0,29,38,37
21,Avondale,8027,430,7842,428,39,53,17,42,0,38,36,68,0,38,40,53,70,84,143,97,66,59,357,140,261,108,971,230,565,182,774,192,680,185,1481,261,857,216,1076,242,188,95,195,112,26,41,185,80
22,Logan Square,18353,602,18042,599,240,104,277,111,143,80,97,86,81,86,227,107,96,85,330,136,311,130,557,157,515,161,1287,248,1049,208,1630,273,730,171,2512,314,1926,295,2650,319,1935,264,1103,199,346,102,311,115
23,Humboldt Park,10868,499,10570,498,144,75,151,80,244,109,178,88,143,92,94,66,82,70,415,154,244,137,596,188,469,170,1328,266,967,209,1058,212,652,197,2021,314,762,182,687,187,199,110,124,89,12,54,298,125
24,West Town,22378,612,21930,617,348,140,167,87,519,161,212,127,307,135,208,116,291,131,152,92,186,97,532,150,326,138,1044,225,994,210,1022,212,771,181,2978,333,1968,266,3286,341,2703,320,2362,291,1554,258,448,138
25,Austin,19610,673,19241,670,270,134,284,127,573,166,272,124,249,133,432,167,335,131,687,189,433,152,1261,255,1147,236,1792,307,1856,309,1826,313,1286,266,3011,388,1650,288,1334,260,314,133,186,100,43,67,369,134
26,West Garfield Park,4228,294,4097,291,89,56,69,57,116,70,83,67,81,62,93,58,81,61,265,98,203,91,334,102,133,65,213,88,377,134,399,121,202,94,532,127,371,116,340,108,102,64,14,36,0,35,131,72
27,East Garfield Park,5039,306,4937,305,325,114,126,69,250,89,117,55,135,81,145,78,120,68,98,65,174,93,218,88,130,68,341,115,389,137,332,111,147,72,617,168,487,143,492,131,245,96,31,43,18,43,102,67
28,Near West Side,15414,552,15108,552,323,112,714,168,695,155,430,124,293,107,328,118,289,117,298,113,241,107,372,118,230,102,271,108,230,105,369,120,122,76,755,170,791,190,2288,278,2085,306,2820,336,1164,230,306,118
29,North Lawndale,8240,399,8059,400,281,106,298,110,225,89,207,90,127,74,226,96,168,92,264,104,267,107,423,134,285,107,774,189,634,153,715,154,377,113,943,196,555,149,872,192,314,122,94,68,10,44,181,89
30,South Lawndale,10539,500,10194,498,50,58,34,58,157,90,52,64,76,68,285,117,200,92,714,185,851,194,2116,311,1437,253,1635,278,843,191,537,167,286,125,611,165,128,77,116,73,46,55,20,52,0,48,345,119
31,Lower West Side,8969,386,8693,391,11,43,0,42,156,106,78,58,66,61,425,151,188,101,623,177,458,132,1149,228,792,187,1324,232,713,170,726,180,237,90,668,170,325,102,422,131,223,115,92,61,17,42,276,109
32,Loop,8300,652,7823,641,31,44,31,42,0,30,103,121,200,207,228,119,26,40,50,45,12,33,69,113,0,30,0,30,31,42,62,76,11,33,72,58,137,97,836,275,1402,311,2645,492,1877,363,477,263
33,Near South Side,5806,473,5593,451,68,45,0,24,351,196,160,112,51,44,31,35,78,76,36,36,52,54,79,75,34,42,247,135,72,66,230,113,220,225,286,113,125,78,335,172,641,258,1341,376,1156,330,213,155
34,Armour Square,3475,227,3236,231,226,82,244,87,288,93,219,98,133,77,213,96,71,44,95,62,96,69,153,68,92,73,232,105,193,89,146,72,14,27,287,127,159,79,209,99,27,38,114,71,25,47,239,121
35,Douglas,7148,281,7111,281,291,97,146,77,518,135,329,96,141,71,217,86,136,62,55,48,111,66,79,54,150,90,212,83,239,108,390,124,455,138,705,146,1057,187,1101,189,572,152,181,90,26,47,37,41
36,Oakland,2131,173,2094,173,134,77,97,60,180,74,129,71,152,80,91,74,16,25,21,29,82,57,45,44,13,19,80,56,144,79,60,38,135,72,273,98,170,102,147,83,79,47,34,36,12,24,37,27
37,Fuller Park,768,111,724,112,22,23,60,47,87,43,52,41,61,38,17,30,15,19,11,21,46,54,36,35,12,25,60,55,25,37,60,48,38,32,31,26,49,49,4,13,38,35,0,16,0,16,44,35
38,Grand Boulevard,7111,330,6988,327,169,82,364,112,614,143,276,96,249,89,262,117,96,71,104,63,151,76,438,146,229,93,548,141,154,65,295,115,366,110,652,156,540,127,945,190,370,119,166,93,0,43,123,77
39,Kenwood,6261,340,6180,342,90,58,62,57,346,112,112,70,95,68,187,73,85,54,87,58,130,89,211,104,272,125,390,149,370,135,324,127,205,89,672,179,290,112,1071,197,639,188,479,146,63,53,81,49
40,Washington Park,3309,216,3266,217,195,95,177,90,164,87,83,51,24,31,19,26,103,51,128,71,76,57,200,75,149,76,185,88,203,85,213,88,209,99,377,99,295,105,221,85,167,81,47,41,31,49,43,29
41,Hyde Park,7870,371,7773,368,65,61,4,37,100,73,32,45,7,38,70,74,0,38,24,44,84,75,122,94,244,108,547,168,458,133,480,149,442,132,1244,207,1238,220,1000,210,778,156,536,126,298,88,97,69
42,Woodlawn,7775,366,7507,360,181,86,165,81,374,108,244,90,188,82,231,95,185,83,211,83,151,91,302,112,241,110,490,145,509,153,634,150,280,106,725,166,966,216,753,163,369,132,244,87,64,60,268,96
43,South Shore,16515,598,16314,594,344,145,357,145,516,137,228,113,160,96,143,91,264,116,271,125,425,162,846,216,1032,228,1722,322,1807,303,1171,243,1448,312,2183,345,1513,275,1398,295,307,169,161,109,18,46,201,110
44,Chatham,8903,460,8759,460,162,102,61,65,108,71,82,66,55,51,35,43,49,57,139,82,294,141,499,167,691,203,1271,257,1081,229,890,221,577,197,1362,302,577,179,598,176,158,83,70,55,0,37,144,86
