area_id,area_name,b19101f001,b19101f001_moe,b19101f002,b19101f002_moe,b19101f003,b19101f003_moe,b19101f004,b19101f004_moe,b19101f005,b19101f005_moe,b19101f006,b19101f006_moe,b19101f007,b19101f007_moe,b19101f008,b19101f008_moe,b19101f009,b19101f009_moe,b19101f010,b19101f010_moe,b19101f011,b19101f011_moe,b19101f012,b19101f012_moe,b19101f013,b19101f013_moe,b19101f014,b19101f014_moe,b19101f015,b19101f015_moe,b19101f016,b19101f016_moe,b19101f017,b19101f017_moe
1,Rogers Park,955,244,19,49,82,87,67,78,66,83,163,116,150,105,43,61,0,48,65,76,196,134,43,83,61,58,0,48,0,48,0,48,0,48
2,West Ridge,1236,319,59,95,173,135,178,161,72,84,116,81,112,105,107,103,76,101,63,79,100,95,35,76,122,105,0,51,23,61,0,51,0,51
3,Uptown,404,161,20,55,52,82,32,69,28,64,22,55,0,48,0,48,27,53,0,48,26,58,35,73,31,57,71,88,0,48,31,66,29,57
4,Lincoln Square,713,228,154,127,54,88,30,45,66,71,4,39,20,65,6,40,0,40,110,108,42,56,117,94,80,56,30,62,0,40,0,40,0,40
5,North Center,163,88,0,43,0,43,6,42,0,43,39,75,10,44,10,44,11,46,11,42,11,44,43,50,0,43,10,45,4,42,0,43,8,44
6,Lake View,202,98,21,67,16,70,0,66,9,67,0,66,0,66,13,69,9,67,0,66,12,68,55,77,34,76,16,69,17,67,0,66,0,66
7,Lincoln Park,104,79,0,51,26,62,0,51,0,51,0,51,0,51,0,51,24,62,0,51,0,51,18,55,25,55,0,51,0,51,11,52,0,51
8,Near North Side,295,261,0,54,0,54,0,54,0,54,0,54,144,241,40,83,0,54,0,54,0,54,0,54,51,70,0,54,0,54,0,54,60,86
9,Edison Park,20,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,8,25,0,25,0,25,0,25,0,25,12,26,0,25,0,25,0,25
10,Norwood Park,345,145,0,39,26,55,0,39,20,43,0,39,0,39,21,43,16,44,0,39,8,39,10,41,111,83,116,107,0,39,0,39,17,46
11,Jefferson Park,425,166,0,29,0,29,0,29,50,62,24,39,0,29,0,29,16,38,45,63,62,83,36,49,104,95,27,48,42,68,19,37,0,29
12,Forest Glen,217,104,60,65,17,39,30,55,0,29,0,29,0,29,21,42,0,29,0,29,0,29,48,48,0,29,0,29,15,34,0,29,26,40
13,North Park,433,161,34,59,14,34,75,73,51,60,52,67,15,32,34,59,35,50,14,33,18,39,48,63,0,27,30,43,13,32,0,27,0,27
14,Albany Park,3542,389,150,103,128,88,331,153,302,140,400,173,33,55,279,147,196,119,203,126,290,132,507,192,391,154,174,103,66,64,72,64,20,49
15,Portage Park,3530,399,280,153,135,94,148,101,129,104,132,99,285,150,217,124,351,151,170,122,227,132,415,151,571,169,272,127,121,100,77,75,0,47
