area_id,area_name,b05001001,b05001001_moe,b05001002,b05001002_moe,b05001003,b05001003_moe,b05001004,b05001004_moe,b05001005,b05001005_moe,b05001006,b05001006_moe
1,Rogers Park,57559,2198,40151,1777,235,121,476,165,5318,652,11379,1448
2,West Ridge,73705,2596,39005,1819,232,128,1181,512,15769,1106,17518,1895
3,Uptown,54995,1710,40225,1551,484,203,526,178,6417,704,7343,971
4,Lincoln Square,38622,1335,27535,1120,332,163,370,120,5154,653,5231,785
5,North Center,33418,1097,29004,1044,361,129,238,102,2520,369,1295,313
6,Lake View,96539,1732,83394,1740,381,171,1194,260,6013,596,5557,640
7,Lincoln Park,64631,1722,57129,1692,335,113,565,156,3324,430,3278,513
8,Near North Side,80516,1818,65224,1800,178,144,958,333,6974,763,7182,902
9,Edison Park,11135,498,9530,625,83,64,72,58,1170,282,280,179
10,Norwood Park,37429,1230,28684,1146,199,107,236,118,5664,569,2646,539
11,Jefferson Park,26771,1244,18577,1179,168,93,401,222,4196,546,3429,654
12,Forest Glen,18542,646,14989,708,85,72,79,59,2800,331,589,226
13,North Park,18739,1008,11221,804,82,67,164,82,4532,607,2740,469
14,Albany Park,53897,2062,27716,1359,1000,402,333,153,8918,947,15930,1572
15,Portage Park,63619,1847,41192,1697,1589,421,341,165,10968,934,9529,932
16,Irving Park,56513,1956,37161,1545,1050,263,292,126,7485,783,10525,1126
17,Dunning,42115,1249,25982,1224,618,207,518,208,8394,739,6603,788
18,Montclare,12401,838,7592,711,368,153,64,65,1938,343,2439,473
19,Belmont Cragin,77885,2548,43374,2029,3800,544,572,197,10122,856,20017,1527
20,Hermosa,25068,1269,13386,928,2706,553,91,76,3006,448,5879,863
21,Avondale,41542,1885,23627,1248,1099,344,268,119,5139,615,11409,1346
22,Logan Square,73786,1997,53526,1651,3904,493,557,181,5295,562,10504,1071
23,Humboldt Park,54351,2209,40782,2057,3543,492,377,198,3253,546,6396,1020
24,West Town,84087,2008,66828,1842,2952,460,796,213,5747,564,7764,810
25,Austin,98162,2739,93410,2699,574,202,229,125,1545,312,2404,633
26,West Garfield Park,19377,1316,19260,1313,15,40,54,78,30,37,18,41
27,East Garfield Park,21316,1354,20794,1360,71,70,0,38,218,103,233,137
28,Near West Side,54151,1661,45139,1603,203,104,442,176,3160,408,5207,638
29,North Lawndale,36074,1850,35128,1833,16,42,25,49,313,113,592,217
30,South Lawndale,70557,2333,38949,1772,440,189,237,110,6663,580,24268,1455
31,Lower West Side,36577,1700,20483,1196,379,215,238,109,4240,486,11237,1038
32,Loop,26363,1430,20814,1366,25,38,341,164,1969,414,3214,587
33,Near South Side,20245,1153,16180,1080,33,37,92,71,1722,402,2218,564
34,Armour Square,13710,850,6225,673,94,107,124,87,3539,445,3728,586
35,Douglas,19111,872,15671,787,39,47,207,134,559,177,2635,551
36,Oakland,6260,469,5890,441,0,19,35,39,115,67,220,106
37,Fuller Park,2924,543,2756,539,0,16,9,19,14,17,145,102
38,Grand Boulevard,23151,1181,22444,1140,64,55,44,54,285,105,314,149
39,Kenwood,18180,927,15816,909,29,52,176,109,792,245,1367,298
40,Washington Park,11146,835,10995,821,6,27,32,38,61,40,52,58
41,Hyde Park,26541,1184,21574,1068,96,98,329,113,1593,297,2949,430
42,Woodlawn,24445,1271,23201,1261,0,36,109,73,415,141,720,213
43,South Shore,47526,2018,45868,1991,53,64,148,132,630,216,827,319
44,Chatham,33244,1627,32784,1639,0,37,207,147,180,124,73,46
45,Avalon Park,9617,760,9435,750,0,19,13,24,58,37,111,76
46,South Chicago,29458,1592,25557,1482,147,94,115,118,1098,295,2541,584
47,Burnside,3508,686,3398,681,0,11,10,18,57,54,43,58
48,Calumet Heights,14382,814,13576,783,51,65,0,27,381,155,374,283
49,Roseland,45285,1660,44463,1661,73,63,42,59,372,151,335,130
50,Pullman,7262,584,6989,554,0,19,27,34,84,59,162,106
51,South Deering,16445,1030,14058,975,35,68,49,51,1178,272,1125,342
52,East Side,23517,1386,15846,1077,219,150,118,81,3465,425,3869,686
53,West Pullman,30810,1644,29837,1655,43,62,53,67,290,130,587,225
54,Riverdale,6820,725,6766,729,0,16,0,16,54,41,0,16
55,Hegewisch,10168,928,8975,913,66,52,15,19,691,182,421,206
56,Garfield Ridge,33940,1080,25908,1068,137,98,198,100,4491,471,3206,501
57,Archer Heights,13434,778,7617,579,119,87,78,80,2051,285,3569,549
58,Brighton Park,44148,1807,24363,1354,302,128,267,122,5779,540,13437,1112
59,McKinley Park,16434,925,10201,764,51,55,166,77,2595,358,3421,506
60,Bridgeport,32430,1332,20969,1090,119,118,272,120,5941,571,5129,729
61,New City,42107,1897,29662,1692,312,181,112,79,2501,388,9520,839
62,West Elsdon,18980,1098,11217,808,178,144,45,39,2734,356,4806,695
63,Gage Park,39492,1743,20998,1202,227,111,118,87,4181,455,13968,1251
64,Clearing,22716,982,17550,1006,155,96,22,36,2220,332,2769,582
65,West Lawn,32950,1269,20622,1080,228,123,182,93,4219,545,7699,850
66,Chicago Lawn,54807,2224,42511,2015,391,206,240,145,2993,395,8672,1001
67,West Englewood,35294,1620,34527,1600,74,85,10,48,232,113,451,233
68,Englewood,28824,1517,28592,1511,0,36,31,42,131,99,70,83
69,Greater Grand Crossing,32873,1529,32454,1546,5,38,45,48,203,91,166,142
