area_id,area_name,b11003001,b11003001_moe,b11003002,b11003002_moe,b11003003,b11003003_moe,b11003004,b11003004_moe,b11003005,b11003005_moe,b11003006,b11003006_moe,b11003007,b11003007_moe,b11003008,b11003008_moe,b11003009,b11003009_moe,b11003010,b11003010_moe,b11003011,b11003011_moe,b11003012,b11003012_moe,b11003013,b11003013_moe,b11003014,b11003014_moe,b11003015,b11003015_moe,b11003016,b11003016_moe,b11003017,b11003017_moe,b11003018,b11003018_moe,b11003019,b11003019_moe,b11003020,b11003020_moe
1,Rogers Park,10091,605,6200,531,3199,394,1364,272,768,217,1067,246,3001,353,3891,444,1284,291,588,176,180,97,103,80,305,134,696,239,2607,360,1498,282,229,111,318,139,951,238,1109,226
2,West Ridge,16321,613,12078,623,6382,527,1770,342,1646,297,2966,405,5696,476,4243,467,1214,279,493,203,92,92,185,136,216,120,721,200,3029,399,1374,292,266,128,121,82,987,252,1655,298
3,Uptown,9232,572,6145,487,2053,302,986,221,342,157,725,202,4092,400,3087,413,994,246,292,132,62,71,14,49,216,119,702,221,2093,358,1064,240,195,100,204,123,665,194,1029,285
4,Lincoln Square,8394,466,6684,435,2760,319,1343,226,444,156,973,214,3924,342,1710,300,484,193,148,118,16,41,96,102,36,69,336,154,1226,227,616,177,119,84,41,68,456,153,610,171
5,North Center,7252,362,6063,334,2917,250,1609,205,490,135,818,160,3146,292,1189,207,321,110,107,66,40,57,0,43,67,52,214,94,868,178,346,116,77,70,8,43,261,99,522,140
6,Lake View,14864,634,12649,591,5072,356,2995,303,936,192,1141,181,7577,497,2215,317,768,194,278,143,70,81,106,121,102,87,490,145,1447,268,588,210,170,135,11,69,407,171,859,176
7,Lincoln Park,10261,528,8914,522,4033,349,1602,221,699,153,1732,289,4881,416,1347,218,354,125,184,93,31,61,10,52,143,85,170,91,993,180,592,139,130,76,64,69,398,121,401,118
8,Near North Side,15079,781,12697,740,2155,318,1174,255,206,92,775,212,10542,714,2382,364,582,198,77,90,13,57,0,54,64,88,505,187,1800,300,954,218,126,119,311,145,517,186,846,221
9,Edison Park,2829,194,2266,186,907,118,101,53,195,79,611,127,1359,171,563,149,214,101,24,25,5,24,0,25,19,26,190,98,349,124,135,86,0,25,0,25,135,86,214,87
10,Norwood Park,9614,389,7522,401,2928,280,811,206,723,207,1394,204,4594,327,2092,318,594,169,106,90,15,47,7,39,84,85,488,151,1498,273,510,175,120,105,104,99,286,121,988,217
