area_id,area_name,c21007001,c21007001_moe,c21007002,c21007002_moe,c21007003,c21007003_moe,c21007004,c21007004_moe,c21007005,c21007005_moe,c21007006,c21007006_moe,c21007007,c21007007_moe,c21007008,c21007008_moe,c21007009,c21007009_moe,c21007010,c21007010_moe,c21007011,c21007011_moe,c21007012,c21007012_moe,c21007013,c21007013_moe,c21007014,c21007014_moe,c21007015,c21007015_moe,c21007016,c21007016_moe,c21007017,c21007017_moe,c21007018,c21007018_moe,c21007019,c21007019_moe,c21007020,c21007020_moe,c21007021,c21007021_moe,c21007022,c21007022_moe,c21007023,c21007023_moe,c21007024,c21007024_moe,c21007025,c21007025_moe,c21007026,c21007026_moe,c21007027,c21007027_moe,c21007028,c21007028_moe,c21007029,c21007029_moe,c21007030,c21007030_moe,c21007031,c21007031_moe
1,Rogers Park,43753,1553,40066,1513,1190,240,116,67,62,63,54,52,1074,232,119,75,955,225,38876,1519,9689,1077,1230,304,8459,1040,29187,1346,1606,357,27581,1292,3687,419,510,147,52,61,14,55,38,55,458,136,161,85,297,113,3177,392,1093,278,538,203,555,196,2084,325,726,190,1358,269
2,West Ridge,53694,1768,44903,1740,820,247,128,121,4,48,124,121,692,216,24,53,668,214,44083,1750,7759,1071,798,240,6961,1036,36324,1697,2602,428,33722,1676,8791,702,987,194,9,52,0,51,9,52,978,193,421,124,557,152,7804,683,1118,269,638,190,480,199,6686,659,2434,366,4252,577
3,Uptown,47081,1383,41987,1381,1174,256,310,136,189,115,121,89,864,224,112,100,752,207,40813,1370,9141,1004,1900,382,7241,911,31672,1180,1177,284,30495,1186,5094,519,553,142,62,66,50,64,12,49,491,130,231,100,260,102,4541,513,1931,375,1051,264,880,267,2610,416,950,241,1660,321
4,Lincoln Square,31798,981,28459,919,769,210,94,134,90,134,4,39,675,165,114,82,561,148,27690,928,3014,519,553,187,2461,449,24676,922,952,256,23724,894,3339,388,486,124,20,43,20,43,0,40,466,122,177,74,289,101,2853,378,448,223,208,120,240,169,2405,349,788,195,1617,277
5,North Center,27159,813,24658,815,578,148,47,64,4,43,43,64,531,140,33,48,498,137,24080,814,1662,353,218,132,1444,324,22418,800,580,165,21838,789,2501,296,353,99,7,43,7,43,0,43,346,99,143,84,203,79,2148,289,260,109,155,84,105,82,1888,293,638,153,1250,255
6,Lake View,86549,1480,80021,1477,1339,272,201,122,47,87,154,106,1138,250,118,89,1020,238,78682,1475,9476,885,868,232,8608,843,69206,1459,2065,327,67141,1442,6528,467,970,184,43,69,9,67,34,69,927,181,355,129,572,147,5558,431,837,196,385,148,452,151,4721,409,1622,260,3099,352
7,Lincoln Park,52848,1227,48329,1220,751,199,140,105,38,66,102,95,611,172,18,56,593,170,47578,1214,6213,695,713,187,5500,671,41365,1149,796,200,40569,1133,4519,386,837,185,29,54,7,50,22,55,808,183,321,138,487,124,3682,353,615,164,251,117,364,133,3067,329,707,156,2360,306
8,Near North Side,73081,1560,60848,1544,1340,314,192,138,60,91,132,117,1148,287,62,71,1086,284,59508,1548,7477,789,554,190,6923,775,52031,1546,1270,272,50761,1555,12233,679,2091,307,33,59,15,56,18,57,2058,307,591,183,1467,267,10142,618,1213,295,606,251,607,187,8929,601,2061,318,6868,577
9,Edison Park,8869,402,7202,415,426,166,0,25,0,25,0,25,426,166,36,38,390,165,6776,376,195,120,46,37,149,105,6581,356,396,150,6185,352,1667,153,322,92,0,25,0,25,0,25,322,92,66,42,256,87,1345,159,79,50,28,29,51,42,1266,156,464,114,802,133
10,Norwood Park,29492,847,22552,903,957,212,75,73,38,51,37,65,882,206,127,75,755,194,21595,902,1063,293,184,113,879,249,20532,900,1313,291,19219,877,6940,348,1353,203,36,50,17,40,19,46,1317,201,382,119,935,176,5587,351,410,145,200,106,210,104,5177,338,1911,253,3266,301
