area_id,area_name,b17010a001,b17010a001_moe,b17010a002,b17010a002_moe,b17010a003,b17010a003_moe,b17010a004,b17010a004_moe,b17010a005,b17010a005_moe,b17010a006,b17010a006_moe,b17010a007,b17010a007_moe,b17010a008,b17010a008_moe,b17010a009,b17010a009_moe,b17010a010,b17010a010_moe,b17010a011,b17010a011_moe,b17010a012,b17010a012_moe,b17010a013,b17010a013_moe,b17010a014,b17010a014_moe,b17010a015,b17010a015_moe,b17010a016,b17010a016_moe,b17010a017,b17010a017_moe,b17010a018,b17010a018_moe,b17010a019,b17010a019_moe,b17010a020,b17010a020_moe,b17010a021,b17010a021_moe,b17010a022,b17010a022_moe,b17010a023,b17010a023_moe,b17010a024,b17010a024_moe,b17010a025,b17010a025_moe,b17010a026,b17010a026_moe,b17010a027,b17010a027_moe,b17010a028,b17010a028_moe,b17010a029,b17010a029_moe,b17010a030,b17010a030_moe,b17010a031,b17010a031_moe,b17010a032,b17010a032_moe,b17010a033,b17010a033_moe,b17010a034,b17010a034_moe,b17010a035,b17010a035_moe,b17010a036,b17010a036_moe,b17010a037,b17010a037_moe,b17010a038,b17010a038_moe,b17010a039,b17010a039_moe,b17010a040,b17010a040_moe,b17010a041,b17010a041_moe
1,Rogers Park,5062,455,741,211,464,166,284,136,132,98,52,82,100,86,180,102,277,136,71,84,38,65,10,48,0,48,28,65,33,69,206,115,174,110,28,54,90,93,56,69,32,57,4321,418,3280,368,1399,259,639,178,280,103,480,168,1881,269,1041,240,518,192,253,132,106,93,51,70,96,89,265,146,523,154,261,98,90,67,21,49,150,78,262,123
2,West Ridge,9188,550,1294,301,847,247,643,235,99,99,228,143,316,155,204,94,447,188,53,88,46,88,0,51,46,88,0,51,7,51,394,174,250,135,25,58,64,78,161,116,144,119,7894,516,6162,483,2826,342,759,205,735,168,1332,257,3336,375,1732,301,584,183,247,118,7,51,91,97,149,81,337,143,1148,242,432,163,103,91,26,53,303,140,716,185
3,Uptown,5366,448,357,127,209,96,107,77,40,55,27,58,40,62,102,72,148,92,0,48,0,48,0,48,0,48,0,48,0,48,148,92,148,92,29,51,0,48,119,88,0,48,5009,435,4033,391,1122,235,567,184,149,111,406,147,2911,343,976,250,281,123,146,105,16,48,0,48,130,103,135,80,695,217,371,148,93,76,0,48,278,133,324,156
4,Lincoln Square,6148,431,336,137,208,113,102,83,45,54,33,64,24,53,106,85,128,82,0,40,0,40,0,40,0,40,0,40,0,40,128,82,55,52,9,41,0,40,46,51,73,72,5812,415,4911,377,1981,274,938,192,306,112,737,179,2930,284,901,214,205,114,87,57,26,44,0,40,61,53,118,99,696,178,382,145,54,67,0,40,328,134,314,123
5,North Center,6561,348,144,70,69,50,38,44,23,45,3,42,12,43,31,48,75,64,5,42,0,43,0,43,0,43,0,43,5,42,70,64,15,47,0,43,0,43,15,47,55,61,6417,346,5498,332,2738,252,1308,198,516,143,914,168,2760,277,919,172,276,105,90,64,33,57,0,43,57,51,186,90,643,147,268,106,67,69,0,43,201,90,375,112
6,Lake View,12604,612,273,109,68,70,35,68,7,66,11,66,17,68,33,69,205,106,56,80,46,79,0,66,46,79,0,66,10,67,149,96,91,92,19,71,0,66,72,88,58,72,12331,605,10774,577,4153,357,2110,277,687,165,1356,217,6621,473,1557,269,579,172,209,131,37,73,0,66,172,126,370,128,978,214,385,160,154,134,0,66,231,108,593,151
7,Lincoln Park,9190,517,233,98,71,67,57,65,15,51,30,63,12,53,14,51,162,89,56,77,18,56,0,51,0,51,18,56,38,73,106,65,66,62,36,55,4,50,26,59,40,53,8957,516,8132,515,3645,341,1284,201,585,140,1776,286,4487,407,825,172,246,104,154,89,20,60,10,52,124,81,92,71,579,142,363,110,106,73,37,59,220,89,216,96
8,Near North Side,11446,656,332,148,197,111,36,79,0,54,0,54,36,79,161,95,135,110,56,83,0,54,0,54,0,54,0,54,56,83,79,90,14,57,0,54,0,54,14,57,65,88,11114,650,10119,624,1568,268,724,189,195,97,649,201,8551,607,995,266,334,150,64,88,0,54,0,54,64,88,270,136,661,217,273,150,78,112,19,63,176,108,388,164
9,Edison Park,2743,197,37,34,30,31,18,28,0,25,7,24,11,28,12,28,7,25,0,25,0,25,0,25,0,25,0,25,0,25,7,25,7,25,0,25,0,25,7,25,0,25,2706,199,2158,181,912,109,99,53,188,80,625,120,1246,163,548,148,206,100,16,24,5,24,0,25,11,26,190,98,342,123,148,88,10,23,0,25,138,87,194,85
10,Norwood Park,8657,382,315,116,220,101,99,84,0,39,61,64,38,66,121,71,95,64,0,39,0,39,0,39,0,39,0,39,0,39,95,64,35,45,0,39,0,39,35,45,60,59,8342,392,6679,386,2611,268,581,163,603,193,1427,201,4068,311,1663,288,466,139,91,86,0,39,7,39,84,85,375,112,1197,251,408,157,67,80,96,93,245,120,789,196
