area_id,area_name,b19082001,b19082001_moe,b19082002,b19082002_moe,b19082003,b19082003_moe,b19082004,b19082004_moe,b19082005,b19082005_moe,b19082006,b19082006_moe
1,Rogers Park,36,4,96,6,170,7,285,9,613,16,235,14
2,West Ridge,52,5,129,9,212,10,322,15,686,32,290,38
3,Uptown,29,3,83,5,159,7,287,11,642,17,262,19
4,Lincoln Square,40,4,103,6,165,7,247,9,545,20,224,23
5,North Center,52,5,121,8,196,10,305,13,726,29,329,32
6,Lake View,106,8,293,11,487,14,760,17,1754,37,765,38
7,Lincoln Park,38,4,137,8,248,10,408,13,1068,25,489,26
8,Near North Side,41,4,129,8,233,12,412,15,1186,32,574,34
9,Edison Park,13,2,32,3,50,4,71,5,134,11,55,13
10,Norwood Park,32,3,71,4,119,4,175,4,303,9,105,6
11,Jefferson Park,24,3,56,4,101,5,156,5,263,8,88,5
12,Forest Glen,12,2,34,3,62,4,97,4,194,9,80,8
13,North Park,12,2,31,4,58,4,96,5,202,10,80,12
14,Albany Park,42,4,97,7,168,7,267,8,526,17,204,14
15,Portage Park,58,5,134,7,216,7,321,9,571,18,212,17
16,Irving Park,63,5,138,7,221,7,350,10,727,18,273,15
17,Dunning,45,4,117,6,193,6,282,7,463,13,161,9
18,Montclare,7,1,18,2,30,2,48,3,97,7,40,7
19,Belmont Cragin,85,6,181,8,281,8,417,9,737,18,252,14
20,Hermosa,23,3,52,5,84,5,126,5,215,11,76,7
21,Avondale,40,5,97,6,151,5,214,7,397,14,145,10
22,Logan Square,99,6,233,9,381,11,592,17,1194,29,467,29
23,Humboldt Park,35,6,112,8,198,9,323,13,632,25,250,25
24,West Town,101,7,276,11,468,12,735,16,1520,30,603,29
25,Austin,77,8,207,10,349,12,555,14,1113,29,431,28
26,West Garfield Park,24,6,76,8,137,11,232,12,430,23,151,18
27,East Garfield Park,20,6,68,8,123,11,212,17,477,28,194,34
28,Near West Side,44,6,145,8,269,12,467,19,975,26,382,21
29,North Lawndale,28,5,89,8,162,11,289,15,631,27,260,30
30,South Lawndale,91,7,183,8,277,9,402,11,746,23,281,19
31,Lower West Side,45,5,101,6,160,7,243,8,451,15,163,10
32,Loop,10,3,41,5,70,5,113,7,266,14,117,14
33,Near South Side,7,2,22,3,39,4,73,6,159,11,69,12
34,Armour Square,12,4,38,4,66,7,123,7,261,14,100,13
35,Douglas,15,4,61,6,104,8,189,13,432,22,190,28
36,Oakland,13,2,23,4,39,5,72,5,152,10,57,8
37,Fuller Park,6,4,17,3,25,4,51,6,101,10,38,5
38,Grand Boulevard,25,4,66,7,131,11,229,15,548,29,252,34
39,Kenwood,16,3,44,5,80,8,138,12,422,23,213,31
40,Washington Park,12,3,43,5,85,9,153,10,306,17,110,9
41,Hyde Park,18,3,70,7,132,9,220,11,560,24,247,27
42,Woodlawn,24,4,77,6,136,9,234,11,528,20,206,21
43,South Shore,37,5,114,8,212,10,344,11,694,20,256,16
44,Chatham,26,4,74,6,138,7,226,8,436,14,160,9
45,Avalon Park,5,2,18,2,30,3,53,3,94,6,33,4
46,South Chicago,28,5,79,6,131,7,212,10,450,18,171,17
47,Burnside,3,1,7,1,13,3,23,4,53,7,23,4
48,Calumet Heights,17,4,43,5,69,5,97,5,173,11,67,10
49,Roseland,50,5,125,7,206,9,318,10,602,19,226,16
50,Pullman,9,2,27,4,52,4,81,4,131,9,45,8
51,South Deering,10,3,35,4,65,5,104,5,187,11,64,8
52,East Side,24,4,60,5,96,5,146,6,275,11,95,7
53,West Pullman,19,3,56,5,96,7,151,5,278,11,103,8
54,Riverdale,3,2,9,1,14,2,27,4,48,5,15,3
55,Hegewisch,7,2,20,2,33,3,52,2,88,5,30,3
56,Garfield Ridge,36,3,83,5,135,5,199,7,347,12,118,7
57,Archer Heights,23,5,45,4,67,4,94,4,171,10,61,6
58,Brighton Park,52,5,109,6,158,7,241,8,439,16,158,11
59,McKinley Park,23,3,53,4,83,4,123,5,219,10,78,6
60,Bridgeport,36,4,92,6,158,7,246,8,467,16,183,13
61,New City,65,7,157,9,235,8,347,11,596,18,207,13
62,West Elsdon,20,3,46,3,68,4,102,5,164,7,55,6
63,Gage Park,36,4,78,4,113,6,173,6,300,11,107,8
64,Clearing,35,4,77,5,119,5,172,6,297,11,105,7
65,West Lawn,32,3,66,4,102,4,152,5,248,8,84,5
66,Chicago Lawn,41,5,102,7,179,8,276,10,502,17,177,16
67,West Englewood,52,8,128,8,194,10,320,15,606,23,223,18
68,Englewood,20,5,71,7,129,11,226,17,553,31,249,43
69,Greater Grand Crossing,36,7,97,8,169,12,269,15,629,33,278,43
70,Ashburn,33,3,76,6,129,4,179,5,283,9,91,6
71,Auburn Gresham,43,6,119,7,198,8,325,10,616,18,218,13
72,Beverly,35,4,80,4,118,5,163,6,305,13,121,12
73,Washington Heights,34,3,82,6,134,6,199,7,351,12,113,7
74,Mount Greenwood,21,3,53,3,74,3,99,3,152,7,51,6
75,Morgan Park,24,3,59,4,99,6,157,5,261,11,95,9
76,O'Hare,13,2,31,3,51,5,79,4,127,7,45,5
77,Edgewater,47,4,130,7,229,9,360,10,734,19,285,15
