area_id,area_name,b19113a001,b19113a001_moe
1,Rogers Park,844777,131368
2,West Ridge,870135,76035
3,Uptown,1144017,142600
4,Lincoln Square,977184,115160
5,North Center,1874704,170072
6,Lake View,4661344,352606
7,Lincoln Park,3078269,236899
8,Near North Side,2754363,256346
9,Edison Park,281217,28329
10,Norwood Park,709701,41658
11,Jefferson Park,432778,65003
12,Forest Glen,493579,42461
13,North Park,391376,71262
14,Albany Park,653959,94421
15,Portage Park,946986,52288
16,Irving Park,1070575,134445
17,Dunning,779091,57399
18,Montclare,116161,20266
19,Belmont Cragin,907151,86595
20,Hermosa,299799,43438
21,Avondale,480675,46967
22,Logan Square,1971443,160830
23,Humboldt Park,532022,194012
24,West Town,3213922,210847
25,Austin,866979,310355
27,East Garfield Park,327843,502771
28,Near West Side,2059745,276455
29,North Lawndale,216324,54138
30,South Lawndale,556189,86821
31,Lower West Side,454855,94561
32,Loop,760707,107462
33,Near South Side,396283,62832
34,Armour Square,217748,124836
35,Douglas,700049,149457
36,Oakland,228427,109487
37,Fuller Park,43333,12917
38,Grand Boulevard,264343,156574
39,Kenwood,868220,273134
41,Hyde Park,1290608,189074
42,Woodlawn,421400,180323
43,South Shore,373812,360027
46,South Chicago,267278,219135
48,Calumet Heights,178144,54425
49,Roseland,175893,9362
50,Pullman,144545,55607
51,South Deering,120986,21207
52,East Side,281982,29682
53,West Pullman,46198,17753
54,Riverdale,44769,40664
55,Hegewisch,116190,31103
56,Garfield Ridge,711421,86008
57,Archer Heights,269135,27597
58,Brighton Park,364687,52358
59,McKinley Park,226070,40579
60,Bridgeport,618353,71144
61,New City,592286,85472
62,West Elsdon,200526,25269
63,Gage Park,357248,60492
64,Clearing,416960,50149
65,West Lawn,370831,34499
66,Chicago Lawn,404151,93936
68,Englewood,55288,82554
70,Ashburn,620991,91946
71,Auburn Gresham,31250,30014
72,Beverly,810659,63726
74,Mount Greenwood,399518,21578
75,Morgan Park,436743,80078
76,O'Hare,171612,22964
77,Edgewater,1232523,193283
