area_id,area_name,b25001001,b25001001_moe
1,Rogers Park,27912,242
2,West Ridge,27639,218
3,Uptown,32444,292
4,Lincoln Square,19499,250
5,North Center,16442,185
6,Lake View,57951,375
7,Lincoln Park,35919,325
8,Near North Side,61054,474
9,Edison Park,4935,79
10,Norwood Park,15620,126
11,Jefferson Park,10952,111
12,Forest Glen,7134,94
13,North Park,6970,128
14,Albany Park,18213,181
15,Portage Park,24837,196
16,Irving Park,22525,210
17,Dunning,16145,141
18,Montclare,4848,82
19,Belmont Cragin,24148,153
20,Hermosa,7922,110
21,Avondale,15282,213
22,Logan Square,32764,309
23,Humboldt Park,20482,256
24,West Town,41319,404
25,Austin,38606,336
26,West Garfield Park,8018,159
27,East Garfield Park,8974,163
28,Near West Side,29058,344
29,North Lawndale,15066,214
30,South Lawndale,20747,245
31,Lower West Side,14323,209
32,Loop,17582,400
33,Near South Side,13642,270
34,Armour Square,5739,143
35,Douglas,10766,196
36,Oakland,3077,119
37,Fuller Park,1562,57
38,Grand Boulevard,12233,256
39,Kenwood,10635,181
40,Washington Park,5627,162
41,Hyde Park,14824,193
42,Woodlawn,13994,192
43,South Shore,28629,277
44,Chatham,17044,198
45,Avalon Park,4406,107
46,South Chicago,14460,200
47,Burnside,1264,54
48,Calumet Heights,6151,78
49,Roseland,18311,200
50,Pullman,3518,63
51,South Deering,5912,81
52,East Side,7876,92
53,West Pullman,11697,139
54,Riverdale,3344,51
55,Hegewisch,4045,123
56,Garfield Ridge,12732,172
57,Archer Heights,4212,73
58,Brighton Park,13810,186
59,McKinley Park,5709,101
60,Bridgeport,14074,195
61,New City,15885,203
62,West Elsdon,5340,95
63,Gage Park,10432,129
64,Clearing,9174,53
65,West Lawn,9729,110
66,Chicago Lawn,19044,177
67,West Englewood,13716,204
68,Englewood,14753,241
69,Greater Grand Crossing,16291,190
70,Ashburn,13448,110
71,Auburn Gresham,20718,198
72,Beverly,8316,99
73,Washington Heights,10609,129
74,Mount Greenwood,7119,159
75,Morgan Park,9104,139
76,O'Hare,6635,115
77,Edgewater,32312,307
