area_id,area_name,b17020h001,b17020h001_moe,b17020h002,b17020h002_moe,b17020h003,b17020h003_moe,b17020h004,b17020h004_moe,b17020h005,b17020h005_moe,b17020h006,b17020h006_moe,b17020h007,b17020h007_moe,b17020h008,b17020h008_moe,b17020h009,b17020h009_moe,b17020h010,b17020h010_moe,b17020h011,b17020h011_moe,b17020h012,b17020h012_moe,b17020h013,b17020h013_moe,b17020h014,b17020h014_moe,b17020h015,b17020h015_moe,b17020h016,b17020h016_moe,b17020h017,b17020h017_moe
55,Hegewisch,3962,503,426,181,0,19,0,19,14,25,19,32,285,138,106,89,2,11,3536,487,104,83,12,24,72,68,74,49,2183,324,490,159,601,195
56,Garfield Ridge,17877,853,913,274,30,48,0,42,43,66,53,86,481,145,99,61,207,84,16964,860,685,201,210,123,874,207,886,207,10738,642,1763,244,1808,241
57,Archer Heights,3002,461,289,174,16,34,17,34,17,35,40,58,116,63,30,35,53,40,2713,442,25,30,21,39,67,51,199,106,1788,317,267,81,346,102
58,Brighton Park,3604,502,815,271,0,43,0,43,13,45,54,72,582,233,75,65,91,63,2789,418,38,53,18,49,10,45,55,50,1602,300,433,126,633,139
59,McKinley Park,2978,463,645,220,42,54,10,28,0,25,31,36,520,182,5,25,37,42,2333,447,72,74,43,46,160,115,166,114,1325,251,206,88,361,110
60,Bridgeport,10731,741,1394,316,87,74,17,41,75,65,50,57,978,217,71,59,116,63,9337,702,281,115,28,40,461,133,386,126,6710,529,773,154,698,143
61,New City,5757,649,1182,444,171,124,10,49,56,80,89,93,761,271,64,64,31,43,4575,538,253,104,22,48,248,113,252,115,3221,402,359,116,220,86
62,West Elsdon,3369,448,223,94,9,25,0,27,4,23,5,24,99,69,62,42,44,35,3146,447,22,36,0,27,51,48,84,57,2034,332,345,106,610,142
63,Gage Park,1863,382,210,93,0,41,0,41,0,41,6,39,105,67,54,48,45,45,1653,379,38,56,15,45,39,59,62,66,908,246,164,71,427,120
64,Clearing,11775,651,798,254,23,48,14,35,25,35,32,38,558,200,27,35,119,62,10977,625,335,141,44,43,485,164,596,181,7142,518,1161,247,1214,184
65,West Lawn,5493,649,840,379,9,33,0,34,81,85,174,163,426,173,42,45,108,78,4653,557,52,51,23,39,86,72,165,101,2864,441,486,145,977,201
66,Chicago Lawn,1898,378,417,185,18,55,9,50,35,53,26,63,216,118,32,55,81,68,1481,340,6,47,22,49,30,53,36,57,904,250,198,99,285,109
67,West Englewood,374,150,121,87,0,48,0,48,19,55,10,49,79,61,0,48,13,51,253,126,10,49,0,48,9,49,10,49,152,91,61,61,11,49
68,Englewood,154,97,101,87,0,36,0,36,0,36,0,36,97,87,2,33,2,35,53,53,0,36,0,36,0,36,0,36,52,53,0,36,1,35
69,Greater Grand Crossing,180,113,85,70,0,38,0,38,0,38,0,38,80,70,5,38,0,38,95,71,0,38,0,38,0,38,0,38,95,71,0,38,0,38
70,Ashburn,7063,876,785,346,0,41,0,41,69,71,138,107,398,197,71,62,109,72,6278,870,90,72,0,41,101,74,370,140,3778,728,767,178,1172,208
71,Auburn Gresham,129,79,36,50,0,46,0,46,0,46,0,46,35,50,0,46,1,44,93,74,0,46,0,46,0,46,0,46,53,64,2,44,38,60
72,Beverly,12356,583,209,109,0,29,0,29,0,29,2,27,158,100,21,43,28,34,12147,591,807,177,266,77,1234,209,1002,212,7209,386,732,133,897,147
73,Washington Heights,155,167,5,25,0,33,0,33,0,33,0,33,4,28,0,33,1,31,150,168,0,33,0,33,0,33,21,46,69,63,49,86,11,37
74,Mount Greenwood,16053,775,364,230,0,25,0,25,12,31,25,32,174,120,105,115,48,38,15689,765,987,216,136,72,1373,237,1376,279,9928,483,915,181,974,164
75,Morgan Park,7026,480,471,279,0,31,0,31,25,50,0,31,323,225,11,31,112,91,6555,490,427,182,116,86,645,126,474,147,3898,356,458,143,537,151
76,O'Hare,10087,1175,1910,999,349,321,28,59,263,311,48,77,1002,400,161,115,59,78,8177,932,583,216,76,83,236,166,205,172,6047,663,621,186,409,141
77,Edgewater,28249,1200,4014,594,44,63,0,48,75,90,76,86,2937,533,461,151,421,144,24235,1171,1060,274,54,63,581,203,454,161,18894,920,1450,287,1742,275
