area_id,area_name,c17002001,c17002001_moe,c17002002,c17002002_moe,c17002003,c17002003_moe,c17002004,c17002004_moe,c17002005,c17002005_moe,c17002006,c17002006_moe,c17002007,c17002007_moe,c17002008,c17002008_moe
1,Rogers Park,55080,2108,6259,1129,8574,1251,3280,797,3417,811,3053,655,1943,690,28554,1560
2,West Ridge,72693,2583,5177,1257,9307,1732,4765,1084,5044,1307,5233,1164,3018,930,40149,2133
3,Uptown,53601,1705,5424,837,8059,1045,2035,421,2658,601,3137,847,678,291,31610,1455
4,Lincoln Square,38135,1328,2571,767,2062,567,1628,538,1869,574,2484,689,638,280,26883,1234
5,North Center,33388,1095,1021,286,1104,287,499,178,622,211,1345,438,250,119,28547,1075
6,Lake View,96353,1728,6241,765,5015,617,2215,487,2149,541,3958,547,1150,272,75625,1773
7,Lincoln Park,61618,1651,4380,607,3149,482,981,260,994,253,2041,418,526,176,49547,1648
8,Near North Side,78942,1806,6744,974,3933,597,1561,382,1428,353,1903,462,559,302,62814,1774
9,Edison Park,11135,498,104,94,226,131,144,87,204,120,619,363,198,123,9640,514
10,Norwood Park,36911,1212,839,281,1099,390,821,331,1072,492,1646,496,543,199,30891,1407
11,Jefferson Park,26678,1234,529,252,1342,397,1102,427,1365,438,1351,369,713,339,20276,1380
12,Forest Glen,18542,646,647,310,620,243,368,220,502,263,751,416,237,251,15417,828
13,North Park,18260,1001,945,396,1329,399,1066,357,657,302,1613,578,513,300,12137,1029
14,Albany Park,52900,2050,4256,1031,7049,1310,3223,748,3279,878,5072,1009,2592,844,27429,1972
15,Portage Park,63447,1847,4113,909,4496,1089,2847,717,3128,841,4166,947,1815,496,42882,1913
16,Irving Park,56150,1948,3256,778,4824,917,3293,805,3112,757,3467,768,1678,549,36520,2000
17,Dunning,41996,1248,1491,426,2614,635,1434,399,1274,381,2485,590,1264,448,31434,1423
18,Montclare,12204,834,714,318,908,346,845,408,569,316,1657,580,467,332,7044,745
19,Belmont Cragin,77540,2541,5842,1156,9923,1516,5563,1240,7335,1372,8673,1319,3236,896,36968,2290
20,Hermosa,25046,1271,1594,560,3401,752,2286,732,1824,533,3580,1024,815,400,11546,1255
21,Avondale,41433,1880,2275,599,4744,1125,2981,914,3354,897,4032,1001,1667,583,22380,1590
22,Logan Square,73411,1989,5513,866,9552,1282,4773,922,4080,821,5289,823,1589,416,42615,1684
23,Humboldt Park,53973,2189,10039,1485,8464,1297,4627,1068,4227,935,4912,1031,1285,477,20419,1708
24,West Town,83726,2002,6154,848,8172,1130,3560,687,3181,605,4968,844,1427,411,56264,1667
25,Austin,97028,2734,12575,1582,17127,1829,6928,1094,7284,1182,8180,1275,2790,878,42144,2078
26,West Garfield Park,19268,1306,4267,831,4165,786,1605,514,1678,550,1426,406,604,325,5523,774
27,East Garfield Park,20918,1333,5342,923,4157,783,1122,360,1617,548,1519,439,556,425,6605,862
28,Near West Side,51578,1582,8612,1020,4387,658,1657,397,1878,485,2344,452,478,153,32222,1287
29,North Lawndale,35476,1831,9008,1169,7067,953,3283,760,2622,677,2148,550,670,297,10678,1184
30,South Lawndale,62100,2252,6618,1100,13804,1626,6923,1181,7272,1273,6447,1129,2561,668,18475,1703
31,Lower West Side,36565,1701,3385,700,6598,966,2761,587,3081,665,4440,954,1771,664,14529,1263
32,Loop,23559,1213,2416,565,998,403,156,126,288,113,589,285,165,103,18947,1177
33,Near South Side,20061,1152,1711,668,814,277,355,219,545,312,450,250,180,108,16006,1285
34,Armour Square,13710,850,2127,472,3020,595,1273,388,791,319,869,370,255,168,5375,825
35,Douglas,16603,758,3111,522,2250,409,739,220,597,212,1008,317,581,227,8317,621
36,Oakland,6233,462,812,290,1718,459,482,224,392,246,346,184,152,126,2331,432
37,Fuller Park,2924,543,275,114,928,442,225,188,362,279,369,281,44,65,721,257
38,Grand Boulevard,22761,1146,3202,622,3808,672,1927,555,889,248,1482,474,623,266,10830,939
39,Kenwood,17917,908,2660,605,1658,403,1316,370,706,292,916,270,361,162,10300,800
40,Washington Park,11078,835,2665,548,2234,567,982,387,687,289,716,367,286,166,3508,522
41,Hyde Park,23930,984,3049,506,1907,462,935,292,471,161,961,245,542,202,16065,804
42,Woodlawn,23433,1243,3984,718,3592,661,2388,701,1560,414,1658,442,696,284,9555,875
43,South Shore,46731,2005,7340,1072,6902,969,2354,660,2379,675,3512,751,1436,531,22808,1584
44,Chatham,33097,1617,3668,801,5974,1114,1734,496,1561,464,3740,875,767,332,15653,1287
45,Avalon Park,9512,741,993,409,791,287,350,250,488,218,568,326,144,92,6178,668
46,South Chicago,29403,1591,4574,843,5310,1023,2076,663,2096,608,1886,598,770,362,12691,1222
47,Burnside,3508,686,1215,739,453,273,279,155,68,55,223,153,17,28,1253,377
48,Calumet Heights,14352,808,805,383,1208,392,679,346,426,216,1214,460,137,92,9883,757
49,Roseland,44569,1648,5645,928,4745,822,2766,879,3489,819,4215,878,1748,681,21961,1394
50,Pullman,7249,585,884,341,940,344,340,162,204,102,410,180,184,186,4287,528
51,South Deering,16438,1030,2640,735,2571,767,1964,594,631,281,1156,528,735,513,6741,835
52,East Side,23480,1385,2786,773,2853,774,1520,588,2038,731,1599,438,999,528,11685,1032
53,West Pullman,30605,1647,4485,997,4728,1205,2173,626,1727,702,2364,710,1274,613,13854,1178
54,Riverdale,6793,724,2187,674,1775,526,320,217,716,387,553,313,39,48,1203,371
55,Hegewisch,10062,920,860,441,1009,446,747,506,702,489,500,288,390,467,5854,885
56,Garfield Ridge,33811,1072,1127,536,1739,530,1441,468,1154,440,1921,502,629,272,25800,1285
57,Archer Heights,13352,774,772,356,1082,459,1247,501,814,389,1400,454,720,306,7317,858
58,Brighton Park,43782,1777,4460,939,6766,1123,5575,1060,3843,883,4394,881,1853,790,16891,1582
59,McKinley Park,16434,925,970,304,2321,656,1618,423,1038,422,1909,549,988,373,7590,914
60,Bridgeport,32396,1330,2084,462,4503,774,1983,475,2194,579,2609,623,1326,477,17697,1175
61,New City,41778,1835,5998,1018,7671,1163,4457,869,3710,843,4155,769,1255,514,14532,1186
62,West Elsdon,18901,1093,1570,656,1823,620,1263,691,1406,582,2871,765,930,455,9038,997
63,Gage Park,39211,1715,2544,625,6985,1286,4219,976,5849,1193,3717,847,1515,499,14382,1447
64,Clearing,22702,982,919,336,1126,341,1047,492,827,312,1078,346,582,284,17123,1104
65,West Lawn,32880,1271,1860,602,3849,963,2128,723,2872,848,3404,1089,2035,831,16732,1437
66,Chicago Lawn,54528,2189,7275,1321,9795,1562,4968,1100,3048,800,5959,1146,2586,852,20897,1768
67,West Englewood,35088,1605,6694,995,7277,1014,3241,622,3155,716,2981,689,1524,455,10216,1035
68,Englewood,28590,1509,7342,1063,6318,916,2555,611,1329,423,2312,528,842,365,7892,1006
69,Greater Grand Crossing,32395,1520,5748,949,5313,912,1625,462,2366,541,2314,545,959,325,14070,1147
70,Ashburn,42262,1618,2780,799,2460,704,1603,610,1771,630,2602,789,1550,840,29496,1596
71,Auburn Gresham,49378,1874,7276,1127,7596,1136,3397,738,3353,698,4281,861,1181,463,22294,1619
72,Beverly,21211,810,482,207,468,237,309,234,578,265,777,439,334,214,18263,790
