area_id,area_name,b19113f001,b19113f001_moe
1,Rogers Park,287693,107897
2,West Ridge,341220,117683
3,Uptown,415181,372671
4,Lincoln Square,356399,173006
5,North Center,220786,109375
6,Lake View,298138,101695
7,Lincoln Park,11779,77791
8,Near North Side,83370,97820
10,Norwood Park,333834,213162
11,Jefferson Park,209385,159737
12,Forest Glen,61771,25255
13,North Park,67661,15108
14,Albany Park,525789,134404
15,Portage Park,891046,183846
16,Irving Park,735682,152044
17,Dunning,533555,184081
18,Montclare,91607,42162
19,Belmont Cragin,710223,97290
20,Hermosa,261598,41179
21,Avondale,512292,109395
22,Logan Square,1080651,406104
23,Humboldt Park,650971,136459
24,West Town,1059421,389706
25,Austin,510008,304440
28,Near West Side,430677,209942
29,North Lawndale,144271,80232
30,South Lawndale,595805,125708
31,Lower West Side,408356,82944
35,Douglas,25179,50856
36,Oakland,150188,145643
37,Fuller Park,26500,65590
38,Grand Boulevard,140935,156182
41,Hyde Park,57583,33320
46,South Chicago,223883,78008
48,Calumet Heights,8407,1702
50,Pullman,16574,50241
51,South Deering,92458,66006
52,East Side,242764,106539
53,West Pullman,54609,46817
55,Hegewisch,75253,31958
56,Garfield Ridge,563136,192080
57,Archer Heights,232680,174015
58,Brighton Park,376548,70605
59,McKinley Park,227638,77857
60,Bridgeport,573269,227930
61,New City,423462,106483
62,West Elsdon,210045,41964
63,Gage Park,328209,54205
64,Clearing,447483,107288
65,West Lawn,273667,25837
66,Chicago Lawn,365943,101361
70,Ashburn,292799,48202
76,O'Hare,111549,77553
77,Edgewater,367441,113974
