area_id,area_name,b19013a001,b19013a001_moe
1,Rogers Park,550208,55723
2,West Ridge,707356,50636
3,Uptown,714888,68461
4,Lincoln Square,717789,44161
5,North Center,1339363,99556
6,Lake View,2865614,107441
7,Lincoln Park,2049627,118319
8,Near North Side,1887668,138164
9,Edison Park,247508,34454
10,Norwood Park,533517,34630
11,Jefferson Park,330906,32329
12,Forest Glen,369223,37200
13,North Park,242905,28768
14,Albany Park,545414,60675
15,Portage Park,761651,43154
16,Irving Park,867595,64041
17,Dunning,640099,34608
18,Montclare,85122,13035
19,Belmont Cragin,740344,72812
20,Hermosa,258449,60157
21,Avondale,467572,31333
22,Logan Square,1610016,94261
23,Humboldt Park,560900,110470
24,West Town,2375141,100776
25,Austin,847334,275428
26,West Garfield Park,209063,259651
27,East Garfield Park,526362,248813
28,Near West Side,1441838,169752
29,North Lawndale,391161,172727
30,South Lawndale,563248,52902
31,Lower West Side,413224,67604
32,Loop,462926,59802
33,Near South Side,360400,36895
34,Armour Square,190514,47502
35,Douglas,982672,385063
36,Oakland,228427,109487
37,Fuller Park,90958,71311
38,Grand Boulevard,1035263,332799
39,Kenwood,835726,196211
40,Washington Park,122500,311723
41,Hyde Park,770888,113136
42,Woodlawn,424907,193812
43,South Shore,471300,209754
44,Chatham,39549,120315
45,Avalon Park,130699,147592
46,South Chicago,295740,538179
48,Calumet Heights,206217,74279
49,Roseland,175001,274066
50,Pullman,112791,35138
51,South Deering,141041,30221
52,East Side,266399,30730
53,West Pullman,43203,14018
54,Riverdale,44769,40664
55,Hegewisch,101302,16708
56,Garfield Ridge,568816,38284
57,Archer Heights,240924,33393
58,Brighton Park,348323,31421
59,McKinley Park,208774,28935
60,Bridgeport,481094,31828
61,New City,645256,84338
62,West Elsdon,188425,19852
63,Gage Park,329662,50325
64,Clearing,371076,33189
65,West Lawn,322329,36735
66,Chicago Lawn,400450,78554
67,West Englewood,76219,32933
68,Englewood,54227,69723
70,Ashburn,525313,104329
71,Auburn Gresham,31250,30014
72,Beverly,679138,48471
73,Washington Heights,95655,9299
74,Mount Greenwood,351445,17454
75,Morgan Park,306252,54993
76,O'Hare,190821,23583
77,Edgewater,831864,69886
