area_id,area_name,b25034001,b25034001_moe,b25034002,b25034002_moe,b25034003,b25034003_moe,b25034004,b25034004_moe,b25034005,b25034005_moe,b25034006,b25034006_moe,b25034007,b25034007_moe,b25034008,b25034008_moe,b25034009,b25034009_moe,b25034010,b25034010_moe
61,New City,15885,203,0,47,554,121,301,106,230,95,384,98,812,169,695,150,1323,210,11586,361
62,West Elsdon,5340,95,0,27,233,95,131,76,94,62,712,158,988,188,1506,210,755,147,921,195
63,Gage Park,10432,129,0,41,86,71,248,85,256,114,345,117,560,152,1486,225,1459,236,5992,349
64,Clearing,9174,53,0,31,355,135,509,167,595,156,812,173,2387,309,2475,289,1014,205,1027,214
65,West Lawn,9729,110,0,34,457,121,173,86,366,128,675,202,1258,253,3923,321,1552,276,1325,210
66,Chicago Lawn,19044,177,5,49,313,133,461,144,379,138,1071,241,2510,336,4428,403,3834,402,6043,456
67,West Englewood,13716,204,0,48,338,110,306,116,86,60,525,123,964,165,990,189,1117,184,9390,357
68,Englewood,14753,241,22,37,717,181,627,152,718,150,846,162,1081,207,1639,240,2011,275,7092,397
69,Greater Grand Crossing,16291,190,0,38,511,143,523,151,266,100,827,178,1117,225,1484,260,2265,309,9298,424
70,Ashburn,13448,110,13,43,160,109,453,150,257,135,1477,298,3029,344,5962,382,1413,260,684,194
71,Auburn Gresham,20718,198,10,47,669,145,406,149,265,127,845,191,1880,262,3236,356,2447,313,10960,472
72,Beverly,8316,99,0,29,151,80,28,29,56,41,140,80,490,127,1948,223,1368,205,4135,265
73,Washington Heights,10609,129,8,34,137,82,254,119,261,150,438,124,1521,246,2646,289,2039,295,3305,351
74,Mount Greenwood,7119,159,0,25,197,86,120,72,402,116,452,138,797,176,2774,260,1504,221,873,170
75,Morgan Park,9104,139,0,31,414,170,140,63,219,101,905,210,1261,200,2412,278,1090,198,2663,327
76,O'Hare,6635,115,0,38,307,120,266,112,626,247,1948,271,1810,307,1171,259,345,157,162,124
77,Edgewater,32312,307,0,48,943,210,532,197,1674,267,3498,392,5376,469,3391,404,1813,336,15085,625
