,,,,,,
New York City 2010 Census Tract to Neighborhood Tabulation Area (NTA) Equivalency,,,,,,
,,,,,,
Borough,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA,Neighborhood Tabulation Area (NTA),
Bronx,005,2,042902,3706,BX43,Norwood
Bronx,005,2,043100,3706,BX43,Norwood
Bronx,005,2,002400,3709,BX99,park-cemetery-etc-Bronx
Bronx,005,2,016300,3705,BX99,park-cemetery-etc-Bronx
Bronx,005,2,017100,3708,BX99,park-cemetery-etc-Bronx
Bronx,005,2,027600,3703,BX99,park-cemetery-etc-Bronx
Bronx,005,2,033400,3705,BX99,park-cemetery-etc-Bronx
Bronx,005,2,043500,3702,BX99,park-cemetery-etc-Bronx
Bronx,005,2,050400,3703,BX99,park-cemetery-etc-Bronx
Bronx,005,2,021001,3709,BX46,Parkchester
Bronx,005,2,021002,3709,BX46,Parkchester
Bronx,005,2,021200,3709,BX46,Parkchester
Bronx,005,2,021602,3709,BX46,Parkchester
Bronx,005,2,022200,3709,BX46,Parkchester
Bronx,005,2,026601,3703,BX10,Pelham Bay-Country Club-City Island
Bronx,005,2,026602,3703,BX10,Pelham Bay-Country Club-City Island
Bronx,005,2,027401,3703,BX10,Pelham Bay-Country Club-City Island
Bronx,005,2,027402,3703,BX10,Pelham Bay-Country Club-City Island
Bronx,005,2,030000,3703,BX10,Pelham Bay-Country Club-City Island
Bronx,005,2,051600,3703,BX10,Pelham Bay-Country Club-City Island
Bronx,005,2,022401,3704,BX49,Pelham Parkway
Bronx,005,2,022403,3704,BX49,Pelham Parkway
Bronx,005,2,022404,3704,BX49,Pelham Parkway
Bronx,005,2,022800,3704,BX49,Pelham Parkway
Bronx,005,2,024600,3704,BX49,Pelham Parkway
Bronx,005,2,024800,3704,BX49,Pelham Parkway
Bronx,005,2,025000,3704,BX49,Pelham Parkway
Bronx,005,2,028800,3704,BX49,Pelham Parkway
Bronx,005,2,029600,3704,BX49,Pelham Parkway
Bronx,005,2,000100,3710,BX98,Rikers Island
Bronx,005,2,011000,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,011800,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,013000,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,013200,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,013800,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,014400,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,015200,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,015800,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,016000,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,016200,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,016400,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,016600,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,018400,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,019400,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,026400,3703,BX52,Schuylerville-Throgs Neck-Edgewater Park
Bronx,005,2,004001,3709,BX55,Soundview-Bruckner
Bronx,005,2,004400,3709,BX55,Soundview-Bruckner
Bronx,005,2,004800,3709,BX55,Soundview-Bruckner
Bronx,005,2,005001,3709,BX55,Soundview-Bruckner
Bronx,005,2,005002,3709,BX55,Soundview-Bruckner
Bronx,005,2,005200,3709,BX55,Soundview-Bruckner
Bronx,005,2,006800,3709,BX55,Soundview-Bruckner
Bronx,005,2,007000,3709,BX55,Soundview-Bruckner
Bronx,005,2,007200,3709,BX55,Soundview-Bruckner
Bronx,005,2,000200,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,000400,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,001600,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,002000,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,002800,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,003800,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,004200,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,004600,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,007400,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,008400,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,008600,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,009000,3709,BX09,Soundview-Castle Hill-Clason Point-Harding Park
Bronx,005,2,028300,3701,BX29,Spuyten Duyvil-Kingsbridge
Bronx,005,2,028500,3701,BX29,Spuyten Duyvil-Kingsbridge
Bronx,005,2,028700,3701,BX29,Spuyten Duyvil-Kingsbridge
Bronx,005,2,028900,3701,BX29,Spuyten Duyvil-Kingsbridge
Bronx,005,2,029301,3701,BX29,Spuyten Duyvil-Kingsbridge
Bronx,005,2,029302,3701,BX29,Spuyten Duyvil-Kingsbridge
Bronx,005,2,029500,3701,BX29,Spuyten Duyvil-Kingsbridge
Bronx,005,2,029700,3701,BX29,Spuyten Duyvil-Kingsbridge
Bronx,005,2,030100,3701,BX29,Spuyten Duyvil-Kingsbridge
Bronx,005,2,005300,3707,BX36,University Heights-Morris Heights
Bronx,005,2,020501,3707,BX36,University Heights-Morris Heights
Bronx,005,2,020502,3707,BX36,University Heights-Morris Heights
Bronx,005,2,021301,3707,BX36,University Heights-Morris Heights
Bronx,005,2,021501,3707,BX36,University Heights-Morris Heights
Bronx,005,2,021502,3707,BX36,University Heights-Morris Heights
Bronx,005,2,021700,3707,BX36,University Heights-Morris Heights
Bronx,005,2,024300,3707,BX36,University Heights-Morris Heights
Bronx,005,2,024501,3707,BX36,University Heights-Morris Heights
Bronx,005,2,024502,3707,BX36,University Heights-Morris Heights
Bronx,005,2,024700,3707,BX36,University Heights-Morris Heights
Bronx,005,2,024900,3707,BX36,University Heights-Morris Heights
Bronx,005,2,025100,3707,BX36,University Heights-Morris Heights
Bronx,005,2,025700,3707,BX36,University Heights-Morris Heights
Bronx,005,2,026701,3701,BX28,Van Cortlandt Village
Bronx,005,2,026702,3701,BX28,Van Cortlandt Village
Bronx,005,2,027300,3701,BX28,Van Cortlandt Village
Bronx,005,2,027700,3701,BX28,Van Cortlandt Village
Bronx,005,2,027900,3701,BX28,Van Cortlandt Village
Bronx,005,2,028100,3701,BX28,Van Cortlandt Village
Bronx,005,2,040303,3701,BX28,Van Cortlandt Village
Bronx,005,2,040304,3701,BX28,Van Cortlandt Village
Bronx,005,2,040701,3701,BX28,Van Cortlandt Village
Bronx,005,2,040900,3701,BX28,Van Cortlandt Village
Bronx,005,2,020000,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,023000,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,023200,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,023600,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,023800,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,024000,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,024400,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,025200,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,025400,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,025600,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,028400,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,028600,3704,BX37,Van Nest-Morris Park-Westchester Square
Bronx,005,2,006300,3708,BX63,West Concourse
Bronx,005,2,019500,3708,BX63,West Concourse
Bronx,005,2,019700,3708,BX63,West Concourse
Bronx,005,2,020900,3708,BX63,West Concourse
Bronx,005,2,022101,3708,BX63,West Concourse
Bronx,005,2,022102,3708,BX63,West Concourse
Bronx,005,2,022300,3708,BX63,West Concourse
Bronx,005,2,005400,3709,BX08,West Farms-Bronx River
Bronx,005,2,005600,3709,BX08,West Farms-Bronx River
Bronx,005,2,006200,3709,BX08,West Farms-Bronx River
Bronx,005,2,006400,3709,BX08,West Farms-Bronx River
Bronx,005,2,007600,3709,BX08,West Farms-Bronx River
Bronx,005,2,021601,3709,BX08,West Farms-Bronx River
Bronx,005,2,021800,3709,BX08,West Farms-Bronx River
Bronx,005,2,007800,3709,BX59,Westchester-Unionport
Bronx,005,2,009200,3709,BX59,Westchester-Unionport
Bronx,005,2,009600,3709,BX59,Westchester-Unionport
Bronx,005,2,009800,3709,BX59,Westchester-Unionport
Bronx,005,2,020200,3709,BX59,Westchester-Unionport
Bronx,005,2,020400,3709,BX59,Westchester-Unionport
Bronx,005,2,020601,3709,BX59,Westchester-Unionport
Bronx,005,2,036800,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,037000,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,037200,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,037400,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,037600,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,037800,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,038000,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,038200,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,038800,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,039000,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,039200,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,039400,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,039600,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,039800,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,040400,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,040600,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,040800,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,042000,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,042200,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,042400,3702,BX44,Williamsbridge-Olinville
Bronx,005,2,041400,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,041800,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,042600,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,042800,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,043000,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,043400,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,043600,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,044200,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,044400,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,044800,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,044901,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,044902,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,045101,3702,BX62,Woodlawn-Wakefield
Bronx,005,2,045102,3702,BX62,Woodlawn-Wakefield
Brooklyn,047,3,016800,4017,BK27,Bath Beach
Brooklyn,047,3,017000,4017,BK27,Bath Beach
Brooklyn,047,3,017200,4017,BK27,Bath Beach
Brooklyn,047,3,017400,4017,BK27,Bath Beach
Brooklyn,047,3,017600,4017,BK27,Bath Beach
Brooklyn,047,3,017800,4017,BK27,Bath Beach
Brooklyn,047,3,018000,4017,BK27,Bath Beach
Brooklyn,047,3,028000,4017,BK27,Bath Beach
Brooklyn,047,3,028200,4017,BK27,Bath Beach
Brooklyn,047,3,028600,4017,BK27,Bath Beach
Brooklyn,047,3,029200,4017,BK27,Bath Beach
Brooklyn,047,3,003000,4013,BK31,Bay Ridge
Brooklyn,047,3,003400,4013,BK31,Bay Ridge
Brooklyn,047,3,003600,4013,BK31,Bay Ridge
Brooklyn,047,3,003800,4013,BK31,Bay Ridge
Brooklyn,047,3,004400,4013,BK31,Bay Ridge
Brooklyn,047,3,004600,4013,BK31,Bay Ridge
Brooklyn,047,3,005000,4013,BK31,Bay Ridge
Brooklyn,047,3,005201,4013,BK31,Bay Ridge
Brooklyn,047,3,005202,4013,BK31,Bay Ridge
Brooklyn,047,3,005400,4013,BK31,Bay Ridge
Brooklyn,047,3,005601,4013,BK31,Bay Ridge
Brooklyn,047,3,005602,4013,BK31,Bay Ridge
Brooklyn,047,3,005800,4013,BK31,Bay Ridge
Brooklyn,047,3,006000,4013,BK31,Bay Ridge
Brooklyn,047,3,006200,4013,BK31,Bay Ridge
Brooklyn,047,3,006400,4013,BK31,Bay Ridge
Brooklyn,047,3,006600,4013,BK31,Bay Ridge
Brooklyn,047,3,006800,4013,BK31,Bay Ridge
Brooklyn,047,3,007000,4013,BK31,Bay Ridge
Brooklyn,047,3,012600,4013,BK31,Bay Ridge
Brooklyn,047,3,013000,4013,BK31,Bay Ridge
Brooklyn,047,3,013400,4013,BK31,Bay Ridge
Brooklyn,047,3,013600,4013,BK31,Bay Ridge
Brooklyn,047,3,013800,4013,BK31,Bay Ridge
Brooklyn,047,3,014200,4013,BK31,Bay Ridge
Brooklyn,047,3,016000,4013,BK31,Bay Ridge
Brooklyn,047,3,016200,4013,BK31,Bay Ridge
Brooklyn,047,3,016400,4013,BK31,Bay Ridge
Brooklyn,047,3,023300,4003,BK75,Bedford
Brooklyn,047,3,024100,4003,BK75,Bedford
Brooklyn,047,3,024300,4003,BK75,Bedford
Brooklyn,047,3,024500,4003,BK75,Bedford
Brooklyn,047,3,024900,4003,BK75,Bedford
Brooklyn,047,3,025100,4003,BK75,Bedford
Brooklyn,047,3,025300,4003,BK75,Bedford
Brooklyn,047,3,025500,4003,BK75,Bedford
Brooklyn,047,3,025700,4003,BK75,Bedford
Brooklyn,047,3,025901,4003,BK75,Bedford
Brooklyn,047,3,025902,4003,BK75,Bedford
Brooklyn,047,3,026100,4003,BK75,Bedford
Brooklyn,047,3,026300,4003,BK75,Bedford
Brooklyn,047,3,026500,4003,BK75,Bedford
Brooklyn,047,3,026700,4003,BK75,Bedford
Brooklyn,047,3,026900,4003,BK75,Bedford
Brooklyn,047,3,050700,4003,BK75,Bedford
Brooklyn,047,3,053100,4003,BK75,Bedford
Brooklyn,047,3,123700,4003,BK75,Bedford
Brooklyn,047,3,029800,4017,BK29,Bensonhurst East
Brooklyn,047,3,030000,4017,BK29,Bensonhurst East
Brooklyn,047,3,030200,4017,BK29,Bensonhurst East
Brooklyn,047,3,030400,4017,BK29,Bensonhurst East
Brooklyn,047,3,040000,4017,BK29,Bensonhurst East
Brooklyn,047,3,040200,4017,BK29,Bensonhurst East
Brooklyn,047,3,040400,4017,BK29,Bensonhurst East
Brooklyn,047,3,040600,4017,BK29,Bensonhurst East
Brooklyn,047,3,040800,4017,BK29,Bensonhurst East
Brooklyn,047,3,041000,4017,BK29,Bensonhurst East
Brooklyn,047,3,041200,4017,BK29,Bensonhurst East
Brooklyn,047,3,042400,4017,BK29,Bensonhurst East
Brooklyn,047,3,042600,4017,BK29,Bensonhurst East
Brooklyn,047,3,042800,4017,BK29,Bensonhurst East
Brooklyn,047,3,043000,4017,BK29,Bensonhurst East
Brooklyn,047,3,043200,4017,BK29,Bensonhurst East
Brooklyn,047,3,043400,4017,BK29,Bensonhurst East
Brooklyn,047,3,043600,4017,BK29,Bensonhurst East
Brooklyn,047,3,018200,4017,BK28,Bensonhurst West
Brooklyn,047,3,018400,4017,BK28,Bensonhurst West
Brooklyn,047,3,018600,4017,BK28,Bensonhurst West
Brooklyn,047,3,018800,4017,BK28,Bensonhurst West
Brooklyn,047,3,019000,4017,BK28,Bensonhurst West
Brooklyn,047,3,024800,4017,BK28,Bensonhurst West
Brooklyn,047,3,025000,4017,BK28,Bensonhurst West
Brooklyn,047,3,025200,4017,BK28,Bensonhurst West
Brooklyn,047,3,025400,4017,BK28,Bensonhurst West
Brooklyn,047,3,025600,4017,BK28,Bensonhurst West
Brooklyn,047,3,025800,4017,BK28,Bensonhurst West
Brooklyn,047,3,026000,4017,BK28,Bensonhurst West
Brooklyn,047,3,026200,4017,BK28,Bensonhurst West
Brooklyn,047,3,026400,4017,BK28,Bensonhurst West
Brooklyn,047,3,026600,4017,BK28,Bensonhurst West
Brooklyn,047,3,026800,4017,BK28,Bensonhurst West
Brooklyn,047,3,027000,4017,BK28,Bensonhurst West
Brooklyn,047,3,027200,4017,BK28,Bensonhurst West
Brooklyn,047,3,027400,4017,BK28,Bensonhurst West
Brooklyn,047,3,027600,4017,BK28,Bensonhurst West
Brooklyn,047,3,027800,4017,BK28,Bensonhurst West
Brooklyn,047,3,028400,4017,BK28,Bensonhurst West
Brooklyn,047,3,028800,4017,BK28,Bensonhurst West
Brooklyn,047,3,029000,4017,BK28,Bensonhurst West
